"Convolvulus_arvensis_E2__P_1"	"Convolvulus_arvensis_E2__P_2"	"Convolvulus_arvensis_E2__P_3"	"Convolvulus_arvensis_E2__P_4"	"Convolvulus_arvensis_E2__P_5"	"Convolvulus_arvensis_E2__P_6"	"Convolvulus_arvensis_E2__P_7"	"Convolvulus_arvensis_E2__P_8"	"Convolvulus_arvensis_E2__P_9"	"Helminthia_echioides_E2__P_1"	"Helminthia_echioides_E2__P_2"	"Helminthia_echioides_E2__P_3"	"Helminthia_echioides_E2__P_4"	"Helminthia_echioides_E2__P_5"	"Centaurea_nigra_E2__P_1"	"Centaurea_nigra_E2__P_2"	"Centaurea_nigra_E2__P_3"	"Centaurea_nigra_E2__P_4"	"Rubus_caesius_E2__P_1"	"Rubus_caesius_E2__P_2"	"Rubus_caesius_E2__P_3"	"Scabiosa_columbaria_E2__P_1"	"Scabiosa_columbaria_E2__P_2"	"Scabiosa_columbaria_E2__P_3"	"Scabiosa_columbaria_E2__P_4"	"Oenothera_rosea_E2__P_1"	"Oenothera_rosea_E2__P_2"	"Oenothera_rosea_E2__P_3"	"Colchicum_autumnale_E2__P_1"	"Colchicum_autumnale_E2__P_2"	"Colchicum_autumnale_E2__P_3"	"Colchicum_autumnale_E2__P_4"	"Convolvulus_sepium_E2__P_1"	"Convolvulus_sepium_E2__P_2"	"Reynoutria_japonica_E2__P_1"	"Reynoutria_japonica_E2__P_2"	"Reynoutria_japonica_E2__P_3"	"Reynoutria_japonica_E2__P_4"	"Reynoutria_japonica_E2__P_5"	"Reynoutria_japonica_E2__P_6"	"Reynoutria_japonica_E2__P_7"	"Reynoutria_japonica_E2__P_8"
23.85	21.34	8.93	22.13	10.64	10.02	25.44	21.63	45.6	23.88	22.13	73.93	65.24	56.31	4.2	6.62	15.81	15.8	24.85	28.91	11.02	13.99	7.85	21.31	4.73	39.42	26.09	13.32	32.45	29.77	28.97	25.51	75.35	40.51	15.67	18.81	14.92	23.56	20.16	11.72	20.06	19.14
23.02	20.92	8.32	21.9	10.15	9.5	25.07	21.02	44.1	23.33	21.39	72.76	63.75	55.51	3.76	6.22	15	15.48	24.64	28.29	10.23	13.23	7.46	20.8	4.25	38.21	25.39	12.53	31.29	28.58	27.88	24.54	73.6	39.13	15.09	18.26	14.34	22.81	19.41	11.1	19	18.35
23.43	20.7	8.31	21.89	10.12	9.47	24.96	20.89	44.28	23.27	21.26	72.11	64.04	55.19	3.8	6.39	15.1	15.33	24.52	28.28	10.2	13.14	7.61	20.63	4.4	38.8	25.78	12.7	31.78	29.08	27.92	24.73	74.04	39.39	15.08	18.21	14.15	22.69	19.45	11.14	18.99	18.32
24.22	21.62	8.55	22.48	10.5	10.16	25.83	21.64	45.51	23.87	22.16	74.45	65.27	56.86	4.01	6.62	15.88	15.89	25.05	28.85	10.62	13.64	7.87	21.07	4.56	39.81	26.23	13.3	33.04	30.09	28.69	25.8	76	40.7	15.79	18.85	14.89	23.41	20.01	11.42	19.97	18.84
23.16	20.71	8.04	21.61	9.88	9.24	24.88	20.66	44.24	22.91	20.96	72.01	62.85	55.42	3.48	6.26	14.89	15.11	23.94	27.64	9.8	12.91	7.23	20.25	3.98	38.29	25.22	12.52	31.52	28.95	27.55	24.46	73.15	38.97	14.71	17.6	14	21.97	18.89	10.73	18.73	18.02
23.25	20.95	8.01	21.77	9.99	9.4	25.12	20.76	44.34	23	21.08	71.92	63.01	55.16	3.66	6.22	15.05	15.16	24.15	28.01	9.9	13.24	7.34	20.66	4.09	37.34	24.86	12.24	31.16	28.16	27.1	24.4	71.89	38.44	14.35	17.45	13.84	21.69	18.74	10.42	18.71	17.7
22.65	20.14	7.62	21.16	9.72	9.02	24.22	19.98	43.32	22.26	20.05	70.18	61.16	53.16	3.35	6.12	14.78	14.64	23.49	27	9.37	12.41	6.73	20.16	3.92	35.91	24.09	11.57	29.38	26.92	25.66	23.17	69.19	36.41	13.67	16.67	13.03	21.03	18.07	9.9	17.84	17.05
22.18	19.95	7.7	20.78	9.81	9.18	24.23	19.96	42.71	22.34	20.07	70	61.4	52.54	3.86	6.27	14.66	15.02	23.03	26.97	9.75	12.44	7.11	20.42	4.2	36.09	24.21	11.7	29.33	26.53	25.52	22.92	67.97	36.58	13.71	16.76	13.08	21.27	18.13	10.37	17.76	17.12
22.1	20.1	7.67	20.92	9.88	9.24	24.57	20.17	43.16	22.83	19.85	71.22	62.99	53.22	3.92	6.55	15.09	15.29	23.48	27.36	9.94	12.53	7.07	20.96	4.25	36.91	25.05	11.82	30.03	27.13	26.02	23.46	69.46	37.5	14.07	17.05	13.35	22.24	18.19	10.23	18.19	17.66
22.1	19.67	7.49	20.61	9.84	8.99	24.17	19.99	43.39	22.49	19.92	71.51	63.46	53.02	3.72	6.65	15.09	15.5	23.27	27.22	9.75	12.52	6.96	21.16	4.09	37.64	25.25	11.88	29.83	27.34	25.57	23.24	69.46	37.28	14.05	17.06	13.31	22.38	18.38	10.53	18.26	17.45
22.87	20.85	8.05	21.32	10.11	9.46	25.09	20.92	44.41	23.35	20.74	73.28	65.18	54.16	4.37	7	15.83	15.9	24.07	27.77	10.21	13.06	7.52	22.01	4.41	39.13	26.43	12.51	31.11	28.25	26.83	24.32	71.49	38.68	14.73	18.17	13.9	23.11	19.31	10.73	19.03	18.12
23.26	20.82	8.03	21.84	10.32	9.65	25.12	21.19	44.89	23.43	20.78	74.25	65.96	54.92	4.62	7.29	16.12	16.01	24.42	28.61	10.41	13.39	7.66	22.56	4.43	39.81	27.11	12.7	31.76	28.76	27.41	24.52	72.91	39.47	14.89	18.28	14.08	23.53	19.27	11.24	19.5	18.57
23.66	21.2	8.39	22.16	10.84	9.81	25.92	21.79	45.68	24.04	20.92	75.65	66.67	55.67	4.72	7.61	16.8	16.53	25.24	29.01	10.75	13.72	8.07	22.84	4.86	41.02	27.7	13.26	32.22	29.76	28.08	25.3	74.5	40.44	15.38	18.74	14.51	24.05	20.1	11.41	19.63	18.98
23.77	21.68	8.39	22.58	10.82	10.14	26.38	21.78	46.01	23.92	21.57	75.21	67.61	56.06	4.65	7.68	16.87	16.78	25	29.24	10.99	13.95	8.08	22.95	4.95	41.43	28.39	13.78	33.05	30.26	28.34	25.94	75.45	40.92	15.66	19.18	14.49	24.7	20.6	11.63	19.5	19.2
24.02	21.62	8.66	22.55	10.91	10.28	26.17	22.11	45.75	23.83	21.69	75.38	66.72	56.26	4.75	7.91	16.87	17.02	25.03	29.11	10.68	13.79	8.21	23.37	4.89	41.47	28.36	13.93	33.27	30.22	28.41	26.3	75.72	41.12	15.35	18.99	14.75	24.35	20.3	11.79	19.8	19.19
24.05	22.39	8.5	23.06	10.93	10.23	26.49	22.04	46.57	24.59	21.9	76.4	67.64	57.21	4.62	7.84	17.23	17.13	25.47	29.25	10.67	14.2	8.15	23.54	4.73	42.24	29.09	14.47	34.26	31.05	29.24	27.01	77.74	41.87	15.73	19.35	14.93	24.29	20.64	11.75	20.08	19.32
24.38	21.69	8.85	22.83	10.63	10.41	26.46	21.89	45.84	24.03	21.91	75.17	66.6	56.89	4.7	7.76	16.88	17.08	25.48	29.27	10.63	14	8.32	23.17	5.06	42.62	28.97	14.79	34.64	31.69	29.94	27.49	77.84	41.82	15.9	18.81	15.22	24.5	20.3	11.77	20.27	19.42
24.97	22.48	9.07	23.47	10.99	10.42	27.3	22.28	46.66	24.37	22.48	75.96	66.45	57.39	5.12	7.9	17.34	17.31	25.81	29.75	10.7	14.23	8.79	23.25	4.98	42.55	29.26	14.97	35.39	32.2	30.11	28.03	77.92	41.89	15.92	19.28	15.18	23.98	20.52	11.9	20.08	19.55
24.68	22.62	8.77	23.54	11.23	10.26	26.82	22.01	46.48	24.13	22.59	75.36	66.3	57.59	4.64	7.78	17.02	16.97	25.36	29.04	10.22	14.11	8.54	22.99	4.91	41.9	28.58	14.47	34.94	31.91	29.57	27.73	76.74	41.17	15.51	18.55	14.49	23.54	19.96	11.46	19.98	19.02
23.76	21.6	8.17	22.31	10.48	9.64	25.83	20.96	44.66	23.36	21.55	72.16	63.29	54.98	4.26	7.57	16.37	16.74	24.31	28.13	9.92	13.37	7.91	22.02	4.58	39.59	26.81	13.58	32.61	29.63	27.52	25.64	72.5	38.67	14.72	17.53	13.94	22.06	18.98	10.69	18.68	17.82
23.4	21.14	8.16	21.92	10.19	9.75	25.42	20.49	43.71	22.67	20.72	70.77	62.45	54.2	4.58	7.2	15.94	16.35	23.85	27.69	9.71	13.25	7.9	22.17	4.42	38.41	26.13	13.13	31.51	28.66	26.85	25.11	70.22	37.42	13.98	17.11	13.29	21.88	18.41	10.51	17.98	17.41
23.14	20.9	8.2	22.02	10.39	9.74	25.52	20.69	44.3	22.9	20.38	71.11	62.78	54.19	4.67	7.48	15.99	16.42	23.89	27.8	9.85	13.36	7.94	22.32	4.66	39.05	26.89	13.27	31.46	28.6	26.68	25.25	70.36	37.56	14.14	17.24	13.53	21.86	18.79	10.56	18.29	17.5
23.8	21.47	7.98	22.38	10.78	9.93	25.92	21.06	44.84	23.27	21.14	72.93	64.39	55.11	5.01	8.04	16.76	16.92	24.58	28.44	10.09	13.69	8.1	23.16	4.95	40.08	27.4	13.77	32.3	29.61	27.05	25.84	71.65	38.82	14.72	17.88	14.12	22.75	19.05	11.1	18.58	18.21
23.6	21.57	8.37	22.19	11.03	10.46	26.09	21.18	45.05	23.72	21.09	73.13	65.19	54.4	5.31	8.46	16.9	17.16	24.72	28.72	10.67	13.96	8.55	23.91	5.41	40.8	27.95	13.91	32.33	29.68	27.22	25.86	72.02	38.93	15.13	18.32	14.14	23.24	19.31	11.43	19.29	18.52
23.72	21.53	8.09	22.35	11.1	10.2	25.91	21.15	45.18	23.87	21	73.26	65.5	54.8	5.3	8.44	17.2	17.25	24.71	28.68	10.39	13.77	8.33	24.15	5.13	40.77	28.26	13.88	32.57	29.51	27.04	26.07	72.14	38.94	14.55	18.27	13.96	23.03	19.35	11.23	18.98	18.37
23.5	21.31	7.86	21.93	10.58	9.75	25.65	21.24	44.82	23.55	20.7	73.22	65.79	54.52	4.96	7.97	16.85	16.55	24.18	28.33	9.79	13.47	8.2	23.69	4.81	40.71	28.27	13.63	32.47	29.57	27.23	25.92	72.75	39.14	14.21	17.86	13.86	23.22	19.02	10.93	18.45	18.06
23.52	22.15	8.14	22.18	10.97	10.39	26.14	21.57	45.21	23.68	20.92	74.71	66.36	55.58	5.4	8.6	17.23	17.41	24.75	29.07	10.5	13.71	8.28	24.33	4.93	42.22	29.5	14.25	33.18	30.56	27.88	26.33	74.38	39.74	14.88	18.33	14.39	23.53	19.5	11.14	19.17	18.61
24.11	22.33	8.7	23.11	11.63	10.84	27.21	22.32	45.74	24.41	21.68	75.01	66.48	55.61	6.05	9.39	18.04	18.26	25.3	29.81	11.03	14.49	9.34	25.37	5.44	42.95	29.61	14.69	33.51	30.89	28.78	27.02	74.45	40.27	15.55	18.81	14.85	24.4	20.26	11.83	19.74	19.24
23.36	21.47	7.85	22.72	10.72	9.95	25.98	21.15	45.54	23.73	20.72	74.54	67.03	55.24	5.06	8.45	17.38	17.36	24.69	28.62	9.95	13.29	8.2	24.58	4.63	42.19	29.17	13.91	33.51	31.1	28.34	26.42	74.08	40.09	14.57	18.09	13.79	23.79	19.33	10.94	19.06	18.32
23.02	21.29	7.65	21.98	10.33	9.55	26.4	20.99	44.72	23.28	20.58	73.86	65.97	55.22	4.6	8.07	17.22	16.87	24.04	28.19	9.42	13.32	7.73	24.22	4.28	42.44	29.08	13.81	32.95	30.41	27.76	26.85	74.01	39.86	14.42	17.77	13.5	23.34	19.14	10.8	18.7	17.85
24.02	21.95	8.25	22.68	10.97	10.24	26.71	21.75	45.6	24.01	21.41	74.47	66.87	55.89	5.69	8.87	17.95	18.01	25.03	29.39	10.34	14.07	8.39	25.07	4.95	43.18	29.76	14.45	34.62	31.31	28.7	27.9	75.02	40.08	15.08	18.27	14.31	23.93	19.94	11.2	18.82	18.78
23.61	22.16	7.65	22.56	10.43	9.74	26.86	21.02	45.86	23.85	21.29	76.01	67.87	56.24	4.93	8.38	17.6	17.93	24.93	28.68	9.72	13.91	8.02	24.72	4.31	43.5	30.34	14.26	33.94	31.4	28.35	27.73	75.73	41.07	14.59	18.43	14.23	24.18	19.55	11.03	19.15	18.73
24.29	22.36	8.2	22.52	11.02	10.26	27.32	22.11	46.47	23.9	21.36	75.67	68.29	56.35	5.53	8.83	18.34	18.22	25.34	29.27	10.13	14.16	8.78	25.77	4.76	44	30.68	14.64	34.88	31.78	28.86	28.21	75.9	40.96	15.01	18.65	14.29	24.25	19.94	11.46	19.48	19.06
24.39	22.5	8.26	23.29	11.46	10.63	27.38	21.91	46.09	24	21.4	75.44	67.32	56.03	5.91	9.35	18.23	18.93	25.1	29.51	10.67	14.15	8.74	25.8	5.16	44.09	31.09	15.02	34.73	32.22	28.57	27.95	76.2	40.96	15.17	18.98	14.74	24.57	20.2	11.51	19.57	19.27
24.68	23.52	8.82	23.59	11.75	11.31	27.63	22.4	46.24	24.45	22.44	74.84	67.79	56.36	6.69	10.25	19.28	18.79	25.78	29.99	11.32	14.73	9.72	26.65	6.04	44.46	31.64	15.54	35.33	32.6	29.13	28.75	75.18	41.52	15.98	19.29	15.22	24.99	20.8	12.19	20.03	19.5
25.1	22.98	8.77	24.06	11.66	10.76	28.23	22.65	47.53	24.73	22.04	76.93	69.35	57.28	6.17	10.31	19.23	19.5	25.84	30.23	10.3	14.92	9.17	26.82	5.48	45.24	31.79	15.73	35.99	33.29	29.94	29.12	77.51	41.92	15.56	19.14	14.78	25.16	20.67	11.91	20.03	19.45
24.15	22.12	8.14	23.16	11.07	10.16	27.29	21.41	46.38	23.94	21.22	75.3	67.94	55.91	5.68	9.39	18.27	18.09	25.04	29.22	9.81	14.07	8.83	26.16	5.08	44.15	31.23	15.05	35.18	31.59	28.75	28.17	75.7	40.97	14.83	18.44	13.73	24.3	19.61	11.06	19.21	18.33
24.31	23.08	8.37	23.39	11.29	10.85	27.6	22.02	45.98	24.29	21.49	74.77	68.24	55.45	6.56	9.98	18.56	19.01	25.64	29.36	10.17	14.58	9.36	26.51	5.57	44.35	31.79	15.49	35.55	32.25	29.25	28.81	75.71	41.09	15.49	19.01	14.67	24.93	20.12	11.51	19.44	19.2
24.2	22.56	8.47	23.13	10.97	10.22	27.77	22.16	46.05	24.03	21.62	75.46	68.25	56.05	6.03	9.54	18.66	18.61	25.27	29.79	10.3	14.3	9.02	26.52	5.13	44.65	31.26	15.27	35.46	32.5	29.12	28.98	76.58	41.44	15.15	18.58	14.54	24.2	19.99	11.67	19.52	18.69
24.53	23.14	7.86	22.65	11.43	10.33	27.29	22.05	46.31	24.13	21.67	75.16	67.89	55.93	5.9	9.68	18.65	18.67	25.24	29.91	10.09	14.34	9.15	26.65	4.84	45.54	31.7	15.27	35.53	32.46	28.92	29.06	76.64	41.25	15.18	18.72	14.09	24.66	19.93	11.46	19.36	19.12
24.67	22.9	8.29	23.41	11.24	10.84	27.74	21.99	46.01	24.21	21.42	74.78	67.2	55.75	6.3	10.49	18.82	19.35	25.38	29.39	10.39	14.48	9.66	27.11	5.44	45.17	31.64	15.51	35.5	32.97	29.42	28.99	76.23	41.23	15.34	18.62	14.35	24.43	20.03	11.57	19.53	18.86
25.45	23.83	8.57	24.72	11.79	10.93	28.21	22.66	47.32	24.54	21.92	77.23	69.84	57.67	6.68	10.57	19.42	19.86	26.28	29.99	10.7	15.3	9.95	27.73	5.54	46.86	32.92	16.26	36.68	34.21	29.95	29.81	78.28	42.49	15.62	19.34	15.15	25.55	20.8	11.88	20.25	19.62
24.47	22.87	8.2	23.39	11.2	10.52	27.83	22.04	46.63	24.23	21.77	75.67	68.4	56.34	6.24	10.44	18.9	19.21	25.54	29.31	10.21	14.43	9.55	27.18	5.11	45.66	32.36	15.96	36.2	33.45	29.44	29.42	76.86	41.46	15.11	19.06	14.38	24.75	19.96	11.75	19.42	19.09
24.3	23.5	8.83	23.5	11.59	11.09	27.65	22.42	45.78	24.2	21.39	75.27	67.66	55.31	6.62	10.56	19.07	19.25	25.48	29.3	10.43	14.68	9.89	27.42	5.68	45.25	32.07	15.96	36.19	33.03	29.29	29.75	75.6	41.01	14.93	18.88	14.48	24.26	19.88	11.64	19.53	19.18
24.79	23.4	8.45	23.82	11.83	11.08	28.19	22.19	46.7	24.46	21.89	76.06	69.24	57.08	6.48	10.34	19.46	19.64	25.24	29.7	10.35	14.87	9.69	27.18	5.33	45.81	32.71	15.87	36.57	33.85	30.1	29.69	77.63	41.88	15.37	19.47	14.46	24.8	20.49	11.93	20.19	19.27
24.64	23.48	8.31	23.61	11.5	10.56	28.18	22.16	46.57	24.36	21.81	76.17	68.44	56.33	6.62	10.42	19.19	19.44	25.63	29.78	10.19	14.61	9.67	27.31	5.32	46.05	32.62	15.94	36.28	33.77	29.98	29.55	76.97	41.59	15.18	18.73	14.74	24.87	20.21	11.42	19.27	18.63
25.17	23.91	8.81	24.27	11.77	10.85	28.79	22.68	47.35	25.2	21.97	77.38	69.2	56.89	6.82	10.98	19.69	20.04	26.09	30.17	10.63	15.01	9.99	27.96	5.55	46.88	33.32	16.55	37.46	34.47	29.94	30.75	77.77	42.13	15.52	19.17	14.92	25.04	20.39	11.89	19.8	19.57
25.61	24.27	9.11	23.84	12.2	11.41	29.05	22.73	47.62	25.11	22.1	77.26	69.57	57.41	6.99	11.22	20.14	20.3	26.35	30.51	10.35	15.09	10.16	28.29	5.91	46.93	33.27	16.53	37.48	34.55	30.2	30.66	77.61	42.53	15.4	19.61	14.72	25.43	20.36	11.77	20.41	19.47
24.64	23.39	8.15	23.91	11.28	10.64	28.12	22.45	46.83	23.99	21.88	76.79	69.48	56.2	6.66	10.74	19.32	19.8	25.67	30.05	9.82	14.42	9.36	27.82	5.22	46.01	32.78	15.75	36.72	33.6	29.57	30.27	77.24	41.53	15.15	18.84	14.09	24.95	19.99	11.61	19.4	19.12
24.68	23.22	8.04	23.25	11.53	10.53	27.85	21.43	46.58	23.94	21.21	75.6	68.44	56.24	6.76	10.8	19.43	19.36	25.37	29.71	9.43	14.15	9.44	27.89	5.13	45.93	32.36	15.71	36.25	33.39	29.48	29.61	76.75	41.43	14.53	18.05	14.08	24.58	19.7	11.36	19.21	18.96
24.56	23.03	7.73	23.59	11.31	10.53	28	21.76	46.48	23.61	21.21	76.97	68.35	56.06	6.25	10.33	19.43	19.24	25.02	29.32	9.5	14.43	9.2	28.2	4.99	46.38	32.5	15.77	36.75	33.74	29.21	29.78	76.93	41.29	14.78	18.66	14.04	24.48	19.7	10.94	19.48	18.55
25.18	24.1	8.56	24.25	12.29	11.45	28.5	22.66	46.78	24.66	21.71	76.02	68.48	56.1	7.35	11.38	20.17	20.41	25.58	29.74	10.33	15.18	10.26	28.64	5.71	46.15	33.21	16.57	37.08	33.85	29.99	30.85	76.59	42	15.35	19.16	14.82	25.18	20.41	11.81	19.98	19.23
24.81	23.22	8.72	23.82	11.61	11.33	28.27	22.28	46.29	23.86	21.67	74.88	68.01	55.73	7.31	11.26	19.84	19.99	25.4	29.44	10.06	15.02	10.04	28.35	5.75	45.9	32.83	16.41	36.8	33.55	29.73	30.65	76.03	41.59	15.24	18.68	14.95	24.71	19.97	11.33	19.77	19.04
24.64	23.34	8.34	23.69	11.83	10.78	28.53	21.97	46.24	24.05	21.38	75.06	67.28	55.73	7.21	11.49	20.17	19.93	25.35	29.46	10.26	14.95	10.02	28.32	5.36	46.07	33.14	16.28	36.93	33.98	29.28	30.4	75.52	41.45	14.95	18.56	14.23	24.47	19.56	11.52	19.25	18.85
24.11	23.46	8.05	23.56	11.6	10.65	28.1	21.44	45.89	24.22	21.05	75.37	67.03	55.6	6.52	11.26	19.32	19.69	25.05	29.02	9.42	14.31	9.64	28.25	5	45.39	32.86	15.77	36.59	33.63	29.28	30.39	75.86	40.52	14.87	18.65	13.95	23.95	19.38	11.32	18.88	18.33
25.01	23.43	8.48	24.12	11.89	10.72	28.91	22.08	46.3	24.28	21.66	75.8	68.46	55.81	7.15	11.12	19.8	19.91	25.33	29.41	9.42	14.64	10.12	28.81	5.33	46.6	33.58	16.23	37.41	33.86	29.61	30.83	76.27	40.84	14.7	18.8	13.89	23.82	19.88	11.29	19.13	18.63
25.31	24.18	8.83	24.36	12.59	11.52	28.94	22.3	46.78	24.5	21.83	75.51	68.19	56.23	7.66	12.16	20.71	20.49	25.66	30.05	10.25	15.33	10.71	29.37	6.03	47.13	34.2	16.73	37.7	34.1	30.02	31.59	77.08	42.1	15.3	19.04	15.11	24.71	20.65	11.98	19.84	19.26
25.18	24.16	8.74	24.62	12.18	11.39	29.05	22.59	46.77	24.84	21.98	76.39	68.82	56.59	7.48	12	20.44	20.3	26.08	30.08	10.43	14.88	10.39	29.43	5.77	47.02	33.74	17.11	37.95	34.87	29.85	31.54	77.22	41.92	14.83	18.84	14.76	24.88	20.31	11.71	19.82	19.05
25.33	24.28	8.32	24.16	12.15	11.36	29.01	22.73	47.6	25.02	22.11	77.21	69.49	57.76	7.83	11.97	20.79	20.51	26.14	30.64	9.94	15.45	10.14	29.46	5.78	47.8	33.94	16.61	38.44	35.26	30.46	31.98	77.53	42.94	15.21	19.28	14.35	24.96	20.61	11.76	19.71	18.89
25.18	24.45	8.52	24.43	12.37	11.32	29.29	22.36	46.57	24.49	22.15	75.74	68.41	56.45	7.7	12.09	20.78	20.82	25.6	29.94	10.05	15.43	10.7	29.5	6.02	46.84	33.81	16.88	38.35	35.16	29.85	32.03	76.2	41.45	15.51	18.99	14.7	24.75	20.49	11.89	19.91	19.09
25.16	24.12	8.56	24.35	12.34	11.22	29.29	22.64	47.14	24.45	21.79	76.05	68.49	56.51	7.88	12.33	20.31	20.49	25.86	29.94	9.95	15.02	10.29	29.49	5.65	47.17	33.64	16.81	38	35.14	29.76	32.06	77.33	41.81	15.17	18.72	14.73	24.74	19.75	11.62	19.78	19.14
25.32	24.01	8.47	24.39	11.61	11.18	28.95	22.11	46.61	24.13	21.79	76.55	68.78	56.49	7.19	12.05	20.07	20.67	25.15	29.74	9.72	14.66	10.53	29.55	5.5	46.79	33.57	16.7	38.24	35.5	29.48	31.72	77.11	41.43	14.87	18.59	14.14	24.44	20.1	11.23	19.27	19.03
25.73	24.63	8.33	24.68	11.97	11.27	29.9	23.09	48.07	24.61	22.3	78.42	70.47	57.98	7.48	12.21	20.95	20.86	25.97	30.09	9.67	15.13	10.42	30.42	5.24	48.56	34.02	17.03	38.92	36.28	30.88	32.78	79.19	42.19	15.53	19.11	14.63	25.2	20.4	11.41	19.89	19.31
25.49	24.45	8.24	24.65	11.88	11	29.33	22.57	47.4	24.42	22.05	78.29	69.36	57.62	7.69	12.1	20.54	20.68	25.89	30.01	9.64	15.1	10.52	29.95	5.38	47.85	34.08	16.73	38.86	35.8	29.93	32.58	78.19	42.15	14.6	18.8	14.21	24.85	20.17	11.27	19.57	18.99
25.59	24.44	8.6	24.41	12.09	11.38	29.03	22.63	47.27	24.13	22.3	76.95	68.58	57.04	7.52	12.12	20.77	20.64	25.43	29.69	9.55	14.89	10.63	30.25	5.68	47.22	33.62	16.93	38.79	35.51	29.78	31.94	77.02	41.51	14.64	18.94	14.3	24.5	19.74	11.37	19.29	18.67
25.37	24.19	7.85	24.44	11.87	10.98	29.11	22.18	45.8	23.93	21.78	75.81	68.3	56.54	7.38	12.26	20.39	20.32	25.31	29.18	10.01	14.8	10.3	29.35	5.55	46.99	33.86	16.78	38.61	35.47	29.85	32.21	76.76	41.06	14.75	18.55	14.11	23.99	19.47	11.21	18.83	18.44
25.44	24.8	8.77	24.89	12.39	11.71	29.56	22.66	46.68	24.78	22.88	75.65	67.84	57.02	8.13	12.73	20.97	20.99	25.75	29.78	10.18	15.87	11.02	30.12	5.92	47.24	34.17	17.54	38.71	36.47	30.64	33.06	77.12	41.72	15.21	19.02	14.81	24.75	20.36	11.83	19.63	18.99
26.58	25.52	9.51	25.65	13.16	12.38	30.67	23.31	47.88	25.34	23.35	77.26	68.82	58.45	8.62	13.36	21.86	22.01	26.98	31.08	10.98	16.33	11.95	31.07	6.74	48.65	35.39	18.64	41.47	37.57	31.47	34.42	79.66	42.84	16.1	19.67	15.78	25.24	21.08	12.72	20.59	20.06
26.55	25.46	8.69	25.66	12.88	11.79	30.25	23.06	47.75	24.94	22.73	76.99	69.05	58.22	8.1	12.4	20.9	21.34	25.91	30.66	9.78	15.75	11.35	30.67	5.83	48	34.85	17.93	40.99	37.84	31.25	34.03	79.55	42.75	15.66	19	14.54	24.78	20.41	11.83	20.31	19.16
26.15	25.74	9.19	25.45	12.95	12.19	29.51	22.67	46.99	24.62	22.59	75.62	66.07	57.15	8.22	13.06	21.09	21.36	25.82	30.19	10.34	15.74	11.34	30.32	6.47	46.97	33.46	17.71	39.94	37.28	30.51	33.55	77.24	41.64	15.33	18.87	14.72	24.19	20.32	11.72	19.68	19.27
25.72	24.81	8.52	24.55	12.17	11.29	29.1	21.92	45.46	23.67	21.59	74.49	65.8	56.42	7.54	12	20.29	20.57	24.9	28.88	9.43	14.89	10.73	28.55	5.71	45.68	33.08	16.99	39.03	35.99	29.88	32.12	75.18	40.84	14.85	18	13.79	23.14	19.66	11.33	18.87	18.07
26.28	25.23	8.94	24.97	12.6	11.88	29.61	22.8	46.53	24.08	22.44	74.48	65.5	56.48	7.96	12.69	20.78	20.85	25.69	29.5	9.85	15.56	11.48	29.6	6.17	45.57	32.88	17.26	38.8	36.16	29.51	33.25	75.29	40.35	14.91	18.37	14.41	23.51	19.73	11.59	19.34	18.64
24.32	23.47	7.99	23.45	11.4	10.78	28.29	20.95	44.38	22.9	20.58	71.54	63.05	53.77	7.31	11.68	19.64	19.67	23.87	27.87	8.9	13.93	10.14	27.93	5.31	43.73	31.16	15.84	36.94	33.77	27.73	30.88	71.37	38.43	13.86	17.11	13.25	22.28	18.45	10.48	17.94	17.04
24.33	23.45	7.78	23.67	11.56	10.82	28.03	21.03	44.25	22.67	20.42	71.37	63.24	53.33	7.03	11.78	19.53	19.4	23.91	28.06	9.04	14.16	10.32	28.52	5.32	43.3	31.29	15.83	36.22	33.38	27.58	30.69	70.51	38.21	13.37	16.78	13.07	22.04	18.06	10.49	17.85	17.2
24.79	23.88	8.18	24.06	11.97	11.09	28.59	21.54	44.99	23.25	20.84	73.19	64.56	54.68	7.9	12.44	19.9	20.13	24.43	28.5	9.32	14.67	10.41	29.4	5.48	44.33	31.71	15.85	36.82	34.28	28.32	31.2	72.04	39.25	13.92	17.54	13.41	22.97	18.85	10.78	18.37	17.53
24.75	24.11	8.3	23.98	12.11	11.35	29.11	21.75	44.89	23.5	21.1	73.21	64.8	54.86	8.34	12.94	20.46	20.77	24.89	28.71	9.73	14.64	10.73	29.73	5.91	44.71	32.22	16.51	37.31	34.49	28.3	31.64	71.91	38.97	14.33	17.93	13.8	23.2	19	11.32	18.62	17.98
24.26	23.56	8.03	23.67	11.71	10.89	28.49	21.39	44.96	23.17	20.29	73.32	65.67	54.92	7.53	12.4	20.13	20.17	24.66	28.37	9.04	14.44	10.34	29.79	5.29	44.6	32.6	16.2	36.88	34.43	28.26	31.39	73.45	39.37	13.53	17.24	13.22	23.14	18.78	10.77	18.07	17.4
25.13	24.28	8.23	24.48	12.35	11.36	29.52	22.21	46.23	24.06	21.27	75.13	67.41	55.65	8.12	13.04	20.95	21.07	25.74	29.3	9.53	15.07	10.96	30.89	5.69	46.51	33.77	16.85	38.74	35.56	28.98	32.7	74.42	40.81	14.53	18.25	13.93	23.98	19.42	11.28	19.11	18.54
