"Colchicum_autumnale_M2__P_1"	"Colchicum_autumnale_M2__P_2"	"Colchicum_autumnale_M2__P_3"	"Colchicum_autumnale_M2__P_4"	"Colchicum_autumnale_M2__P_5"	"Colchicum_autumnale_M2__P_6"	"Colchicum_autumnale_M2__P_7"	"Colchicum_autumnale_M2__P_8"	"Colchicum_autumnale_M2__P_9"	"Colchicum_autumnale_M2__P_10"	"Colchicum_autumnale_M2__P_11"	"Colchicum_autumnale_M2__P_12"	"Colchicum_autumnale_M2__P_13"	"Colchicum_autumnale_M2__P_14"	"Colchicum_autumnale_M2__P_15"	"Colchicum_autumnale_M2__P_16"	"Filipendula_ulmaria_M2__P_1"	"Filipendula_ulmaria_M2__P_2"	"Filipendula_ulmaria_M2__P_3"	"Trifolium_pratense_M2__P_1"	"Trifolium_pratense_M2__P_2"	"Trifolium_pratense_M2__P_3"	"Trifolium_pratense_M2__P_4"	"Trifolium_pratense_M2__P_5"	"Trifolium_pratense_M2__P_6"	"Malva_alcea_M2__P_1"	"Malva_alcea_M2__P_2"	"Malva_alcea_M2__P_3"	"Malva_alcea_M2__P_4"	"Malva_alcea_M2__P_5"	"Malva_alcea_M2__P_6"	"Malva_alcea_M2__P_7"
46.23	56.69	64.07	95.41	35.71	59.46	26.45	20.78	110.58	37.41	-3.5	93.43	36.8	75.89	61.16	78.59	48.47	36.78	69.01	30.95	22.87	24.8	45.51	20.9	25.35	32.38	47.59	63.12	71.08	76.5	33.27	28.36
41.91	36.76	35.69	63.39	54.48	36.8	16.08	23.57	51.51	42.69	41.49	65.74	40.44	61.9	80.5	73.95	63.02	23.32	59.42	20.15	36.22	52.04	8.87	41.65	49.63	65.18	53.76	45.45	46.61	60.42	47.9	69.17
28.07	45.14	52.58	55.31	67.85	21.1	23.64	35.84	79.87	34.3	5.86	74.81	37.68	78.38	55.31	64.34	52.75	34.22	47.07	47.6	14.85	8.53	38.75	56.33	29.97	41.32	49.24	32.86	64.44	42.99	27.36	45.34
50.81	35.93	42.67	95.1	71.69	37.09	21.33	12.85	83.43	41.54	29.34	83.17	57.59	60.01	73.4	59.33	39.01	31.85	41.37	28.84	8.31	68.31	52.69	40.7	21.31	63.8	63.79	63.15	51.58	52.24	15.97	41.47
44.55	14.95	49.43	95.93	49.74	35.69	9.32	12.59	127.51	34.25	25.76	114.14	19.45	71.69	89.5	80.38	53.84	43.75	47.22	3.61	0.52	19.85	30.49	-6.48	12.05	16.58	61.53	-4.96	44.75	10.76	21.74	29.06
46.58	31.11	50.68	83.51	65.9	6.83	13.91	19.06	95.17	38.94	44.8	79.52	43.97	75.16	91.33	76.94	46.96	43.95	45.93	-0.94	7.85	44.24	30.17	33.61	47.24	33.08	37.27	38.51	65.34	90.26	45.78	36.74
43.73	29	5.08	79	69.41	53.99	14.67	-33.53	62.42	43.91	-3.84	46.84	15.01	21.1	82.88	46.66	34.74	5.93	7.73	2.55	28.53	-17.73	13.09	3.2	16.27	41.48	41.78	22.08	30.59	28.63	30.55	57.08
47.88	30.43	25.53	59.9	47.66	19.99	-30.16	-14.99	85.78	32.92	-14.78	100.87	30.99	60.88	80.9	67.66	54.13	19.24	38.56	23.12	6.52	47.32	40.58	33.62	26.63	14.55	36.14	11.48	47.09	58.18	36.24	13.06
-19.84	15.37	19.39	88.13	67.67	-22.12	-50.45	-33.07	89.14	7.09	-4.65	77.9	6.28	39.07	63.57	44.47	16.37	-19.03	8.98	-18.83	-32.46	-13.27	18.22	26.68	-22.66	-2.84	28.19	-12.21	34.49	54.33	4.47	18.17
4.6	17.56	44.03	134.1	118.54	0.38	-28.79	30.7	146.7	3.87	33.08	102.95	14.92	71.21	142.22	85.9	24.03	-8.98	19.24	-48.32	-33.97	26.03	8.35	53.27	3.68	44.76	26.44	0.1	47.49	40.35	52.51	-3.9
42.89	24.82	13.36	46.51	64.27	34.68	-9.72	2.36	112.31	31	28.34	76.97	20.84	54.97	57.44	103.71	51.37	26.71	31.35	15.94	-12.29	10.72	28.98	26.3	39.58	46.27	24.68	27.51	59.26	19.18	20	30.35
27.09	42.17	56.38	31.71	40.06	19.79	24.83	-6.85	79.1	7.9	20.66	61.8	8.6	61.41	70.13	58.81	16.07	-3.53	37.09	6.93	-2.29	10.63	20.48	33.74	63.23	36.9	38.95	12.17	18.95	8.11	36.45	22.77
