"Sinapis_arvensis_D2__P_1"	"Sinapis_arvensis_D2__P_2"	"Sinapis_arvensis_D2__P_3"	"Sinapis_arvensis_D2__P_4"	"Sinapis_arvensis_D2__P_5"	"Sinapis_arvensis_D2__P_6"	"Sinapis_arvensis_D2__P_7"	"Sinapis_arvensis_D2__P_8"	"Buddleja_davidii_D2__P_1"	"Buddleja_davidii_D2__P_2"	"Buddleja_davidii_D2__P_3"	"Buddleja_davidii_D2__P_4"	"Buddleja_davidii_D2__P_5"	"Buddleja_davidii_D2__P_6"	"Buddleja_davidii_D2__P_7"	"Buddleja_davidii_D2__P_8"	"Buddleja_davidii_D2__P_9"	"Buddleja_davidii_D2__P_10"	"Buddleja_davidii_D2__P_11"	"Buddleja_davidii_D2__P_12"	"Buddleja_davidii_D2__P_13"	"Buddleja_davidii_D2__P_14"
39.01	39.67	35.37	36.24	23.4	41.39	40.57	30.9	29.19	31.5	33.6	13.51	20.84	27.22	21.73	22.98	3.7	19.92	39.08	43.03	24.22	46.63
32.92	22.1	26.93	27.92	27.49	10.28	18.06	15.55	22.52	29.42	32.02	4.85	24.56	21.29	3.68	27.62	28.56	18.45	39.68	47.63	32.67	15.03
47.01	35.35	21.88	21.67	10.23	29.77	23.39	23.14	25.97	36.47	41.4	26.13	15.12	25.41	9.97	14.58	12.12	6.63	38.79	29.99	12.54	26.72
39.47	47.71	33.56	38.1	27.91	41	-5.17	16.11	19.72	34.03	35.86	17.62	17.86	24.27	11.64	3.36	6.18	3.11	29.6	27.56	40.06	4.38
28.52	46.43	43.35	24.01	31.28	17.91	6.96	17.74	16.62	18.14	22.52	1.68	22.39	15.25	24.25	17.32	13.86	5.76	44.01	38.61	37.47	18.83
45.63	33.51	30.77	48.22	14.33	28.59	10.46	24.8	38.56	38.56	23.58	23.77	26.5	36.03	40.19	25.79	8.07	25.22	51.64	36.73	24.52	38.57
25.82	28.39	43.16	16.97	16.95	22.85	12.99	12.92	40.57	52.53	46.01	14.79	21.93	56.58	12.4	21.53	13.95	13.18	52.46	59.59	19.7	37.14
48.69	29.26	24.38	24.35	18.9	24.93	41.86	14.86	38.57	22.87	29.23	8.51	29.28	26.16	27.34	4.3	12.17	14.73	42.76	35.43	28.89	20.37
45.09	51.43	36.94	30.09	22.84	33.81	17.78	22.04	33.27	19.43	59.26	5.98	-2.25	33.67	25.64	35.98	14.63	7.44	46.82	47.69	44.23	29.36
43.54	34.86	49.32	46.14	17.13	22.2	27.53	19.47	27.95	17.03	24.97	7.13	10.53	26.67	13.05	8.44	33.36	21.84	39	57.31	33.42	47.07
31.75	41.64	15.14	24.23	23.36	35.02	19.23	24.06	32.21	30.53	46.01	7.58	3.9	33.72	18.57	6.78	3.34	18.55	45.13	33.36	33.07	20.76
43.6	27.49	20.79	37.84	16.78	31.59	9.8	-0.27	44.17	18.13	36.42	-1.05	23.98	29.16	16.69	1.5	-9	20.41	30.34	41	3.15	30.43
