"Malva_sylvestris_H2__P_1"	"Malva_sylvestris_H2__P_2"	"Malva_sylvestris_H2__P_3"	"Malva_sylvestris_H2__P_4"
131.08	82.87	106.23	89.53
135.4	81.99	101.27	81.2
120.11	81.55	95.22	79.45
122.59	79.49	105.8	88.17
118.52	84.7	93.53	74.9
128.1	84.88	105.98	89.67
111.92	75.27	95.55	72.27
113.36	80.19	99.84	78.38
116.94	74.73	94.53	82.32
112.17	75.56	99.84	81.05
114.19	82.04	98.51	73.29
124.66	86.58	97.69	80.43
128.51	85.65	91.79	81.9
128.78	86.19	105.91	86.04
125.5	84.75	101.62	85.2
117.54	82.87	99.89	75.86
123.23	79.88	102.5	78.49
120.08	80.06	99.37	81.09
116.94	78.02	90.11	75.77
115.19	84.42	96.1	86.18
124.04	88.03	96.64	81.75
124.79	83.69	100.58	79.32
114.9	84.4	85.24	81.73
130.14	91.66	109.36	76.87
125.81	86.53	92.86	79.72
122.69	82.67	98.25	84.82
125.88	84.03	99.26	77.77
125.41	83.51	102.73	86.49
119.55	84.89	97.12	77.03
122.34	83.42	100.69	84.46
131.42	84.4	99.77	81.39
121.12	86.9	101.23	74.48
122.79	81.82	98.86	83.43
119.89	80.23	89.59	80.87
129.3	83.14	93.77	74.53
119.93	85.34	102.34	78.28
119.71	87.11	98.99	77.87
124.8	84.07	97.83	78.05
121.72	85.1	97.76	78.53
122.21	87.76	105.09	84.99
117.25	80.03	93.4	75.94
119.3	76.32	92.62	82.16
125.16	85.32	93.72	78.98
123.68	85.1	104.32	76.84
130.28	90.45	97.57	78.16
115.67	79.54	93.58	78.49
113.72	80.05	93.9	71.66
121.48	82.45	101.83	70.47
108.73	75.44	90.68	75.57
114.16	75.56	100.34	79.93
116.2	85.19	90.56	74.69
115.88	74.34	93.26	74.56
125.69	77.78	98.99	75.02
114.86	82.09	99	83.34
116.95	81.41	93.36	78.87
111.51	77.62	99.59	82.78
131.98	92.21	104.31	80.81
128.92	88.5	105.37	86.02
120.97	81.43	92.19	74.94
117.59	77.96	93.52	71.74
122.97	84.07	95.08	82.48
121.15	85.06	97.48	83.14
126.4	73.98	104.63	84.58
118.1	82.05	102.09	72.93
112.83	79.64	93.49	79.02
102.33	80.85	90.04	80.31
118.66	81.09	94.6	66.74
122.2	80.95	98.96	78.28
117.38	77.38	105.36	81.13
116.86	74.28	94.92	77.27
129.52	85.21	96.8	83.9
122.55	87.43	97.99	79.76
120.27	81.78	102.6	68.79
138.05	94.23	107.29	83.93
115.86	80.24	86.99	67.87
121.64	78.1	93.61	80.04
125.82	88.53	95.03	79.52
116.26	88.23	98.08	82.78
114.49	85.41	91.21	71.96
120.54	78.74	102.18	75.68
131.21	76.26	103.79	97.74
111.4	73.08	97.11	74.38
122.13	82.39	106.99	77.94
126.71	83.91	102.56	76.88
128.13	82.2	100.24	83.04
125.96	80.13	96.24	67.45
123.64	82.88	100.94	74.73
116.64	76.85	95.59	78.29
136.87	87.64	107.67	77.92
112.89	81.25	89.66	82.27
130.94	78.8	102.17	77.82
122.73	81.53	106.93	76.28
123.52	74.21	89.07	75.59
117.72	78.83	95.86	74.25
124.29	88.28	101.99	80.49
129.17	81.58	107.97	87.37
122.39	81.56	95.54	73.62
135.88	94.74	98.97	74.81
109.93	84.09	88.84	68.78
114.19	84.16	91.07	67.49
132.19	86.81	114.5	91.36
123.77	89.34	99.94	87.51
104.08	66.32	87.85	68.99
129.96	88.8	104.4	90.38
114.81	74.99	90.62	79.42
124.21	73.84	90.96	76.24
126.76	90.91	107.21	76.84
118.09	96.35	101.54	75.83
109.69	76.63	79.61	76.19
136.11	94.33	119.19	80.33
131.61	82	95.89	78.6
125.85	74.77	102.33	84.43
102.99	66.89	89.4	77.31
124.82	87.55	100.31	72.03
115.94	91.59	100.75	87.05
121.29	82.88	83.7	72.41
122.73	96.32	113.02	83.22
126.46	82.65	95.56	71.32
121.1	90.62	87.72	71.25
129.93	95.23	110.61	84.91
112.7	73.74	96.3	67.68
104.88	69.63	94.56	56.92
113.83	94.61	101.91	79.19
128.36	91.55	112.63	95.42
151.12	100.79	112.02	94.48
125.77	69.94	105.57	80.93
114.91	78.7	99.02	70.99
113.65	76.25	93.26	78.09
116.31	85.75	97.08	78.4
130.17	77.33	95.79	77.3
132.76	101.12	107.91	90.52
120.62	86.99	95.59	82.61
110.83	71.29	87.33	71.8
116.19	80.33	96.32	82.3
114.78	75.97	98.82	80.32
132.71	86.84	108.81	87.15
125.39	79.33	98.57	82.82
132.63	86.48	100.1	84.17
122.61	86.59	106.75	76.76
123.14	80.24	99.43	84.44
126.2	81.83	100.31	87.16
122.87	84.6	98.31	81.22
132.77	87.13	101.03	84.96
131.83	89.77	102.45	87.19
137.48	95.27	107.46	90.08
134.23	92.21	109.63	90.4
131.82	89.76	106.27	89.01
134.88	93.07	107.96	90.35
133.77	93.8	108.2	91.26
138.46	96.71	112.29	88.75
128.83	92.26	105.19	89.3
131.87	89.09	107.04	87.74
129.58	89.39	110.11	86.55
134.21	93.63	108.17	90.85
126.41	93.71	105.31	89.83
131.59	89.33	99.57	78.28
136.07	96.39	105.74	86.08
118.81	85.01	101.21	79.59
135.3	89.54	99.55	83.91
130.05	84.63	102.38	84.24
134.73	89.77	104.69	85.48
129.19	90.74	107.3	88.82
124.75	85.89	107.31	86.85
132.62	88.9	105.82	85.82
131.89	91.74	109.45	86.45
132.96	86.77	100.26	87.22
118.74	86.96	101.49	85.43
125.21	87.58	109.41	86.8
130.6	93.06	111.19	89.47
130.56	72.32	111.42	86.26
123.46	85.85	100.6	79.66
125.69	82.21	87.12	71.26
129.3	88.36	97.62	78.35
122.94	78.4	91.45	72.97
142.67	93.59	103.38	93.13
122.49	76.32	110.76	81.65
131.66	95.62	102.02	92.98
114.74	76.35	93.49	72.1
125.16	86.13	101.73	81.4
118.38	81.36	93.07	76.95
128.33	84.8	105.04	84.71
129.19	93.18	108.64	85.6
127.1	84.78	99.34	79.45
131.2	85.24	107.17	80.64
124.26	95.23	100.58	83.9
124.01	81.35	91.07	78.69
134.89	91.26	107.45	81.5
135.91	85.94	112.53	87.37
120.29	83.24	104.78	81.33
125.53	84.93	100.5	80.82
129.44	92.18	111.25	92.04
117.3	82.35	104.85	80.28
103.55	77.9	100.37	71.84
117.26	78.43	110.14	88.97
99.34	81.03	86.89	67.97
122.43	90.51	103.28	73.59
143.84	80.03	95.91	83.05
115.49	76	92.65	62.51
118.7	96.09	103.5	77.44
156.65	105.59	111.1	95.02
150.8	91.48	109.56	80.04
113.61	68.15	89.63	61.06
117.27	88.96	106.87	80.89
123.28	77.18	92.87	74.02
154.93	99	100.76	87.39
115	90.49	104.16	68.79
134.43	99.57	100.59	51.88
128.3	87.3	105.55	71.84
118.98	86.25	81.77	70.51
150.52	60.4	94.63	70.69
146.76	76.18	89.96	70.98
122.07	61.54	83.33	73.26
132.2	93.25	96.22	76.61
128.61	81.83	61.26	74.25
110.59	66.46	111.98	58.4
96.9	77.8	82.87	40.5
110.61	73.86	77.36	50.38
91.12	61.86	60.23	14.79
159.72	84.42	84.78	28.15
91.99	77.54	92.78	53.33
101.62	58.05	84.85	35.64
72.28	56.87	84.72	42.8
116.16	61.7	84.52	58.91
103.8	21.99	67.31	57.2
97.97	44.27	76.55	46.12
116.16	89.98	92.77	81.92
106.94	76.32	69.54	46.23
102.54	37.72	85.52	46.32
141.9	105.7	102.03	70.19
157.41	69.31	82.71	65.53
117.6	61.6	106.79	70.7
110.8	46.5	78.79	78.19
149.43	80.87	121.47	88.68
163.45	61.21	123.17	104.44
122.77	85.77	96.3	123.84
100.98	95.84	93.11	56.77
99.84	86.74	79.57	83.74
141.7	7.48	132.28	15.32
114.01	71.29	122.01	45.41
94.81	61.67	78.08	62.28
76.42	58.07	81.83	64.33
118.83	83.94	119.4	59.66
126.69	101.36	77.26	43.94
109.63	90.68	81.92	57.84
145.29	33.09	91.85	58.41
65.99	63.53	99.54	34.5
101.83	75.11	72.88	62.14
89.16	86.83	93.21	58.15
66.21	44.36	39.95	33.97
133.25	92.61	94.75	59.58
194.25	152.71	169.9	164.26
134.93	79.5	57.51	30.92
102.55	66.49	67.41	37.89
116.32	92.74	120.07	65.89
83.7	0.24	94.31	11.47
183.02	96.33	115.37	35.85
102.56	29.46	32.29	50.79
132.27	75.39	99.11	136.86
34.14	31.12	49.48	22.38
108.84	86.47	139.52	89.75
88.7	39.27	52.84	72.35
99.38	37.34	74.99	52.14
87.25	34.79	92.06	47.68
122.32	34.49	107.6	24.59
91.7	42.28	84.03	43.05
175.17	-32.83	214.15	258.24
104.52	54.63	72.15	69.45
92.7	14.72	47.68	10.89
96.08	53.41	96.08	59
120.78	40.19	124.89	32.39
126.9	60.75	77.56	50.75
114.4	44.51	78.05	70.86
69.79	63.23	77.49	8.9
71.12	54.5	75.13	33.24
88.58	45.78	108.85	20.95
196.18	108.52	91.96	97.02
151.28	48.69	55.22	97.12
94.87	86.06	136.36	100.61
92.54	66.47	78.25	74.35
113.13	68.5	34.34	63.42
206.16	69.68	81.84	57.42
82.13	65.84	135.42	70.27
72.08	72.5	93.52	40.7
127.17	30.63	58.1	11.75
47.94	16.33	95.63	47.1
243.05	115.38	20.73	-61.73
92.63	116.28	95.31	55
109.05	76	70.31	36.24
92.43	37.78	89.67	54.22
76.55	93.5	26.07	19.26
112.3	46.92	44.43	-36.37
86.83	30.79	83.96	-13.82
77.65	-9.66	81.48	-16.98
109.24	44.76	61.46	72.17
183.84	116.21	208.03	81.86
105.44	16.23	88.91	60.96
172.53	45.23	85.15	-16.01
111.46	93.51	125.64	72.59
200.42	60.4	86.81	46.07
45.96	35.91	53.66	23.13
91.14	49.93	72.27	46.39
73.59	79.15	91.63	69.62
110.39	65.69	74.98	45.52
167.13	59.89	92.6	60.31
144	76.11	66.08	23.59
248.4	6.49	212.98	46.56
109.12	103.79	65.56	42.46
127.27	42.9	98.59	120.94
102.86	49.38	55.13	38.23
148.89	60.79	45.96	8.08
79.87	84.54	96.68	49.29
150.7	81.32	90.52	75.96
66.75	83.16	79.78	66.58
124.64	51.04	105.69	49.38
111.09	97.41	100.28	22.25
87.44	85.36	93.62	53.17
136.2	82.6	113.83	73.66
105.67	63.04	95.51	91.5
52.2	29.04	71.76	58.31
88.24	49.55	101	55.06
207.36	173.86	103.98	73.36
84.42	107.65	106.8	69.39
69.36	69.33	97.71	15.48
98.63	11.17	80.48	42.96
98.27	20.46	51.7	40.68
98.81	40.76	20.95	-42.01
115.51	105.52	143.01	52.16
133.8	153.42	27.7	-2.46
128.04	58.43	63.44	-36.82
275.25	189.01	128.53	70.01
182.14	158.4	88.16	91.79
182.14	158.4	88.16	91.79
182.14	158.4	88.16	91.79
