"Malva_sylvestris_H2__P_1"	"Malva_sylvestris_H2__P_2"	"Malva_sylvestris_H2__P_3"	"Malva_sylvestris_H2__P_4"
18.84	3.47	10.9	7.29
19.03	3.59	10.94	8.01
18.4	3.79	10.52	7.78
18.68	3.96	10.84	7.76
18.51	3.09	10.27	7.7
18.21	3.46	11.04	7.88
18.5	3.46	10.83	7.7
18.1	2.87	10.35	7.13
18.38	3.32	10.97	7.81
18.6	3.97	11.13	8.12
18.54	3.68	11.4	8.17
19.24	4.27	12.3	8.75
19.04	3.51	12.19	8.07
19.8	4.17	12.59	8.31
18.79	3.62	11.97	7.87
19.14	3.39	11.85	8.15
18.71	3.56	12.22	8.75
18.81	3.4	11.61	8.25
18.91	3.41	12.04	8.64
18.82	3.56	12.2	8.25
18.79	3.24	12.04	8.18
18.41	3.63	11.7	8.54
18.21	3.81	12.12	8.56
17.88	3.44	12.16	8.27
18.38	3.56	12.03	8.2
18.23	3.68	12.26	8.57
18.11	3.34	12.43	8.21
19.3	3.85	13.21	8.55
18.88	3.84	12.85	8.55
19.42	3.4	12.97	8.33
19.32	3.64	13.14	9.12
19.56	4.23	13.16	8.85
18.98	3.57	13.01	8.17
19.23	3.51	13.42	8.73
19.52	4.14	13.51	9.13
19.84	3.81	13.36	9.13
19.37	3.91	14	9.5
18.57	3.71	13.34	9.25
19.07	4.53	12.97	8.82
19.54	4.18	13.6	9.14
19.34	4.16	13.4	8.91
19.29	4.02	13.6	8.74
19.13	3.05	13.41	8.73
19.74	3.77	13.69	8.73
19.4	4.36	13.62	9.34
19.13	4.37	13.72	9.11
19.13	4.36	14.38	8.75
19.58	4.12	13.37	9.65
19.35	4.33	13.79	9.1
20.06	4.78	14.82	9.21
19.78	4.46	14.13	9.16
19.29	4.21	14.07	9.12
19.24	4.19	13.68	8.99
19.34	3.93	13.94	9.45
19.34	4.44	14.86	9.94
18.96	4.09	13.24	9
19.37	4.17	14.19	9.46
19.17	3.63	13.71	9.45
18.95	4.41	13.55	9.21
18.82	4.11	13.58	9.47
18.77	3.82	13.54	9.09
19.28	3.85	13.84	9.06
19.24	4.15	13.93	9.27
18.57	3.76	13.3	9.27
19.05	3.59	13.84	9.02
19.39	4.09	14.16	9.39
