"Buddleja_davidii_C2__P_1"	"Buddleja_davidii_C2__P_2"	"Buddleja_davidii_C2__P_3"	"Buddleja_davidii_C2__P_4"	"Impatiens_glandulifera_C2__Lp_1"	"Impatiens_glandulifera_C2__Lp_2"	"Impatiens_glandulifera_C2__Pp_3"	"Impatiens_glandulifera_C2__Pp_4"	"Impatiens_glandulifera_C2__Ep_5"	"Impatiens_glandulifera_C2__Lp_6"	"Impatiens_glandulifera_C2__Lp_7"	"Impatiens_glandulifera_C2__Pp_8"	"Impatiens_glandulifera_C2__Pp_9"	"Impatiens_glandulifera_C2__Lp_10"	"Impatiens_glandulifera_C2__Lp_11"	"Impatiens_glandulifera_C2__Pp_12"	"Impatiens_glandulifera_C2__Pp_13"	"Impatiens_glandulifera_C2__Pp_14"	"Impatiens_glandulifera_C2__Lp_15"	"Impatiens_glandulifera_C2__Lp_16"	"Impatiens_glandulifera_C2__Pp_17"	"Impatiens_glandulifera_C2__Pp_18"
14.18	9.34	20.94	9.97	15.15	17.53	20.67	19.51	14.05	16.98	13.64	15.12	13.66	16.06	16.04	7.96	18.84	10.63	17.42	15.22	19.1	25.69
-6.42	-5.25	4.31	-12.19	-1	2.5	9.52	0.46	-14.59	7.63	-4.47	13.54	4.96	4.14	4.19	1.72	-1.97	-2.46	4.36	18.48	10.16	22.06
12.41	11.35	22.68	16.98	17.88	18.16	24.09	20.18	11.28	15.13	19.03	20.12	19.23	19.24	26.98	16.09	19.6	17.68	18.81	17.83	18.82	26.87
-4.66	-0.63	16.69	-9.35	0.52	3.07	1.72	18.69	-6.01	7.78	3.06	10.45	8.38	5.98	18.65	4.3	0.99	-1.2	4.47	10.59	10.44	22.76
1.98	11.62	17.58	5.07	13.54	12.66	13.84	8.75	4.7	8.11	9.63	14.97	5.04	5.92	9.38	1.44	10.83	5.94	4.35	16.17	8.19	23.26
10.46	12.79	17.76	12.53	17.07	14.15	17.99	19.6	7.67	15.1	15.49	18.16	14.93	14.31	17.25	8.4	12.34	15.62	14.29	18.02	16.05	23.97
7.38	7.87	16.98	4.37	15.32	14.1	15.94	15.34	5.66	9.16	9.86	14.07	11.15	11.11	11.96	12.1	6.56	12.6	14.21	14.07	19.99	24.26
-2.92	-4.11	14.41	-6.07	6.57	7.02	4.89	11.6	-1.37	2.82	2.74	11	-1.11	3.24	2.23	-1.08	5.03	4.44	8.87	10.92	5.33	15.24
-10.86	-8	0.92	-7.48	-0.89	5.88	0.36	-1.04	-2.24	-6.06	0.66	4.79	-0.22	0.13	7.01	0.36	-6.26	-2.66	-1.29	1.14	1.47	9.99
-9.41	-12	-6.07	-12.69	-7.3	-7.11	-0.54	-6.11	-13.43	-7.41	-4.07	-2.67	-8.77	-6.68	-1.73	-7.38	-13.92	-8.18	-11.52	-5.72	-8.97	4.26
-2.98	-8.96	1.4	-5.57	-2.91	-0.52	4.51	-1.6	-5.54	-0.42	-1.31	6.91	2.78	-0.82	4.72	-2.43	-2.61	-0.94	-3.75	1.54	2.27	9.34
