"Wavelength_A__P_"	"Impatiens_glandulifera_A__Er_1"	"Impatiens_glandulifera_A__Lr_2"	"Impatiens_glandulifera_A__Lr_3"	"Impatiens_glandulifera_A__Lr_4"	"Impatiens_glandulifera_A__Er_5"	"Cirsium_arvense_A__P_1"	"Convolvulus_sepium_A__P_1"	"Convolvulus_sepium_A__P_2"	"Convolvulus_sepium_A__P_3"	"Convolvulus_sepium_A__P_4"	"Rubus_caesius_A__P_1"	"Rubus_caesius_A__P_2"	"Saponaria_officinalis_A__P_1"	"Trifolium_repens_A__P_1"	"Trifolium_repens_A__P_2"
199.522	45.93	29.02	32.6	32.44	9.62	28.95	72.43	46.57	50.48	55.92	22.97	31.45	99.7	17.14	47.83
199.905	32.58	20.62	17.73	36.05	-0.1	22.12	88.07	44.31	50.44	56.1	17.13	9.37	67.9	9.36	38.92
200.288	32.92	25.05	20.91	33.61	16.87	19.63	77.76	48.02	52.9	38.47	13.08	22.91	96.72	4.21	52.99
200.671	12.27	-19.15	-5.33	-7.81	-1.88	-3.14	71.25	29.42	32.32	7.55	6.77	-7.84	111.44	-30.33	24.45
201.054	36.95	41.67	30.79	36.19	24.98	30.28	76.95	52.59	61.36	42.2	28.36	30.94	98.17	19.76	55.34
201.436	37.92	15.97	33.34	23.63	8.04	18.98	76.68	50.11	54.35	42.05	34.82	17.15	100.71	2.35	47.51
201.819	18.74	4.57	0.91	4.65	-6.37	-9.52	58.73	24.06	26.43	16.99	2.17	-8.89	76.84	-26.44	28.48
202.202	25.79	22.79	12.13	9.59	4.62	6.09	64.86	45.69	47.39	39.29	6.12	15.66	87.96	-11.59	46
202.584	5.06	19.55	10.28	23.63	-9.98	-1.41	63.25	33.61	37.27	25.49	-6.97	5.99	74.42	-12.29	37.54
202.967	41.83	30.4	29	36.58	18.44	18.26	88.76	54.43	53.35	41.17	20.24	36.99	97.25	6.13	44.85
203.349	20.92	16.23	14.92	11.73	-3.37	3.51	50.01	16.54	26.25	25.98	6.9	4.9	66.9	-3.03	24.8
203.732	28.12	18.35	14.23	18.49	14.35	14.8	64.59	40.07	50.64	40.44	20.82	26.3	87.36	5.55	45.47
204.114	17.02	10.56	7.53	17.99	5.8	8.46	48.51	19.97	30.57	25.15	2.47	16.61	74.24	-4.29	18.07
204.497	31.85	17	19.88	28.79	19.67	17.96	72.34	39.58	46.27	49.83	22.26	21.33	85.25	6.17	36.6
204.879	22.79	12.91	7.93	14.53	4.95	3.1	54.15	32.57	33.33	29.31	1.2	15.62	70.48	4.37	13.14
205.261	20.5	20.74	18.04	16.43	6.47	10.41	55.99	35.58	26.8	35.58	8.18	21.63	65.56	5.57	28
205.644	43.14	27.58	26.49	30.32	13.62	24.48	61.87	37.31	47	36.24	12.08	21.05	80.99	13.42	38.59
206.026	23.62	0.15	15.29	11.49	-6.69	-3.39	59.03	32.75	46.65	18.43	3.92	6.79	80.88	-10.49	26.35
206.408	47.8	13.65	28.34	24.41	13.67	12.61	81.83	43.35	55.39	44.22	14.48	33.42	92.78	11.67	37.94
206.791	37.17	23.96	20.04	22.29	10.65	16.84	56.13	36.19	46.5	32.36	9.37	26.52	74.77	12.54	51.9
207.173	52.54	49.24	43.08	33.63	31.38	29.35	74.8	59.93	57.73	58.94	39.55	38.77	90.65	25.19	54.72
207.555	18.27	15.42	7.75	12.23	6.05	-7.43	64.02	25.1	29.59	21.69	10.08	12.36	68.25	4.25	24.51
207.937	33.79	24.84	22.75	16.76	14.65	19.3	62.02	37.1	49.51	34.77	23.97	10.99	70.98	6.34	34.98
208.319	14.34	0.44	4.24	-9.03	-9.64	-3.57	55.72	12.22	33.76	17.82	-3.35	-0.26	78.44	-20.48	18.22
208.701	24.81	24.14	23.03	22.66	17	15.14	70.39	30.26	45.3	37.93	13.43	23.21	70.07	17.14	36.41
209.083	23.63	19.27	27.25	11.07	14.21	1.63	83.44	30.12	52.71	33.46	19.14	12.51	82.22	4.06	37.54
209.465	39.76	28.17	19.98	32.94	17.97	18.38	77.06	47.05	53.25	61.63	21.7	33.91	102.77	7.6	46.24
209.847	32.84	30.33	20.73	31.4	4.64	19.21	91.64	40.6	61.81	41.07	9.45	16.07	115.75	-17.49	42.82
210.229	30.43	11	16.22	10.55	-9.05	3.44	65.95	30.29	39.44	32.09	3.81	5.02	78	2.68	36.25
210.611	12.67	-3.47	8.02	1.67	-15.18	-9.32	65.59	23.93	35.28	34.43	-5.34	8.22	80.54	-6.56	24.35
210.993	19.22	17.51	6.46	13.92	3.67	-0.01	63.7	19.71	34.89	39.81	7.09	-9.62	78.93	-5.41	25.97
211.374	51.56	51.02	47.11	56.47	41.37	44.57	80.71	71.36	73.13	66.08	46.1	43.34	100.16	42.7	63.46
211.756	18.1	18.41	7.21	13.95	-2.19	-18.54	58.1	26.31	34.96	28.38	-1.62	-6.88	91.79	-8.53	33.95
212.138	16.87	-2.35	5.94	-6.34	-8.62	-5.24	52.53	17.29	12.38	22.89	-14.41	-3.27	89.8	-13.06	20.89
212.52	35.7	21.16	28.11	26.15	15.55	25.68	74.22	42.48	59.6	40.92	27.6	35.35	88.01	12.04	42.57
212.901	35.34	27.58	33.58	38.58	26.32	15.68	69.77	41.32	46.44	46.54	25.43	23.24	80.03	20.68	43.64
213.283	37.45	29.27	26.07	33.75	20.89	21.27	56.08	41.42	47.51	42.33	27.22	23.99	66.89	20.46	44.81
213.664	26.55	16.74	20.22	19.89	12.49	8.89	68.06	33.93	49.61	33.75	17.64	12	92.7	-1.19	52.77
214.046	13.53	3.15	9.91	5.7	-6.8	-13.67	47.52	25.48	42.71	22.23	1.3	-5.34	59.36	-12.22	18.93
214.427	33.17	18.49	20	19.12	12.53	6.86	60.04	30.45	52.38	45.56	17.24	16.11	77.01	9.07	31.68
214.809	32.39	27.95	26.09	16.08	20.24	8.12	55.56	33.49	45.36	42.28	13.22	16.27	70.72	8.54	29.58
215.19	23.01	11.25	15.9	14.44	-1.74	0.08	56	31.54	51.6	35	7.56	6.96	79.49	-5.89	29.99
215.572	43.43	32	37.5	37.6	28.85	32.17	83.06	54.76	67.82	50.48	24.29	38.92	105.82	24.92	48.92
215.953	41.39	33.7	38.64	28.31	18.33	26.86	74.19	44.91	48.35	52.22	25.67	30.11	83.32	22.11	38.34
216.334	34.4	16.49	26.79	25.66	16.94	12.02	71.86	32.71	41.84	42.32	14.32	17.53	82.18	9.26	35.93
216.716	14.49	10.05	13.05	14.38	0.18	6.92	51.46	17.09	36.18	27.47	6.05	11.91	62.71	0.83	28.69
217.097	29.12	27.38	26.62	18.17	13.29	13.93	62.91	43	57.29	36.95	7.83	32.26	87.72	9.04	41.41
217.478	23.66	17.84	0.45	13.23	-2.33	-0.57	53.54	22.06	37.68	27.91	8.98	-0.05	65.39	-1.33	32.73
217.859	25	16.09	20.05	19.08	10.83	9.58	48.12	22.02	35.61	33.69	17.3	14.24	65.98	7.38	26.21
218.241	31.09	19.41	21.5	22.24	11.96	13.74	65.15	41.75	41.96	28.92	10.39	8.61	71.55	4.7	26.56
218.622	31.47	21.59	25.35	15.73	26.91	22.78	74.17	39.34	46.86	36.44	23.55	21.29	82.77	14.46	37.22
219.003	25	18.26	25.72	18.85	18.22	23.08	57.37	34.88	48.3	35.76	24.7	18.53	77.96	6.95	37.5
219.384	24.11	14.54	12.29	9.38	6.29	3.49	48.93	23.56	37.25	30.23	8.91	8.92	61.64	-0.12	25.86
