"Campanula_persicifolia_I__P_1"	"Campanula_persicifolia_I__P_2"	"Convolvulus_sepium_I__Pr_1"	"Convolvulus_sepium_I__P_2"	"Convolvulus_sepium_I__Pr_3"	"Convolvulus_sepium_I__P_4"	"Helminthia_echioides_I__P_1"	"Helminthia_echioides_I__P_2"	"Mentha_suaveolens_I__P_1"	"Mentha_suaveolens_I__P_2"	"Mentha_suaveolens_I__P_3"	"Mentha_suaveolens_I__P_4"	"Filipendula_ulmaria_I__P_1"	"Filipendula_ulmaria_I__P_2"	"Filipendula_ulmaria_I__P_3"	"Filipendula_ulmaria_I__P_4"	"Spiraea_japonica_I__P_1"	"Spiraea_japonica_I__P_2"	"Spiraea_japonica_I__P_3"	"Spiraea_japonica_I__P_4"	"Anthriscus_sylvestris_I__P_1"	"Anthriscus_sylvestris_I__P_2"	"Anthriscus_sylvestris_I__P_3"	"Anthriscus_sylvestris_I__P_4"	"Anthriscus_sylvestris_I__P_5"	"Impatiens_glandulifera_I__Lr_1"	"Impatiens_glandulifera_I__Er_2"	"Impatiens_glandulifera_I__Lr_3"	"Impatiens_glandulifera_I__Er_4"	"Impatiens_glandulifera_I__Lb_5"	"Impatiens_glandulifera_I__Eb_6"	"Eupatorium_cannabinum_I__P_1"	"Eupatorium_cannabinum_I__P_2"	"Geranium_robertianum_I__P_1"	"Geranium_robertianum_I__P_2"	"Geranium_robertianum_I__P_3"	"Geranium_robertianum_I__P_4"	"Hypericum_perforatum_I__P_1"	"Hypericum_perforatum_I__P_2"	"Lotus_corniculatus_I__P_1"	"Lotus_corniculatus_I__P_2"	"Lotus_corniculatus_I__P_3"	"Reynoutria_japonica_I__P_1"	"Reynoutria_japonica_I__P_2"	"Buddleja_davidii_I__P_1"	"Buddleja_davidii_I__P_2"
53.13	50.07	69.2	85.33	71.1	71.8	64.28	78.7	11.52	15.32	46.96	35.84	76.39	112.48	56.9	112.3	58.42	50.9	83.54	67.15	120.1	9.3	7.73	175.31	20.68	26.68	71.27	56.99	44.06	64.18	94.99	44.72	28.56	53.12	79.71	6.44	152.32	98.07	130.98	94.27	25.96	90.36	75.38	63.79	85.44	49.57
53.01	49.93	69.25	85.07	71.08	71.49	64.46	79.34	11.67	15.34	47.19	35.74	77.05	113.5	56.93	113.09	58.72	50.93	84.33	67.4	120.73	9.35	7.69	177.62	20.66	26.91	71.08	57.53	44.19	64.19	95.58	44.71	28.72	53.21	80.26	6.5	153	98.33	131.02	94.76	25.99	91.03	76.56	64.53	85.78	49.82
52.58	49.59	68.86	85.01	70.89	71.31	64.52	78.98	11.55	15.29	47.41	35.63	77.19	113.51	56.9	113.02	59.29	51.21	85.02	67.98	121.1	9.23	7.79	180.04	20.63	27	71.49	57.85	44.45	63.96	95.67	44.5	28.73	53.21	80.65	6.36	155.02	98.2	131.78	95.12	25.85	90.93	76.76	64.67	86.25	50.02
52.53	49.8	69.24	85.53	71.62	71.47	64.94	79.87	11.69	15.38	47.86	35.95	77.83	114.59	57.31	114.35	59.65	51.51	86.68	68.59	122.59	9.25	7.84	181.57	20.68	27.58	71.89	58.25	44.76	64.56	96.01	44.67	28.99	53.57	81.85	6.53	156.92	98.59	132.7	95.76	26.18	91.39	77.96	65.53	87.09	50.48
52.41	49.69	69.42	85.16	71.57	71.34	64.65	79.95	11.71	15.46	47.66	35.85	78.01	115.21	57.57	114.63	59.72	51.62	87.28	69.13	122.26	9.3	7.95	182.48	20.76	27.75	72.14	58.47	45.06	64.28	96.36	44.84	29.1	53.82	82.32	6.59	157.48	98.57	132.77	96.3	26.22	91.68	78.53	65.92	87.23	50.58
52.26	49.7	69.83	85.48	71.61	71.76	64.83	80.27	11.8	15.68	47.62	35.75	78.37	115.84	57.36	114.91	60.41	51.93	88.67	69.71	123.1	9.23	7.92	183.6	20.89	27.83	72.29	59.07	45.19	64.61	96.36	44.79	29.15	54.01	83.39	6.49	158.96	99.35	133.67	96.46	26.32	92.21	78.96	66.99	87.45	51.07
52.1	49.53	69.73	85.72	72.1	71.99	64.92	80.24	11.8	15.61	47.82	35.84	78.54	116.64	57.42	115.39	60.72	52.03	89.35	70.34	123.32	9.23	7.8	184.34	20.95	28.5	72.56	59.53	45.52	64.61	96.92	44.81	29.28	54.29	84.09	6.45	160.27	99.16	134.27	96.82	26.38	92.08	79.9	67.45	87.67	51.12
52.23	49.6	69.88	85.46	72.09	71.77	64.85	80.19	11.84	15.64	47.92	35.91	78.87	116.68	57.44	115.59	61.04	52.06	90.35	71.07	123.61	9.14	7.95	184.83	20.98	28.57	72.66	59.82	45.66	64.86	97.2	44.8	29.23	54.26	84.97	6.71	160.98	99.71	134.27	96.94	26.34	92.24	80.94	67.88	88.13	51.64
52.19	49.38	69.87	85.96	72.35	71.88	64.8	80.34	11.89	15.8	47.92	35.97	78.8	116.79	57.84	116.02	61.3	52.27	90.97	71.35	123.85	9.33	7.91	185.31	20.98	28.85	73.16	60.08	45.8	64.58	97.19	44.76	29.28	54.32	85.69	6.65	162.13	99.51	135.09	97.43	26.32	92.39	81.02	67.95	88.31	51.61
52.05	49.2	69.78	85.64	72.17	71.84	64.73	80.41	11.76	15.79	47.86	35.62	78.96	116.67	57.37	115.98	61.56	52.15	91.83	71.25	123.44	9.11	7.87	185.76	20.88	28.89	72.88	60.15	46.03	64.34	97.15	44.67	29.2	54.69	86.2	6.63	162.56	99.59	134.99	97.26	26.23	92.19	81.53	68.23	88.3	51.29
52.17	49.24	70.01	85.71	72.1	72.07	64.86	80.37	11.89	15.94	47.77	35.97	78.69	116.76	57.25	115.5	61.81	52.14	92.3	71.58	123.75	9.2	7.96	185.15	21.08	29.26	72.74	60.65	45.89	64.56	97.14	44.73	29.17	54.76	86.87	6.72	163.13	99.61	134.82	97.5	26.32	92.54	81.82	68.63	88.19	51.6
51.9	49.34	69.66	85.86	72.39	71.78	64.76	80.46	11.8	15.86	47.72	35.81	78.6	116.93	57.43	115.49	61.9	52.37	92.74	72.06	124.06	9.1	7.93	185.86	20.88	29.38	72.91	60.73	46.35	64.4	96.94	44.75	29.38	54.8	86.97	6.83	163.67	99.42	134.57	97.25	26.27	92.32	82.33	69.1	88.13	51.6
51.95	49.49	70.54	85.96	72.61	72.42	64.82	80.61	11.88	15.79	47.66	36.04	79.05	117.28	57.5	115.97	62.07	52.48	93.68	72.68	123.84	9.13	7.89	186.02	21.04	29.53	73.24	61.16	46.2	64.38	97.4	44.76	29.32	54.87	88.1	6.66	164.55	100.12	135.48	97.46	26.42	91.98	82.98	69.38	88.65	51.92
52.1	49.09	70.22	85.84	72.71	72.02	64.8	80.71	11.89	15.89	47.59	36.09	78.68	116.76	57.48	116.25	62.72	52.21	94.63	72.56	124.01	8.98	7.84	185.99	20.93	29.72	73.14	61.12	46.39	64.21	97.61	44.82	29.38	54.97	88.8	6.73	164.95	99.98	135.35	97.52	26.45	92.41	83.06	69.64	88.79	51.77
52.02	49.36	70.52	85.8	72.83	72.02	64.9	81.1	12.05	15.95	47.68	36.3	79.27	117.17	57.67	115.91	62.91	52.31	95.51	73.29	124.28	9	7.9	186.04	21.14	29.85	73.16	61.4	46.67	64.46	97.39	45.22	29.3	55.1	89.43	6.86	165.25	99.93	134.86	97.75	26.63	92.08	83.96	70.49	88.51	51.88
51.86	48.83	70.54	85.65	72.77	71.74	64.77	80.49	12.02	15.97	47.5	36.03	79.07	117.29	57.61	115.7	63.12	52.42	95.72	73.01	124.6	8.96	7.98	186.18	20.93	30.22	73.15	61.32	46.74	64.2	97.07	44.93	29.14	54.94	89.66	6.77	166.3	99.97	135.11	97.73	26.3	92.42	84.2	70.1	88.63	51.9
51.88	49.25	70.57	85.98	73.01	72.11	65.08	80.68	11.91	15.97	47.66	35.97	79.14	117.6	57.75	116.21	63.1	52.67	96.99	73.76	124.85	9.04	7.87	186.98	20.99	30.5	73.68	62.02	46.93	64.18	98.03	45.11	29.22	55.14	90.54	6.76	166.93	99.94	135.65	97.95	26.57	92.35	84.66	70.76	88.99	52.04
52.03	49.21	70.6	86.15	73.17	71.76	64.97	81.12	12.07	16.01	47.43	36.22	79.29	117.78	57.73	116.44	63.36	52.71	97.15	74.56	124.69	8.85	7.97	187.05	20.85	30.65	73.88	62.16	46.98	64.41	97.52	45.23	29.23	55.19	90.89	6.98	168.01	100.06	136.05	98.25	26.46	92.26	85.08	70.91	88.96	52.14
52.07	49.31	70.78	86.02	72.93	72.47	65.13	80.82	12.08	16.14	47.69	36.37	79.55	117.71	57.68	116.58	63.8	52.47	98.02	74.4	124.94	8.85	8.05	187.14	21.06	30.77	73.6	62.54	47.19	64.38	97.83	45.12	29.28	55.8	91.51	6.96	168.25	100.2	136.03	98.22	26.34	92.47	85.37	71.33	88.55	52.3
51.99	49.16	70.85	86.35	73.43	72.08	65.06	80.81	11.93	16.01	47.97	36.04	79.61	118.36	57.78	116.66	63.83	52.58	98.71	75.12	124.88	8.87	7.88	187.38	20.94	30.82	74.03	62.46	47.41	64.49	98.28	45.01	29.03	55.68	92.11	7.03	169.58	100.55	136.41	98.22	26.34	92.76	85.94	71.7	88.99	52.31
51.88	49.4	71.22	86.27	73.41	72.01	65.18	80.91	12.23	16.11	47.71	36.12	79.7	118.05	57.79	116.75	64.38	52.66	99.37	75.49	125.14	8.78	7.99	187.49	21.24	31.27	73.87	62.88	47.59	64.15	98.48	45.14	29.1	55.44	92.89	6.88	169.48	100.49	136.21	98.29	26.46	93.12	86.74	71.84	88.88	52.13
52.22	49.59	71.3	85.97	73.6	71.9	65.31	80.84	12.11	16.13	47.4	36.02	79.5	118.06	57.79	116.39	64.48	52.56	100.01	75.74	125.49	8.7	7.91	187.8	21.17	31.27	74.06	62.72	47.41	64.16	98.49	44.79	29.17	55.65	93.02	6.9	170.03	100.41	136.01	98.16	26.45	92.38	86.77	72.32	88.91	52.28
52.05	49.08	70.79	85.86	73.59	72.06	64.7	80.96	12.14	16.11	47.54	36.15	79.64	118.27	57.59	116.21	64.49	52.61	100.56	75.92	124.82	8.63	7.91	186.95	20.95	31.36	73.51	62.56	47.72	63.9	98.02	44.87	28.97	55.53	93.16	6.89	170.07	100.33	135.42	97.87	26.31	92.23	86.89	72.23	88.41	51.79
52.17	49.28	71.14	85.85	73.56	71.95	65.13	81.05	12.11	16.03	47.39	36.2	79.32	118.08	57.8	116.34	64.72	52.47	101.13	75.78	124.64	8.63	7.87	187	20.97	31.63	73.51	62.74	47.61	64.07	97.56	44.9	29.05	55.78	93.47	6.99	169.92	100.41	135.39	97.77	26.12	92.18	87.02	72.68	88.25	52.23
52.05	49.4	71.09	85.81	73.86	72.21	65.52	80.9	12	16.18	47.44	36.17	79.51	118.23	57.89	116.22	65.18	52.45	101.61	75.93	125.06	8.69	7.9	187.51	20.96	31.86	73.75	63.08	47.82	64.05	97.69	44.7	29.24	55.66	93.66	7.15	170.27	100.27	135.67	97.98	26.38	92.2	87.54	73.26	88.53	52.2
51.78	48.94	71.03	86.08	73.61	72.03	65.12	80.81	12.05	15.99	47.22	36	79.56	117.84	57.41	115.85	64.98	52.34	102.19	76.41	124.93	8.45	7.85	187.07	20.88	31.96	73.4	62.96	47.59	63.68	97.49	44.52	29.18	55.58	94.46	6.95	170.76	100.04	135.51	97.34	26.24	91.73	87.75	73.06	88.54	52.3
52.12	49.2	71.44	86.08	73.85	72.41	65.59	80.94	12.2	16.05	47.31	36.19	79.61	118.64	57.62	116.36	65.4	52.34	102.87	76.56	125.39	8.47	7.93	187.43	20.88	32.07	73.86	63.35	47.98	64.03	98.04	44.91	29.03	55.59	94.75	7.04	171.27	100.36	135.72	97.89	26.42	92.31	88.26	73.58	89	52.09
52.26	49.18	71.75	86.07	73.74	72.35	65.04	81.12	11.92	16.04	47.2	36.35	79.74	118.26	57.88	116.2	65.52	52.67	103.02	76.61	125.39	8.45	7.98	187.41	21.05	32.25	73.44	63.52	48.28	63.83	97.94	44.89	29.05	55.89	95.13	6.96	172.23	100.37	136.2	98.08	26.33	91.98	88.69	74.25	89.08	51.99
52.15	49.3	71.64	86.23	74.2	72.25	65.54	80.98	12	16.36	47.53	36.28	79.41	118.25	57.58	116.31	65.63	52.64	103.79	76.91	125.2	8.49	7.97	187.03	20.86	32.35	73.8	63.69	48.27	63.99	98.09	44.89	28.95	55.78	95.93	7.16	172.72	100.58	135.78	97.78	26.19	91.88	88.96	74.21	88.47	52.01
52.08	49.31	71.56	86.22	74.07	72.02	65.19	80.93	12.12	16.15	47.14	36.46	79.63	118	57.96	116.15	65.63	52.34	104.11	77.99	125.07	8.45	8.08	187.35	20.88	32.61	73.81	63.98	48.36	63.54	97.78	44.95	28.97	55.97	96.14	7.08	172.61	100.05	135.58	97.61	26.25	92.01	89.43	74.51	88.94	52.12
51.93	49.03	71.38	85.98	74.3	72.21	65.27	80.78	12	16.05	47.02	36.09	79.65	118.05	57.99	115.98	65.86	52.44	104.72	77.45	124.81	8.46	7.95	186.58	20.88	32.7	73.54	64	48.22	63.66	97.69	44.85	28.85	55.71	96.28	7	172.84	99.98	135.43	97.56	26.33	91.68	89.18	74.05	88.33	52.15
51.85	49.14	71.7	86.2	74.29	72.54	65.51	80.81	11.94	15.84	46.93	36.23	79.64	118.39	57.92	116.3	66.21	52.27	105.56	77.8	124.9	8.21	7.7	187.91	20.84	33.02	73.65	64.29	48.25	63.46	97.76	44.9	28.84	55.9	96.86	6.99	174.65	100.27	136.39	97.81	26.27	91.93	90.03	74.48	88.91	52.47
51.95	49.39	71.89	86.28	74.12	72.26	65.39	81.05	12.05	16.17	46.89	36.46	79.5	118.02	57.57	116.23	65.98	52.15	106.11	78.09	125.44	8.39	7.83	187.11	20.86	32.85	73.79	64.44	48.65	63.49	98.04	44.91	28.8	55.69	97.54	7.22	174.09	100.18	135.64	97.39	26.19	91.63	90.27	74.98	88.61	52.23
52.04	49.37	71.55	86.3	74.4	72.03	65.14	80.77	12.21	15.88	46.79	36.14	79.62	117.83	57.39	116.22	66.14	52.44	106	78.27	125.01	8.23	7.91	187.44	20.77	33	73.72	64.45	48.29	63.08	98.02	44.45	28.76	55.57	97.85	7.04	174.51	99.57	135.97	97.44	26.19	91.9	90.37	75.2	88.31	51.88
51.97	49.46	71.77	86.19	74.49	72	65.21	80.63	12.19	16.03	46.84	36.25	79.52	117.48	57.3	116.07	66.34	52.19	106.71	78.47	125.05	8.28	7.97	187.34	20.84	33.24	73.73	64.46	48.33	63.29	97.8	44.54	28.89	55.39	97.66	7.08	174.48	100.05	136	97.24	26.39	91.59	90.59	75.46	88.36	51.74
51.97	49.27	71.97	85.98	74.1	71.88	64.95	80.69	12.3	16.11	46.73	36.2	79.05	117.73	57.41	115.9	66.49	52.13	107.27	78.55	124.23	8.27	8.02	186.62	20.93	33.32	73.46	64.53	48.69	63.23	97.45	44.58	28.96	55.83	97.89	7.21	174.17	99.77	135.67	97.07	26.2	91.31	90.52	75.78	88.39	51.89
52.15	49.8	72.31	86.39	74.59	72.16	65.2	80.83	12.32	16.46	46.89	36.3	79.44	118.11	57.91	116.58	66.68	52.52	108.1	79.2	124.67	8.37	7.91	187.8	21	33.72	74.31	65.05	48.92	63.17	97.94	45.03	28.86	55.85	98.91	7.16	175.2	100.31	136.37	97.4	26.29	92.04	91.37	76.43	88.32	52.03
52.15	49.34	72.02	85.87	74.51	72.09	65.06	80.58	12.38	16.25	46.68	36.17	78.87	117.69	57.95	115.42	66.63	52.08	108.1	79.15	125.12	8.28	7.76	186.92	21.02	33.79	73.94	65	49	63.42	97.7	44.77	28.7	55.76	99.2	7.24	174.95	99.43	135.71	97.09	26.27	91.45	91.15	76.86	88.33	52.04
51.7	49.31	72.17	85.88	74.41	71.86	64.73	80.27	12.15	16.07	46.44	36.02	78.95	117.93	57.63	115.49	66.67	52.11	108.56	79.22	124.73	8.22	7.79	186.92	20.8	33.62	73.73	65.08	48.84	63.25	97.32	44.64	28.78	55.6	99.51	7	175.6	99.26	135.5	97.06	26.12	91.57	91.38	76.7	88.35	51.76
52.21	49.41	72.19	85.9	74.63	72.31	64.76	80.51	12.29	16.11	46.79	36.11	79.23	117.99	57.58	115.73	67.15	51.9	109.21	79.72	125.11	8.35	7.85	186.96	20.94	33.75	73.88	65.31	49.25	63.36	97.86	44.68	28.64	55.74	100.15	7.21	176.61	99.82	135.79	97.16	26.34	91.64	92.07	77.23	88.54	51.84
51.91	49.69	72.25	85.98	74.43	72.13	65.1	79.89	12.02	16.18	46.97	36.55	79.17	117.49	57.73	115.44	67.03	52.02	109.87	79.72	124.99	8.2	7.9	187.26	20.78	34.07	73.75	65.36	49.28	63.33	97.8	44.78	28.65	56.34	100.73	7.15	176.59	100.23	136.12	97.26	26.28	92.09	92.55	77.89	88.38	51.94
52.01	49.58	72.24	86	74.77	72.06	65.03	80.03	12.24	16.2	46.34	36.32	79.12	117.18	57.9	115.64	66.79	51.86	110.2	79.76	124.99	8.19	7.77	187.14	20.95	34.06	73.81	65.61	49.52	63.42	97.92	44.6	28.6	55.87	101.17	7.19	177.52	100.67	136.21	96.91	26.26	92.02	92.48	77.99	88.32	51.97
52.28	49.72	72.36	86.33	75.05	72.37	65.15	80.06	12.33	16.08	46.67	36.44	78.89	117.2	57.94	115.89	67.34	52.15	110.56	80.07	124.53	8.11	7.8	187.37	20.86	34.29	74.08	65.88	49.56	63.47	98.94	45.03	28.61	56.35	101.89	7.26	178.46	100.72	136.38	96.95	26.25	92.35	92.93	78.72	88.76	51.91
52.29	49.68	72.69	86.23	75.28	72.88	65	80.14	12.45	16.15	46.75	36.59	79.11	116.83	57.99	115.96	67.68	52.13	111.01	80.25	124.48	8.13	7.82	187.15	21.11	34.5	74.42	66.63	49.82	63.71	99.36	45.19	28.95	56.62	102.93	7.46	178.88	101.31	137.03	97.48	26.51	92.96	93.4	79.82	89.32	52.31
52.42	49.9	73.08	86.6	75.71	72.97	65.14	79.74	12.47	16.23	46.68	37	79.15	116.89	58.39	116.06	67.92	52.43	111.62	80.49	124.83	8.11	7.87	187.48	21.28	34.5	75.22	67.31	50.24	64.1	100.13	45.51	28.77	56.85	104.18	7.41	180.5	102.02	137.77	97.56	26.71	94.03	94.2	80.44	89.92	52.66
52.64	49.95	73.48	86.6	76.12	73.15	65.63	79.88	12.41	16.34	46.65	37.08	78.85	116.7	58.46	116.03	68.15	52.15	112.34	80.59	124.63	8.05	7.87	187	21.32	34.69	75.62	67.82	50.49	64.54	100.85	45.44	28.75	57.07	105.18	7.32	180.71	102.51	138.64	97.27	26.83	94.66	94.75	81.76	90.48	52.61
52.64	50.24	73.57	86.58	75.9	73.18	65.46	79.2	12.44	16.44	46.03	36.64	78.13	115.21	58.33	114.29	67.38	51.76	111.7	79.99	123.4	8.05	7.71	184.43	21.42	34.34	75.24	67.5	50.3	64.28	100.54	44.9	28.41	56.92	105.23	7.28	179.49	102.3	136.8	96.2	26.82	94.06	93.6	81.33	89.97	52.05
52.73	50.21	73.2	86.24	75.64	73.3	65.02	78.36	12.41	16	45.61	36.19	77.05	113.28	57.8	113.51	67.04	51.07	110.71	79.21	121.91	7.93	7.55	182.27	21.06	34.19	74.71	67.37	50.39	63.59	99.28	44.78	28.05	56.42	104.12	7.23	177.94	101.71	135.98	95.02	26.48	93.29	92.67	80.7	88.69	51.25
53.2	50.38	73.27	86.04	75.71	72.75	64.84	77.93	12.31	15.97	45.42	36.06	76.78	112.78	57.23	112.65	66.81	50.86	110.15	78.79	120.94	7.83	7.53	180	21.01	34.3	73.85	66.55	49.8	63.19	98.52	44.45	27.76	55.97	103.31	7.22	175.67	100.2	134.12	94.17	26.31	92.1	91.93	79.78	87.29	50.55
53.26	50.49	73.2	86.32	75.28	72.74	64.79	77.92	12.29	16	45.14	35.94	76.58	113.38	57.53	113.05	66.59	50.73	110.7	79.35	121.48	7.74	7.52	180.69	20.64	34.28	73.29	65.94	49.51	62.58	97.72	44.38	27.97	56.06	102.81	7.19	175.73	99.76	133.99	94.09	26	91.15	91.79	79.05	86.83	50.03
53.66	50.75	73.17	85.91	75.17	72.42	64.88	78.3	12.21	15.88	45.22	35.81	76.91	113.7	57.39	112.57	66.69	50.74	111.06	79.88	121.51	7.76	7.49	180.37	20.31	34.4	72.74	65.79	49.27	62.4	96.97	44.29	27.92	55.48	101.9	7.11	174.92	98.93	132.88	94.11	25.86	90.15	91.58	78.52	86.1	49.77
53.79	51.03	73.03	86.14	75.26	72.14	65.18	78.79	12.11	15.97	45.57	36.1	77.21	114.62	57.04	113.4	67.18	50.8	111.96	79.88	122.27	7.87	7.64	181.78	20.58	34.61	72.76	65.51	49.29	62.05	96.48	44.38	28.18	55.22	101.35	7.33	175.16	98.78	133.2	94.21	25.85	89.94	92.23	78.41	85.88	50.22
53.9	51.03	73	86.02	75.17	72.38	65.36	79.4	12.22	15.84	46.01	36.13	77.99	116.14	57.52	113.77	67.88	51.22	113.05	80.59	123.19	7.94	7.7	183.96	20.38	35.1	72.89	65.72	49.42	62.31	96.46	44.71	28.54	55.69	102.05	7.25	176.76	98.93	134.1	95.29	26	90.27	93.44	78.58	86.35	50.78
53.98	51.27	72.92	86.33	75.01	72.41	65.54	79.95	12.35	16.07	46.37	36.27	78.37	116.78	57.6	114.94	68.33	51.89	114.57	80.99	123.78	7.97	7.77	184.7	20.62	35.46	73.21	65.97	49.68	62.47	96.81	44.99	28.73	56.03	102.88	7.42	178.3	99.72	134.42	96.14	26.09	90.55	94.15	79.43	87.08	50.94
53.87	51.19	73.22	86.35	75.67	72.57	65.67	80.47	12.43	16.25	46.58	36.6	78.98	117.35	57.81	115.71	68.75	51.97	115.61	82.02	124.46	8.04	7.72	185.91	20.52	35.86	73.61	66.98	50.05	63.06	97.57	45.14	29.03	56.24	103.9	7.56	179.55	99.77	135.09	96.68	26.14	90.97	95.16	80.39	87.3	51.42
54.28	51.38	73.32	86.06	75.9	72.54	65.59	80.19	12.45	16.3	46.69	36.47	79.21	116.9	57.91	115.4	68.81	52.12	116.08	81.93	124.67	7.97	7.75	186.5	20.67	35.99	73.88	67.37	50.09	63.14	97.9	45.19	29.12	56.24	104.54	7.42	180.44	100.15	135.59	96.42	26.23	91.54	96.06	80.99	87.58	51.84
54.52	51.68	73.6	86.84	76.06	72.78	65.55	80.29	12.35	16.27	46.5	36.64	79.16	117.17	58	115.61	69.2	52.51	116.42	82.6	124.72	8.02	7.77	186.35	20.9	36.38	73.97	67.35	50.49	63.49	98.28	45.36	29.26	56.73	104.89	7.46	180.78	100.07	135.94	97.12	26.31	91.89	96.41	81.59	87.98	51.67
54.29	51.69	73.54	86.28	76.08	72.57	65.47	80	12.33	16.33	46.51	36.34	78.97	117.01	57.59	115.6	68.77	52.25	116.92	82.58	124.14	7.98	7.75	186.62	20.87	36.3	73.71	67.4	50.27	63.26	97.96	45.22	29.09	56.45	104.7	7.47	180.82	99.83	135.29	96.85	26.14	91.48	96.44	81.57	87.85	51.48
54.49	51.54	73.99	86.26	75.78	72.7	65.5	80.39	12.29	16.37	46.68	36.59	79.45	117.11	57.51	115.65	69.15	52.54	117.78	83	124.8	7.96	7.72	187.26	20.63	36.5	73.88	67.48	50.25	63.24	97.85	45.45	29.26	56.53	105.34	7.44	180.79	100.2	135.62	96.85	26.21	91.48	96.63	82.06	88.14	51.45
54.56	52.08	73.42	86.69	75.6	72.53	65.39	80.79	12.35	16.49	46.65	36.72	79.55	117.37	57.74	116.01	70.09	52.48	118.01	83.35	124.94	8.04	7.77	187.84	20.92	36.73	73.93	67.4	50.45	63	98.16	45.4	29.41	56.51	104.87	7.56	181.5	100.3	135.37	97.6	26.15	91.37	97.27	82.47	88.03	51.61
54.79	52.04	73.57	86.68	76.37	72.6	65.65	81.12	12.33	16.54	46.81	36.76	79.39	118.42	57.98	116.32	70.29	52.58	118.62	83.94	125.37	8.1	7.92	187.95	20.96	37.2	73.95	67.8	50.52	63.19	97.87	45.87	29.5	56.67	105.71	7.69	181.96	100.07	136.31	97.55	26.4	91.93	97.75	82.94	88.04	52.08
54.76	51.97	73.56	86.72	75.77	72.34	65.47	81.14	12.36	16.4	46.87	36.76	79.51	118.34	57.78	116.21	69.96	52.63	118.85	83.95	125.41	8.06	7.85	187.6	20.61	37.33	73.94	67.89	50.63	62.81	97.84	45.87	29.4	56.81	105.85	7.53	181.29	99.86	136.15	97.55	26.19	91.73	98.1	82.89	87.82	51.84
54.74	52.07	73.17	86.55	76.43	72.19	65.35	81.11	12.44	16.44	46.69	36.87	79.85	118.44	58.06	116.63	70.51	52.85	119.78	84.54	125.73	8.04	8.02	188.58	20.89	37.48	73.47	68.46	50.84	63.33	97.84	45.49	29.66	57.03	105.87	7.62	182.3	100.48	137.05	97.78	26.33	91.86	98.43	83.6	88.47	51.97
55.07	52.18	73.48	86.4	75.94	72.41	65.1	81.04	12.19	16.69	46.67	36.88	79.22	118.54	57.9	116.25	70.37	52.6	119.94	84.42	125.03	8.02	7.85	187.84	20.76	37.55	74.1	68.39	50.79	62.76	97.92	45.45	29.56	56.94	106.38	7.53	182.5	100.28	136.85	97.47	26.19	91.84	98.26	83.98	88.19	51.7
54.88	52.37	73.51	86.36	76.38	72.39	65.22	80.46	12.43	16.5	46.55	36.47	79.55	118.39	57.77	115.78	69.99	52.35	119.7	84.93	124.89	8.07	7.9	187.85	20.83	37.44	74.02	68.28	50.7	62.97	97.69	45.41	29.4	56.75	106.84	7.59	182.16	100.26	136.34	97.66	26.28	91.84	98.73	84.42	88.08	51.72
55.15	52.29	73.32	86.33	76.09	72.2	65.01	80.3	12.28	16.37	46.37	36.64	79.1	117.64	57.81	116.04	70.14	52.29	119.73	84.51	125.05	8.06	7.76	187.49	20.73	37.58	74.19	68.51	50.52	63.2	97.72	45.11	29.42	56.77	106.93	7.56	182.51	100.48	136.38	97.03	26.16	91.84	98.46	84.89	88.34	51.8
55.61	52.73	73.81	86.67	76.8	72.84	65.49	80.53	12.52	16.57	46.62	36.74	79.92	118.56	58.06	116.74	71.1	52.65	121.06	85.34	126	8.03	7.65	189.67	20.8	38.18	74.94	69.28	51.34	64.04	99.22	45.68	29.58	57.34	108.5	7.63	184.8	101.39	137.94	98.47	26.77	92.9	99.9	86.37	89.34	52.24
55.71	53.04	74.01	87.02	76.9	73.14	65.46	80.66	12.65	16.82	46.78	37.06	79.89	117.84	58.62	116.93	71.01	52.83	122.1	85.98	125.83	7.92	7.79	189.45	21.34	38.11	75.6	70.36	51.83	64.21	100.05	46.03	29.48	57.97	109.68	7.61	186.29	102.19	138.97	98.36	26.84	93.94	100.79	87.46	90.33	52.69
55.61	52.77	74.46	86.19	76.54	72.82	65.18	79.68	12.63	16.52	46.29	36.67	79.49	116.36	58.22	115.85	70.47	52.13	120.88	84.64	124.79	7.83	7.76	187.65	21.13	37.76	75.29	69.69	51.48	63.97	99.59	45.55	29.22	57.36	109.52	7.46	185.13	101.28	137.54	97.01	26.54	93.43	99.48	86.92	89.52	52.05
56.09	53.27	73.91	86.31	76.6	72.62	65.11	79.09	12.49	16.32	45.83	36.34	77.94	115.43	57.73	114.41	69.83	51.46	119.91	84.32	123.44	7.61	7.61	185.86	21	37.77	74.72	69.27	51.19	63.19	98.68	44.91	28.64	56.74	108.82	7.29	183.69	100.76	136.38	96.25	26.33	92.24	98.51	86.23	88.06	51.36
56.65	53.45	73.84	86.55	76.42	72.59	65.07	78.53	12.5	16.41	45.39	36.36	77.59	114.55	57.45	113.87	69.39	51.24	119.76	83.93	122.83	7.82	7.68	184.17	20.72	37.7	73.68	68.75	50.82	62.73	97.59	45.03	28.34	56.22	107.57	7.52	181.84	99.83	135.15	95.09	26.22	91.08	97.47	85.08	87	50.81
