"Campanula_persicifolia_I__P_1"	"Campanula_persicifolia_I__P_2"	"Convolvulus_sepium_I__Pr_1"	"Convolvulus_sepium_I__P_2"	"Convolvulus_sepium_I__Pr_3"	"Convolvulus_sepium_I__P_4"	"Helminthia_echioides_I__P_1"	"Helminthia_echioides_I__P_2"	"Mentha_suaveolens_I__P_1"	"Mentha_suaveolens_I__P_2"	"Mentha_suaveolens_I__P_3"	"Mentha_suaveolens_I__P_4"	"Filipendula_ulmaria_I__P_1"	"Filipendula_ulmaria_I__P_2"	"Filipendula_ulmaria_I__P_3"	"Filipendula_ulmaria_I__P_4"	"Spiraea_japonica_I__P_1"	"Spiraea_japonica_I__P_2"	"Spiraea_japonica_I__P_3"	"Spiraea_japonica_I__P_4"	"Anthriscus_sylvestris_I__P_1"	"Anthriscus_sylvestris_I__P_2"	"Anthriscus_sylvestris_I__P_3"	"Anthriscus_sylvestris_I__P_4"	"Anthriscus_sylvestris_I__P_5"	"Impatiens_glandulifera_I__Lr_1"	"Impatiens_glandulifera_I__Er_2"	"Impatiens_glandulifera_I__Lr_3"	"Impatiens_glandulifera_I__Er_4"	"Impatiens_glandulifera_I__Lb_5"	"Impatiens_glandulifera_I__Eb_6"	"Eupatorium_cannabinum_I__P_1"	"Eupatorium_cannabinum_I__P_2"	"Geranium_robertianum_I__P_1"	"Geranium_robertianum_I__P_2"	"Geranium_robertianum_I__P_3"	"Geranium_robertianum_I__P_4"	"Hypericum_perforatum_I__P_1"	"Hypericum_perforatum_I__P_2"	"Lotus_corniculatus_I__P_1"	"Lotus_corniculatus_I__P_2"	"Lotus_corniculatus_I__P_3"	"Reynoutria_japonica_I__P_1"	"Reynoutria_japonica_I__P_2"	"Buddleja_davidii_I__P_1"	"Buddleja_davidii_I__P_2"
131.61	50.21	30.16	41.72	83.01	-196.52	11.3	243.33	77.57	-53.1	262.19	56.41	131.1	67.63	317.08	437.98	-152.17	154.04	167.12	7.48	182.75	91.25	-71.11	133.22	201.19	178.67	-93.2	148.6	64.4	-125.06	97.2	-41.46	60.15	35.85	-13.25	-29.4	86.32	168.56	35.77	-119.46	33.31	96.94	-129.65	-40.1	-43.33	-30.16
118.01	-133.31	-56.84	108.33	84.37	31.86	-34.92	156.33	184.96	97.79	-140.19	16.99	116.14	59.47	58.79	-44.6	174.09	23.53	175.28	-163.81	253.44	39.59	-130.93	57.09	142.74	95.75	34.58	-47.15	15.46	-159.05	52.34	-151.57	18.01	177.23	-52.68	12.74	-64.57	-6.8	24.89	-35.17	-103.99	-5.01	-15.46	-52.34	-9.35	-155.23
49.41	56.31	66.58	71.56	67.84	60.2	41.2	45.07	21.83	22.78	46.42	44.25	62.16	77.37	53.3	73.96	54.96	42.85	71.47	62.47	74.1	18.13	28.06	123.21	31.96	35.62	73.47	63.5	42.06	76.64	82.89	56.19	56.21	48.74	71.13	8.14	112.57	71.38	83.92	61.16	40.87	65.55	66.46	85.79	78.2	37.71
58.48	51.94	55.8	67.11	58.77	63.51	42.52	42.85	11.56	12.85	45.61	30.83	53.98	76.46	41.79	79.15	46.26	47.78	66.97	56.79	85.42	20.88	5.16	133.96	20.73	30.07	65.01	53.38	40.5	59.61	86.71	47.93	44.73	42.42	71.85	5.82	126.96	67.99	83.93	59.24	17.9	59.6	67.4	69.82	68.14	42.59
55.65	54.56	56.88	66.83	57.2	61.26	38.71	40.8	9.19	10.04	45.8	29.01	56.08	79.21	41.01	76.53	43.55	46.02	62.96	56.85	85.87	17.27	5.4	132.74	22.92	28.83	62.53	56.19	42.46	55.51	85.53	42.56	43.65	40.85	71.56	1.68	124.54	67.93	81.73	57.57	18.05	52.47	64.74	70.92	67.63	36.56
57.8	55.32	57.91	67.83	62.15	64.21	41.45	47.17	14.39	15.84	47.89	35.12	57.17	81.88	47.34	77.4	49.04	49.94	66.06	62.17	88.7	22.19	11.85	132.31	27.51	34.29	65.99	58.4	46.95	59.34	88.28	50.99	48.89	48.66	75.83	11.39	121.65	70.59	85.02	57.86	20.51	63.79	65.77	71.31	66.35	42.06
55.51	54.8	59.78	71.41	58.97	59.75	37.9	44.46	9.29	12.09	46.37	28.16	55.02	79.68	42.1	78.5	42.76	49.07	65.45	61.31	88.23	21.09	9.07	133.77	24.02	34.06	65.28	57.56	38.31	59	89.98	49.96	46.2	43.43	73.77	1.5	122.11	61.56	85.13	57.72	19.88	60.66	68.46	71.65	68.16	37.86
54.96	50.3	55.82	66.82	58.99	60.21	39.46	43.89	10.58	10.74	46.6	32.01	54.79	80.65	45.11	75.37	42.15	49.96	63.39	56.17	85.54	19.91	11.36	130.53	23.08	32.6	64.14	56.15	38.56	60.93	87.4	49.44	45.69	42.47	67.06	4.21	122.32	68.4	86.66	61.14	19.82	58.52	67.79	66.85	71.44	38.4
57.73	53.15	56.51	69.76	61.42	60.31	40.31	43.17	9.72	14.55	48.16	33.62	59.02	80.89	45.12	75.79	46.33	50.46	63.38	59.33	91	20.51	12.37	138.45	26.46	37.37	69.2	58.48	46.22	58.16	92.31	49.07	47.74	46.91	71.91	9.97	120.67	62.48	90.21	62.96	22.1	62.37	67.58	69.2	72.48	43.12
58.98	49.91	59.1	67.27	61.64	61.74	40.59	42.8	11.79	15.79	47.55	34.41	58.51	81.36	43.29	75.43	45.19	48.15	63.34	62.07	86.14	20.09	14.52	131.8	22.56	35.87	69.53	59.64	40.03	60.93	86.42	49.79	48.26	43.56	70.53	5.6	125.76	70.26	85.32	56.87	20.95	59.02	67.78	73.88	72.87	41.91
