"Senecio_inaequidens_E__P_1"	"Senecio_inaequidens_E__P_2"	"Senecio_inaequidens_E__P_3"	"Senecio_inaequidens_E__P_4"	"Origanum_vulgare_E__P_1"	"Origanum_vulgare_E__P_2"	"Origanum_vulgare_E__P_3"	"Origanum_vulgare_E__P_4"	"Reynoutria_japonica_E__P_1"	"Reynoutria_japonica_E__P_2"	"Reynoutria_japonica_E__P_3"	"Reynoutria_japonica_E__P_4"
14.66	11.41	7.57	2.11	20.16	13.45	7.95	14.9	4.07	5.17	7.79	5.92
14.55	11.41	7.37	2.19	20.16	13.48	7.93	15.15	4.15	5.25	7.83	5.92
14.48	11.49	7.4	2.26	20.3	13.53	7.89	15.19	4.14	5.36	8.01	5.78
14.45	11.84	7.15	2.24	20.26	13.87	8.03	15.52	4.18	5.31	7.9	5.9
14.34	11.9	7.24	2.3	20.19	13.77	7.85	15.77	4.22	5.45	8.1	6
14.14	12.01	6.98	2.3	20.2	13.92	8.02	15.85	4.19	5.28	7.99	5.88
14.19	12.05	7	2.33	20.49	13.68	7.9	16	4.29	5.41	8.11	5.84
13.96	12.12	6.97	2.32	20.42	13.96	8.01	16.16	4.33	5.44	7.97	5.91
13.75	12.3	6.61	2.14	20.26	13.85	7.9	16.45	4.33	5.46	8.11	6
13.76	12.6	6.52	2.04	20.33	14.01	7.93	16.57	4.33	5.53	8.24	6.13
13.62	12.48	6.41	2.19	20.41	14.02	7.8	16.56	4.29	5.44	8.24	5.89
13.19	12.54	6.37	2.08	20.15	14.07	7.69	16.76	4.29	5.35	8.09	5.89
13.03	12.66	6.13	2.29	20.22	14.17	7.82	17.1	4.29	5.51	8.26	6.1
12.75	12.88	6.01	2.21	20.24	14.27	7.82	16.93	4.23	5.4	8.31	5.91
12.46	12.92	5.97	2.24	20.21	14.13	7.94	17.06	4.31	5.3	8.27	6.02
12.41	13.01	5.77	2.29	19.96	14.18	7.89	17.19	4.5	5.35	8.33	5.99
12.17	13.04	5.44	2.06	19.93	14.29	7.86	17.66	4.29	5.27	7.98	5.85
12.2	13.09	5.61	2.31	19.84	14.46	7.96	17.81	4.56	5.48	8.15	5.97
11.94	13.26	5.45	2.12	19.96	14.48	8.07	18.02	4.3	5.39	8.17	5.89
11.94	13.59	5.41	2.35	20.05	14.52	8.15	18.48	4.44	5.44	8.34	6.12
11.84	13.9	5.44	2.35	20.31	14.85	8.2	18.82	4.66	5.75	8.65	6.21
11.66	13.98	5.27	2.15	20.61	15.01	8.15	18.96	4.57	5.74	8.8	6.28
11.48	14.3	5.18	2.36	20.56	15.06	8.19	19.22	4.79	5.81	8.91	6.31
11.17	14.52	4.93	2.27	20.61	15.06	8.03	19.27	4.7	5.66	8.69	6.22
11.07	14.57	5	2.35	20.11	15.24	8.18	19.28	4.77	5.7	8.71	6.15
10.75	14.47	4.67	2.24	19.93	15.1	7.95	19.48	4.63	5.69	8.55	6.14
10.74	14.71	4.59	2.31	20.1	15.32	8.11	19.66	4.64	5.8	8.77	6.34
10.54	15.01	4.48	2.19	20.3	15.39	8.05	19.95	4.7	5.97	8.89	6.28
10.44	15.39	4.48	2.14	20.79	15.56	8.08	20.13	4.69	5.93	9.12	6.27
10.28	15.67	4.4	2.23	20.57	15.51	8.14	20.45	5.01	5.95	9.29	6.54
10.3	15.74	4.38	2.39	20.96	15.91	8.36	20.75	4.98	6.15	9.43	6.5
10.09	16.25	4.3	2.29	20.79	16.27	8.38	20.9	5.02	6.06	9.5	6.45
9.95	16.03	4.14	2.3	20.67	16.15	8.28	21.46	5	6.2	9.49	6.67
9.77	16.29	4.17	2.32	20.73	16.55	8.37	21.34	5.08	6.13	9.65	6.63
9.64	16.42	3.94	2.3	20.5	16.34	8.22	21.49	5.11	6.34	9.36	6.59
9.61	16.54	3.97	2.23	20.64	16.45	8.18	21.77	4.92	6.29	9.57	6.51
9.14	16.78	3.74	2.12	20.57	16.41	8.07	21.68	4.97	6.19	9.49	6.3
9.28	16.78	3.56	2.13	20.57	16.62	8.27	22	5.12	6.31	9.38	6.48
9.17	16.91	3.69	2.14	20.38	16.73	8.21	21.8	5.2	6.38	9.5	6.48
8.98	17.16	3.58	2.24	20.46	16.83	8.29	22.19	5.25	6.34	9.65	6.65
8.97	17.59	3.61	2.36	20.73	17.15	8.29	22.54	5.27	6.53	9.74	6.61
8.79	17.73	3.52	2.22	20.9	17.19	8.13	22.77	5.23	6.64	9.83	6.73
8.51	18.08	3.44	2.15	20.82	17.24	8.27	22.77	5.23	6.69	9.82	6.62
8.54	18.24	3.41	2.17	20.9	17.17	8.14	22.75	5.34	6.65	9.9	6.56
8.43	18.51	3.31	2.17	20.9	17.47	8.32	22.78	5.47	6.82	10.03	6.67
8.57	19	3.45	2.24	21.2	17.7	8.57	23.37	5.53	6.93	10.23	6.97
8.34	19.01	3.3	2.14	20.87	17.96	8.57	23.4	5.57	7	10.1	6.71
8.34	19.38	3.33	2.32	21.17	18.23	8.65	23.49	5.63	7.18	10.33	6.8
8.38	19.64	3.32	2.14	21.01	18.43	8.51	23.57	5.77	7.15	10.28	6.9
8.39	19.7	3.27	2.24	21.08	18.75	8.68	23.71	5.85	7.55	10.51	6.8
8.26	20.07	3.19	2.21	21.21	18.77	8.86	24.14	5.89	7.54	10.46	6.87
8.21	20.06	3.25	2.16	21.16	19.01	8.9	24.21	6.02	7.56	10.34	6.98
8.18	20.24	3.16	2.03	21.3	19.12	8.83	24.3	5.87	7.65	10.4	6.77
8.21	20.78	3.16	2.02	21.11	19.25	8.86	24.34	5.98	7.98	10.63	7.03
8.14	21.1	3.16	2.09	21.34	19.63	9.07	24.68	6.16	7.93	10.78	7.02
8.17	21.6	3.3	2.25	21.73	19.97	9.13	25.02	6.27	8.3	11.14	7.32
8.17	21.65	3.13	2.21	21.77	19.96	9.15	25.1	6.41	8.21	11.08	7.37
8.1	21.89	3.22	2.24	21.86	20.39	9.22	25.29	6.39	8.43	11.24	7.39
7.99	22.29	3.07	2.2	21.97	20.49	9.24	25.21	6.62	8.5	11.47	7.41
8	22.51	3.05	2.27	22.27	20.98	9.3	25.56	6.79	8.81	11.69	7.56
8.09	22.86	3.3	2.3	22.32	21.33	9.42	25.62	6.84	9.09	11.93	7.67
8.12	23.28	3.14	2.26	22.67	21.56	9.42	25.93	6.91	9.37	12.21	7.81
7.95	23.77	3.06	2.16	22.75	21.82	9.34	25.84	6.89	9.44	12.32	7.96
7.94	24.04	3.01	2.22	22.74	22.14	9.51	25.81	7.19	9.74	12.37	8.11
7.81	24.19	2.88	2.2	22.72	22.23	9.56	25.67	7.09	9.6	12.22	7.8
7.88	24.53	3.11	2.37	22.9	22.61	9.48	25.98	7.48	10.07	12.68	8.22
7.69	24.77	3.12	2.3	22.95	22.97	9.69	26.02	7.44	10.05	12.5	8.09
7.76	25.19	2.93	2.2	22.76	23.31	9.84	26.11	7.5	10.24	12.45	8.15
7.65	25.18	2.92	2.18	22.93	23.44	9.79	26.08	7.6	10.45	12.51	8.27
7.61	25.63	2.87	2.22	22.84	23.85	9.95	26.13	7.77	10.6	12.71	8.33
7.53	25.74	2.91	2.27	23.1	23.81	9.85	26.28	7.84	10.9	12.72	8.49
7.51	26.23	2.97	2.38	23.32	24.34	10.03	26.69	8	11.23	13.12	8.82
7.42	26.57	2.83	2.21	23.37	24.4	9.98	26.48	8.05	11.34	13.3	8.71
7.42	26.73	2.93	2.36	23.64	24.97	10.05	26.83	8.42	11.93	13.58	9.04
7.19	27.12	2.69	2.22	23.81	25.18	9.93	26.98	8.26	11.89	13.65	9.07
7.41	27.72	2.66	2.32	23.85	25.76	10.19	26.75	8.44	12.31	13.94	9.26
7.2	27.81	2.86	2.43	24	26.01	10.31	26.84	8.79	12.59	14.1	9.51
6.98	28.15	2.72	2.39	24.24	26.16	10.26	26.87	8.87	12.86	14.18	9.57
6.92	28.44	2.66	2.36	24.25	26.74	10.28	26.98	8.81	13.09	14.35	9.82
6.81	28.7	2.56	2.31	24.27	27.18	10.23	26.81	9.03	13.31	14.45	9.75
6.85	29.03	2.56	2.26	24.51	27.47	10.5	27.14	9.31	13.6	14.39	10.02
6.68	29.14	2.5	2.39	24.31	27.8	10.52	27.04	9.38	14.07	14.66	10.03
6.65	29.52	2.51	2.3	24.39	28.04	10.6	27.01	9.45	14.08	14.76	10.2
6.78	29.8	2.59	2.42	24.74	28.17	10.71	27.25	9.56	14.48	14.76	10.39
6.25	29.82	2.32	2.35	24.39	28.47	10.62	27.01	9.71	14.63	14.54	10.36
6.43	30.48	2.45	2.41	24.68	29.09	10.84	27.29	9.93	14.98	14.95	10.51
6.27	30.63	2.38	2.45	24.87	29.35	10.87	27.25	10	15.59	15.13	10.75
6.19	31.11	2.27	2.37	24.83	29.58	10.86	27.3	10.16	15.56	15.2	10.82
6.1	31.62	2.26	2.39	24.89	30.04	11.04	27.44	10.36	15.96	15.23	10.97
6.05	31.71	2.3	2.4	25.1	30.45	11.16	27.52	10.56	16.34	15.4	11.31
5.8	32.02	2.12	2.35	24.97	30.73	11.05	27.31	10.53	16.65	15.09	11.18
5.9	32.43	2.16	2.35	25.2	31.04	11.4	27.8	10.74	16.84	15.31	11.39
5.86	32.91	2.18	2.47	25.58	31.79	11.34	27.91	10.95	17.36	15.47	11.59
5.76	33.3	2.12	2.37	25.93	32.21	11.43	28.07	11.19	17.74	15.96	11.86
5.69	33.7	2.14	2.48	26.24	32.47	11.63	28.21	11.35	18.29	16.17	12.14
5.62	34.19	2.19	2.49	26.21	32.93	11.6	28.5	11.59	18.73	16.27	12.48
5.66	34.85	2.14	2.48	26.6	33.55	11.81	28.71	11.9	19.13	16.53	12.69
5.66	35.2	2.1	2.5	26.79	34.18	11.95	28.9	12.07	19.58	16.76	12.91
5.63	35.93	2.16	2.46	27.08	35.06	12.25	29.4	12.32	20.08	16.98	13.07
5.66	36.82	2.11	2.57	27.78	35.97	12.54	29.93	12.7	20.81	17.35	13.44
5.67	37.36	2.11	2.59	28	36.44	12.64	30.17	12.9	21.26	17.7	13.87
5.58	37.28	2.18	2.65	28.15	36.58	12.58	29.95	12.94	21.73	18.06	14.3
5.41	36.97	2.12	2.65	27.76	35.9	12.31	29.53	12.81	21.68	18.16	14.24
5.29	36.99	2.07	2.6	27.66	36.01	12.19	29.36	12.96	22.03	18.25	14.55
5.19	36.85	1.98	2.58	27.77	36.25	12.16	29.2	12.82	22.09	18.33	14.52
5.15	36.96	2.05	2.57	27.47	36.69	12.2	29.04	13.12	22.45	18.18	14.51
5.27	38.03	2.04	2.65	28	37.45	12.52	29.46	13.35	22.95	18.07	14.76
5.3	38.48	2.05	2.63	28.2	38.09	12.69	29.78	13.75	23.32	18.33	14.94
5.3	39.13	2.03	2.61	28.81	39	12.97	30.26	14.04	24.03	18.64	15.35
5.28	39.23	2	2.62	28.75	39.14	12.89	30.01	13.95	24.4	18.91	15.55
5.16	39.18	2.01	2.61	28.52	39.08	12.74	29.77	14.01	24.59	19.21	15.84
5.24	38.64	2.13	2.74	28.1	38.58	12.4	29.27	13.98	24.57	19.25	15.89
5.12	38.39	2.02	2.72	27.98	38.37	12.31	28.85	13.84	24.51	19.14	16.1
5.08	38.58	1.91	2.64	28.12	38.4	12.21	28.72	13.75	24.69	19.28	16.21
4.99	38.44	1.96	2.7	27.98	38.82	12.2	28.68	13.78	24.85	19.28	16.38
4.97	38.83	1.96	2.69	28.04	38.82	12.06	28.51	13.92	24.99	19.61	16.43
4.98	39.27	1.98	2.79	28.2	39.39	12.27	28.37	14.07	25.43	19.6	16.69
4.99	39.15	1.95	2.77	28.21	39.45	12.15	28.26	14.17	25.46	19.51	16.89
4.95	38.91	1.9	2.7	27.94	39.58	11.98	27.98	13.95	25.44	19.52	16.69
5	39.25	2	2.71	28.13	39.9	12.14	28.26	14.32	25.92	19.62	16.99
4.96	39.27	1.98	2.69	27.73	40.14	12.11	28.15	14.24	25.95	19.46	16.79
5.16	39.52	2.1	2.74	28.06	40.82	12.05	28.03	14.39	26.23	19.31	16.91
5.12	39.61	2.01	2.78	27.93	40.64	12.38	27.86	14.45	26.31	19.42	16.89
5.16	39.89	2.09	2.78	27.87	41.07	12.19	27.89	14.51	26.54	19.49	17.19
5.29	39.99	2.12	2.9	28.23	41.57	12.25	28.18	14.82	27	19.96	17.38
5.08	40.16	2.07	2.81	27.99	41.56	12.15	28.03	14.89	27.21	19.85	17.63
5.17	40.07	2.06	2.91	28.17	42.05	12.34	27.9	14.81	27.59	19.88	17.59
5.21	40.17	2.06	2.75	28.09	41.93	12.12	27.62	14.8	27.4	19.75	17.55
5.13	40.14	1.93	2.78	27.88	42.16	11.99	27.48	14.91	27.45	19.86	17.59
5.18	39.95	2.03	2.79	28.1	42.39	12.08	27.56	14.97	27.55	19.69	17.5
5.21	40.29	2.01	2.7	27.67	42.33	12.14	27.48	15.1	28.01	19.43	17.61
5.05	40.34	1.99	2.68	27.56	42.55	12.06	27.57	14.93	27.81	19.43	17.42
5.18	40.57	2.13	2.78	27.52	42.86	12.31	27.48	15.33	28.18	19.3	17.66
5.22	40.69	2.07	2.72	27.9	43.16	12.19	27.53	15.32	28.54	19.53	17.75
5.25	41.12	1.98	2.75	27.83	43.54	12.26	27.87	15.4	28.87	19.75	18.02
5.23	41.3	1.95	2.73	28.05	43.63	12.27	27.74	15.51	29.08	20.17	18.28
5.38	41.5	2.1	2.88	28.24	43.99	12.28	27.81	15.63	29.47	20.35	18.74
5.35	41.81	2.01	2.83	28.59	44.57	12.24	27.78	15.65	29.76	20.77	19.06
5.3	41.91	2.05	2.88	28.48	44.35	12.2	27.77	15.69	29.79	20.81	18.97
5.31	41.83	2.05	2.84	28.6	44.33	12.23	27.85	15.82	30.22	21.01	19.03
5.21	41.84	1.92	2.8	28.4	44.22	12.19	27.81	15.81	29.93	20.84	19.24
5.21	41.93	1.99	2.86	28.56	44.7	12.2	27.77	15.91	30.04	20.83	19.17
5.25	42.03	2.05	2.84	28.4	44.69	12.16	27.64	15.89	30.15	20.75	19.17
5.24	42.27	1.98	2.87	28.36	45.05	12.13	27.62	15.91	30.27	20.84	19.13
5.35	42.18	2.05	2.8	28.38	44.93	12.3	27.58	15.83	30.25	20.77	19.14
5.25	42.42	2.04	2.91	28.52	45.13	12.33	27.79	15.98	30.59	20.84	19.37
5.31	42.51	2.09	2.94	28.36	45.35	12.31	27.77	16.18	30.7	20.79	19.21
5.21	42.47	2.02	2.83	28.3	45.32	12.33	27.82	16.2	30.88	20.6	19.16
5.23	42.73	2.06	2.88	28.44	45.35	12.37	27.84	16.32	31.17	20.88	19.44
5.13	42.8	1.94	2.89	28.18	45.95	12.31	27.94	16.41	31.2	20.69	19.38
5.09	43.02	1.96	2.94	28.53	45.72	12.56	28.19	16.48	31.38	20.9	19.49
5.18	43.5	2.02	2.87	28.66	46.03	12.64	28.28	16.66	31.75	21	19.46
5.14	43.47	2	2.96	28.82	46.03	12.64	28.42	16.86	32.02	21.15	19.83
5.01	43.56	1.97	2.94	28.71	46.69	12.7	28.56	16.96	32.09	21.44	20.13
5.04	43.92	1.93	2.9	29.12	46.81	12.73	28.89	17.13	32.45	21.31	20.07
4.98	44.08	1.93	2.88	29.03	46.7	12.76	28.99	16.95	32.67	21.69	20.39
4.89	44.15	1.85	2.9	29.05	46.82	12.84	28.94	16.93	32.78	22.07	20.68
4.78	43.65	1.79	2.95	29.15	46.18	12.59	28.69	16.84	32.8	22.34	21.05
4.8	43.59	1.81	2.99	29.37	46.12	12.65	28.83	16.79	32.97	22.53	21.36
4.66	43.46	1.84	2.96	29.28	45.86	12.62	28.7	16.73	32.94	22.57	21.5
4.66	43.55	1.82	2.93	29.23	46.19	12.57	28.63	16.88	32.83	22.42	21.25
4.5	43.54	1.8	2.87	29.26	45.95	12.66	28.6	16.85	33.01	22.43	21.22
4.45	43.43	1.68	2.77	29.2	45.82	12.63	28.65	16.92	32.58	22.08	21.04
4.48	43.51	1.71	2.96	28.99	46	12.6	28.89	17.01	32.77	22.28	20.99
4.45	43.52	1.8	2.9	29.04	45.89	12.92	28.75	17.23	32.9	21.97	20.86
4.31	43.68	1.7	2.9	29.05	46.06	12.94	29.05	17.19	32.99	21.97	20.88
4.34	43.89	1.77	2.91	29.1	46.34	13.19	29.38	17.39	33.24	22.14	21.03
4.36	44.89	1.74	2.88	29.66	46.96	13.3	30.04	17.51	34.15	22.39	21.41
4.29	45.15	1.67	2.9	30.01	47.68	13.47	30.37	17.9	34.35	22.62	21.53
4.31	46.2	1.74	3.01	30.67	48.58	13.89	31.1	18.52	35.06	23.13	22.15
4.22	46.54	1.69	2.93	31.13	48.58	13.93	31.37	18.48	35.55	23.58	22.32
4.27	46.81	1.77	3.08	31.35	49	14.03	31.68	18.43	35.95	23.92	22.83
4.18	46.35	1.7	3.06	31.09	48.68	13.93	31.32	18.33	35.94	24.15	23.16
4.08	45.94	1.7	3.02	30.9	47.99	13.75	31.03	18.09	35.68	24.29	23.26
4.09	45.47	1.71	3.01	30.54	47.35	13.68	30.93	18.02	35.38	24.34	23.41
3.99	44.98	1.64	3.01	30.56	47.11	13.41	30.6	17.81	35.15	24.3	23.41
4.01	44.97	1.63	3.01	30.59	47.08	13.56	30.75	17.83	34.96	24.47	23.45
4.04	44.89	1.63	3.07	30.64	46.76	13.51	30.62	17.77	34.93	24.31	23.45
3.95	44.9	1.63	2.99	30.83	46.92	13.58	30.56	17.81	34.88	24.64	23.5
4.02	44.83	1.65	3.03	30.72	46.47	13.59	30.72	17.81	34.91	24.56	23.51
3.95	44.74	1.66	3.04	30.98	46.9	13.58	30.75	17.75	35.01	24.63	23.49
3.85	44.61	1.61	3.01	30.68	46.57	13.4	30.56	17.69	34.83	24.74	23.46
3.89	44.67	1.6	2.9	30.62	46.71	13.64	30.58	17.98	34.83	24.54	23.59
3.86	44.55	1.64	2.96	30.68	46.9	13.75	30.87	17.75	34.91	24.67	23.46
3.81	44.51	1.61	2.9	30.39	46.55	13.61	30.74	17.73	34.55	24.16	23.26
3.96	44.67	1.72	3.03	30.48	46.76	13.9	31.01	17.91	34.64	24.08	23
3.9	44.85	1.65	2.99	30.43	47.25	13.93	31.29	18.02	34.99	23.98	23.23
3.78	44.59	1.63	2.87	30.48	46.94	13.94	31.25	17.81	34.75	24	23.11
3.86	45.15	1.66	2.96	30.6	47.27	13.97	31.19	17.83	34.97	24.42	23.19
3.9	44.75	1.61	3.06	30.99	47.46	13.97	31.24	18	35.1	24.79	23.57
3.95	44.95	1.72	3.04	30.93	47.55	14.05	31.33	18.03	35.27	25.17	23.9
3.86	45.03	1.63	2.99	30.86	47.65	13.86	31.3	18.02	35.05	24.94	24.02
3.88	44.68	1.64	3	30.75	47.52	13.84	31.18	18.08	35.27	25.11	24.13
3.93	45.08	1.66	3.03	30.93	47.81	13.84	31.44	18.24	35.1	25.03	24.14
3.94	44.92	1.72	3.04	30.85	47.45	13.84	31.41	18.02	35.04	25.06	23.77
3.89	44.9	1.69	3.03	30.68	47.69	13.84	31.43	18.06	35.14	25.13	23.95
4	45.06	1.75	3.13	30.8	47.85	14.07	31.37	18.07	35.02	25.32	23.95
4	45.04	1.77	3.07	30.98	47.99	14.03	31.57	18.09	35.19	25.33	24.25
4.12	45.09	1.72	3.11	31.01	48.45	13.89	31.68	18.22	35.38	25.42	24.34
4.02	45.39	1.79	3.11	31.1	48.39	13.93	31.51	18.12	35.64	25.34	24.25
4.07	45.33	1.86	3.15	30.87	48.62	14.03	31.5	18.13	35.24	25.19	24.21
4.06	45.28	1.78	3.07	30.72	48.35	14.1	31.61	18.34	35.27	25.13	23.92
4.04	45.75	1.76	3.07	31.03	48.8	14.07	31.82	18.22	35.48	25.11	24
4.25	45.34	1.8	3.1	30.56	48.89	13.96	31.4	18.34	35.22	24.92	23.78
4.24	45.53	1.78	3.05	30.45	49.26	14.13	31.63	18.4	35.29	24.7	23.72
4.27	46.07	1.89	3.09	30.62	49.85	14.28	32.04	18.59	35.68	25.05	23.82
4.31	46.73	1.83	3.04	30.94	50.6	14.48	32.58	18.86	36.13	24.79	23.78
4.53	48.42	1.89	3.17	32.02	52.4	14.99	33.55	19.73	37.33	25.55	24.3
4.67	49.05	1.94	3.27	32.37	53.2	15.19	34.24	19.94	38	26.17	25.11
4.64	48.33	1.97	3.28	32.07	52.04	14.74	33.43	19.28	37.86	26.68	25.26
4.58	47.58	1.92	3.15	31.8	51.57	14.31	32.93	19.07	37.68	27.05	26.07
4.71	47.12	1.95	3.3	31.76	51.07	14.11	32.58	18.83	37.66	27.48	26.4
4.66	47.02	2.06	3.18	31.88	50.96	13.98	32.32	18.67	37.26	27.64	26.55
4.68	46.96	1.94	3.21	31.88	50.92	13.8	32.24	18.66	36.71	27.57	26.36
4.83	46.81	2.01	3.25	31.74	51.17	13.91	32.03	18.66	36.73	27.66	26.3
4.8	46.67	1.96	3.2	31.54	50.86	13.7	31.99	18.59	36.35	27.29	25.88
4.96	46.63	2.1	3.28	31.42	51.27	13.55	31.82	18.6	36.39	27.12	25.56
5.05	46.58	2.08	3.2	31.31	51.21	13.66	31.79	18.62	36.19	26.95	25.65
5	46.26	2.04	3.16	30.94	50.87	13.6	31.66	18.45	35.89	26.65	25.3
5.23	46.72	2.13	3.32	30.81	50.93	13.71	31.79	18.44	36.15	26.6	25.41
5.13	46.27	2.06	3.16	30.39	50.93	13.58	31.66	18.4	36.07	26.42	24.82
5.22	46.59	2.03	3.17	30.55	51.12	13.74	31.63	18.44	35.7	26.13	24.66
5.45	46.94	2.11	3.27	30.61	51.52	13.79	31.66	18.72	35.99	26.28	24.91
5.39	46.9	2.17	3.29	30.62	51.79	13.67	31.75	18.67	36.24	26.59	25.1
5.58	47.01	2.28	3.24	30.58	51.94	13.64	31.73	18.58	36.3	26.86	25.28
5.56	47.08	2.31	3.25	30.67	51.8	13.48	31.58	18.55	36.09	26.77	25.59
5.81	47.4	2.26	3.26	31.12	52.16	13.62	31.64	18.83	36.25	26.87	25.45
5.69	47.21	2.22	3.22	30.93	52.05	13.37	31.55	18.6	36.08	26.76	25.09
5.79	47.22	2.23	3.32	30.77	52.15	13.53	31.42	18.51	36.08	26.8	24.97
5.85	47.26	2.29	3.22	30.65	52.14	13.47	31.51	18.52	36.2	26.98	25.25
5.78	47.21	2.31	3.24	30.73	52.05	13.25	31.36	18.47	36.52	27.17	25.42
5.88	47.06	2.32	3.31	30.78	51.99	13.25	31.5	18.66	36.27	27.51	25.55
5.97	47.44	2.42	3.27	30.69	52.03	13.32	31.54	18.82	36.46	27.45	25.97
5.86	47.62	2.22	3.26	30.67	51.82	13.25	31.67	18.64	36.35	27.5	25.66
5.84	47.37	2.3	3.31	30.39	51.91	13.21	31.7	18.68	36.28	27.21	25.73
5.94	47.25	2.26	3.21	30.37	51.87	13.32	31.51	18.57	36.17	27.11	25.59
6.02	47.1	2.34	3.27	30.11	51.51	13.27	31.4	18.54	36.13	27.03	25.47
5.93	47.4	2.37	3.32	30.54	51.78	13.34	31.75	18.55	36.66	27.22	25.81
5.85	47.23	2.28	3.33	30.31	51.45	13.48	31.64	18.79	36.29	27.3	25.6
5.85	47.35	2.31	3.35	30.09	51.64	13.3	31.56	18.85	36.43	27.4	25.79
5.83	47.53	2.28	3.22	30.08	51.08	13.26	31.35	18.7	36.41	26.99	25.88
5.71	47.17	2.22	3.22	29.91	51.33	13.25	31.31	18.57	36.39	27.02	25.78
5.7	47.5	2.26	3.21	29.96	51.2	13.06	31.54	18.53	36.44	27.33	25.75
5.73	47.29	2.22	3.29	30.09	50.98	13.23	31.57	18.85	36.5	27.37	25.64
5.54	47.4	2.12	3.17	30.22	51.19	13.28	31.36	18.8	36.38	27.26	25.56
5.48	47.66	2.14	3.29	30.26	51.4	13.27	31.45	18.7	36.29	27.39	25.65
5.44	47.72	2.09	3.25	30.2	50.98	13.21	31.46	18.76	36.56	27.69	25.76
5.33	47.46	2.09	3.24	30.21	50.82	13.06	31.68	18.54	36.57	27.87	26.23
5.15	47.45	2.03	3.15	30	50.6	13.04	31.35	18.7	36.75	27.89	26.34
5.06	47.39	1.83	3.16	30.03	50.38	13.04	31.56	18.68	36.8	28.1	26.35
5.03	47.38	1.97	3.18	29.78	50.29	13.09	31.48	18.74	36.58	27.85	26.29
5.02	47.39	1.93	3.22	29.94	49.97	13.14	31.64	18.59	36.48	27.65	26.45
4.95	47.45	1.83	3.25	29.65	50.08	12.92	31.53	18.68	36.45	27.71	26.15
4.7	47.29	1.75	3.15	29.3	50.12	13.03	31.6	18.74	36.51	27.19	25.81
4.64	47.51	1.8	3.12	29.15	49.7	13.1	31.44	18.77	36.41	27.13	25.6
4.61	47.36	1.83	3.16	29.15	49.49	13.05	31.72	18.91	36.3	27.02	25.47
4.53	47.34	1.72	3.12	29.02	49.54	13.08	31.64	18.57	36.58	27.4	25.86
4.48	47.53	1.79	3.2	29.25	49.56	13.21	31.87	18.87	36.83	27.58	26.35
4.43	47.49	1.73	3.1	29.13	49.7	13.06	31.77	19.17	36.71	27.45	26.16
4.32	47.61	1.76	3.09	29.09	49.67	13.05	31.55	18.85	36.68	27.53	26.18
4.3	47.85	1.7	3.17	29.04	49.7	13.13	31.97	19.1	36.99	27.63	26.36
4.22	47.81	1.6	3.12	29.13	49.45	13	32.04	18.87	36.86	27.78	26.28
4.12	47.82	1.67	3.25	29.31	49.4	13.03	31.78	18.91	37.19	27.94	26.71
4.05	47.74	1.59	3.05	29.12	49.43	12.91	31.83	18.79	36.81	28.16	26.77
4.15	47.87	1.64	3.16	29.26	49.51	13.07	31.98	18.86	37.04	28.22	26.98
4.04	47.91	1.58	3.12	29.16	49.57	12.88	32.12	18.88	37.04	28.2	26.87
4.07	48.07	1.62	3.12	29.32	49.76	12.96	32.13	19.13	37.01	28.11	26.86
4.01	48.14	1.57	3.1	29.18	49.84	13.04	32.21	19.28	37.11	28.06	26.72
4.03	48.72	1.69	3.16	29.16	49.87	13.23	32.79	19.45	37.54	27.85	26.49
4.08	49.87	1.65	3.17	29.56	51.03	13.59	33.46	19.88	38.15	28.46	27.04
4.16	50.89	1.74	3.31	30.29	52.52	14.08	34.28	20.42	39.25	29.16	27.81
4.32	53.37	1.8	3.56	31.35	54.58	14.51	35.88	21.32	40.96	30.37	28.74
4.79	57.57	1.94	3.74	33.91	59.29	15.96	39.03	23.28	44.64	32.61	31.04
5.8	70.04	2.46	4.61	41.07	71.89	19.76	47.95	28.77	54.19	39.31	37.35
7.98	88.18	3.4	6.24	55.66	89.63	27.37	65.18	39.86	72.33	51.95	49.09
10.28	98.76	4.3	8.1	70.66	99.23	35.88	81.19	51.91	86.6	64.81	60.73
11.39	100	4.85	9.03	77.32	100	39.62	86.7	56.84	91.65	71.68	67.66
10.85	100	4.69	8.74	74.48	99.68	36.88	83.68	53.22	90.49	71.66	67.64
9.08	94.67	3.96	7.56	64.7	96.84	30.31	73.45	44.24	83.58	65.3	62.31
7.55	85.3	3.25	6.23	54.34	86.25	24.3	61.36	36.39	72.53	57.14	54.57
6.35	75.14	2.8	5.22	45.99	76.15	19.84	51.41	30.61	61.23	49.1	47.29
5.72	66.51	2.4	4.67	40.26	68.23	17.42	45.5	27.01	53.34	43.01	41.39
5.54	64.86	2.39	4.46	38.59	66.73	17.1	44.26	26.33	50.92	40.53	38.53
6.04	68.11	2.57	4.74	40.18	70.58	18.52	46.93	28	53.18	40.9	39.12
7.03	76.27	2.95	5.28	44.64	78.76	21.3	53.06	32.07	59.29	44.24	42.11
7.93	83.42	3.43	5.98	49.49	85.42	24.12	59.35	36.03	66.24	48.53	45.87
8.73	87.49	3.73	6.46	53.33	89.59	26.29	64.34	39.07	71.75	52.64	49.98
9.11	87.82	3.78	6.52	53.98	89.89	26.35	64.89	39.1	72.56	53.81	50.84
