"Senecio_inaequidens_E__P_1"	"Senecio_inaequidens_E__P_2"	"Senecio_inaequidens_E__P_3"	"Senecio_inaequidens_E__P_4"	"Origanum_vulgare_E__P_1"	"Origanum_vulgare_E__P_2"	"Origanum_vulgare_E__P_3"	"Origanum_vulgare_E__P_4"	"Reynoutria_japonica_E__P_1"	"Reynoutria_japonica_E__P_2"	"Reynoutria_japonica_E__P_3"	"Reynoutria_japonica_E__P_4"
37.5	70.81	29.58	42.87	52.82	60.44	25.45	44.32	31.09	31.21	52.51	23.06
40.07	75.1	35.8	48.2	59.59	61.53	37.69	51.81	22.33	36.03	60.38	27.77
32.82	66.28	35.19	41.82	51.73	51.76	30.34	37.56	15.32	30.82	51.49	33.45
41.97	71.54	33.64	50.01	57.35	59.4	30.51	43.05	19.98	37.98	50.44	36.03
39.69	80.07	38.98	50.11	63.35	56.35	33.89	45.17	26.78	38.46	60.82	34.41
39.98	72.56	33.5	58.1	59.96	65.17	34.11	48.62	30.85	37.68	49.48	27.93
34.8	70.25	35.02	53.29	56.66	61.72	32.71	44.55	29.39	37.15	49.62	28.87
33.49	74.82	27.11	44.66	53.77	51.69	23.39	38.91	21.35	23.67	55.7	25.63
31.97	68.51	29.59	44.98	52.61	56.66	33.52	39.61	21.86	36.45	46.62	26.47
40.95	65.84	32.28	47.99	53.28	62.47	36.24	45.46	15.8	33.77	50.73	38.55
38.04	77.26	36.76	48	58.16	59.13	29.13	44.04	30.96	35.54	53.44	26.25
32.84	65.69	30.19	42.52	57.42	53.48	20.96	39.56	29.43	29.61	47.99	28.2
31.15	77.66	31.83	53.22	58.76	66.5	28.35	37.92	23.23	27.82	54.04	25.66
39.99	74.11	32.76	48.85	68.72	64.9	35.28	54.58	22.29	37.58	53.01	32.43
38.5	69.16	36.78	53.67	62.93	65.61	29.24	46.99	22.04	34.02	50.33	28.9
41.43	72.01	34.64	53.35	62.46	65.07	31.45	41.49	21.4	36.1	52.66	32.87
30.21	69.53	22.91	47.13	48.15	55.57	25.01	33.83	13.57	26.29	45.58	29.24
40.43	65.9	30.64	46.2	58.61	63.24	29.32	48.66	20.74	36.85	51.92	30.6
35.01	63.21	32.91	42.59	53.31	58.47	28.08	45.22	22.62	31.27	51.8	23.69
31.47	72.39	35.65	45.03	52.02	56.9	25.99	44.39	24.41	30.57	50.41	29.31
36.28	68.86	29.83	47.41	56.09	58.26	18.04	44.83	21.04	22.3	47.93	26.86
30.62	57.95	27.28	49.31	54.89	52.5	24.41	39.07	22.56	30.74	39.17	30.49
29.5	64.53	21.45	41.07	58.74	48.18	26.75	40.74	13.08	23.12	42.35	22.79
31.53	63.99	31.37	48.7	53.93	56.76	31.85	44.2	25.04	30.33	48.85	28.96
43	73.84	32.88	44.6	55.94	57.5	35.19	47.53	28.05	35.37	54.64	29.63
36.94	64.31	30.27	38.94	50.56	53.63	26.78	41.1	20.62	34.58	48.77	30.41
27.15	64.99	25.06	41.33	55.49	57.95	25.98	41.64	13.36	27.52	43.42	21.28
32.87	66.78	32.47	38.76	57.37	57.03	28.39	43.6	18.14	32.37	50.43	32.44
38.21	66.11	25.32	44.3	62.75	52.11	29.54	46.28	12.58	29.24	47.4	25.42
34.72	62	32.4	40.48	52.96	53.75	30.51	41.29	28.4	32.54	45.95	29.55
29.36	66.43	29.63	44.41	54.21	61.94	30.7	45.85	23.9	29.17	47.2	28.75
33.8	63.83	25.23	42.17	58.59	59.43	29.51	41.7	25.21	29.61	45.21	28.86
35.93	52.71	31.66	43.51	50.98	49.99	28.86	40.42	22.49	28.59	40.15	23.34
28.76	61.31	30.65	38.53	52.24	55.98	28.89	40.21	23.54	23.29	45.76	23.47
33.94	60.39	26.04	42.94	55.62	51.79	28.59	41.92	23.08	30.02	44.62	28.69
32.4	57.6	29.07	34.74	51.75	45.73	27.48	36.67	14.48	29.04	44.52	23.61
26.24	55.14	25.64	39.64	51.57	48.11	27.38	32.13	21.73	26.51	31.39	23.05
26.92	60.35	25.74	31.84	56.89	48.05	27.47	33.59	11.22	28.27	39.41	13.94
31.8	55.47	26.35	34.32	53.09	45.79	22.34	34.03	20.54	23.76	41.52	28.27
30.31	57.75	22.11	34.8	52.96	45.67	27.49	31.64	17.93	26	33.87	17.06
28.98	51.94	30.34	38.59	55.3	54.55	33.61	37.74	21.43	28.29	44.09	24.43
31.53	49.96	27.06	37.64	51.98	45.64	24.41	36.69	22.1	26.83	39.34	23.94
26.64	47.14	21.17	30.51	51.89	40.46	23.48	31.94	20.42	27.53	34.28	18.4
20.1	42.9	19.67	29.3	47.57	40.5	19.8	27.92	13.65	18.05	31.9	18.31
