"Agrimonia_eupatoria_G__P_1"	"Agrimonia_eupatoria_G__P_2"	"Trifolium_repens_G__P_1"	"Trifolium_repens_G__P_2"	"Trifolium_repens_G__P_3"	"Trifolium_pratense_G__P_1"	"Trifolium_pratense_G__P_2"	"Trifolium_pratense_G__P_3"
5.7	5.76	2.84	3.96	42.91	25.25	37.11	38.72
6.07	5.9	3.01	4.19	44.32	25.58	37.65	38.84
6.43	6.17	3.06	4.31	45.97	26.11	38.55	38.66
6.99	6.41	3.33	4.52	47.54	26.65	39.26	38.72
7.03	6.46	3.23	4.64	48.07	26.97	39.05	38.95
7.18	6.45	3.34	4.65	48.44	27.07	39.12	39
7.16	6.53	3.41	4.62	48.19	27.08	38.91	38.98
7.08	6.5	3.51	4.67	48.22	27.05	38.62	39.36
6.86	6.44	3.55	4.59	47.6	26.66	38.03	39.31
6.77	6.41	3.3	4.53	47.5	26.81	37.79	39
6.66	6.51	3.3	4.49	46.95	26.62	37.53	39
6.56	6.34	3.34	4.44	46.97	26.49	37.2	38.8
6.3	6.31	3.31	4.43	46.3	26.09	36.57	38.52
6.38	6.35	3.33	4.34	45.86	26.34	36.35	38.68
6.33	6.39	3.3	4.43	46.01	26.35	36.12	38.38
6.51	6.43	3.3	4.34	46.37	26.72	36.16	38.45
6.63	6.47	3.3	4.51	47.03	26.8	36.53	38.37
6.84	6.69	3.39	4.53	48.03	27.15	36.76	38.7
6.9	6.76	3.47	4.75	48.23	27.3	36.74	38.65
6.84	6.62	3.32	4.6	48.34	27.36	36.68	38.9
6.96	6.8	3.53	4.62	48.83	27.52	36.65	38.88
7.17	6.92	3.64	4.88	49.27	27.86	36.66	39.27
7.16	7	3.74	4.85	49.7	28.03	36.62	38.76
7.57	7.19	3.71	5.05	49.95	28.14	36.65	39.28
7.61	7.07	3.62	4.88	50.69	28.23	36.57	39.06
7.52	7.18	3.73	5.06	50.67	28.33	36.65	39.22
7.62	7.19	3.76	5.06	51.24	28.35	36.55	39.22
7.72	7.39	3.84	5.16	51.07	28.48	36.36	39.11
7.93	7.36	3.83	5.01	51.63	28.46	36.29	39.35
7.98	7.51	3.99	5	51.88	29.02	36.33	39.22
7.93	7.61	4.05	5.17	51.76	28.56	36.04	39.31
8.12	7.66	4.08	5.03	52.08	28.58	36.03	39.45
7.91	7.58	4	5.01	51.87	28.65	35.5	38.95
8.11	7.72	3.95	5.18	51.86	29.03	35.55	38.87
8.14	7.78	4.11	5.28	52.22	28.84	35.3	38.95
8.27	7.86	4.06	5.24	52	29.01	34.99	38.85
8.38	7.87	4.1	5.29	52.4	29.25	34.93	38.87
8.65	8.04	4.26	5.25	52.99	29.31	34.82	39.08
8.72	8.21	4.26	5.41	53.75	29.7	35.31	38.96
8.83	8.04	4.33	5.39	53.83	29.67	34.94	38.76
9.15	8.34	4.46	5.46	54.26	29.87	35.18	39.02
9.31	8.43	4.41	5.37	54.26	29.92	34.67	38.93
9.24	8.44	4.54	5.51	54.54	30.1	34.63	38.89
9.49	8.62	4.44	5.48	54.71	30.18	34.52	38.71
9.18	8.54	4.55	5.46	54.22	29.86	34.06	38.82
9.35	8.61	4.55	5.65	54.3	30	33.71	38.92
9.46	8.66	4.61	5.44	54.23	30.02	33.65	38.63
9.55	8.7	4.71	5.54	54.16	29.98	33.42	38.58
9.79	8.85	4.79	5.77	54.49	30.16	33.3	38.62
10.19	9.21	4.93	5.68	55.13	30.27	33.34	38.67
10.32	9.18	5	5.77	55.54	30.45	33.42	38.55
10.42	9.38	4.89	5.82	55.95	30.51	33.04	38.58
10.58	9.46	5.06	5.86	56.08	30.79	33.03	38.82
10.89	9.56	5.18	5.88	56.66	30.95	33.16	38.64
11	9.65	5.22	5.88	56.5	30.8	32.71	38.06
11.24	9.82	5.41	6.06	56.91	31.11	32.83	38.47
11.3	9.85	5.4	6.15	57.3	31	32.16	38.42
11.48	10.06	5.41	6.08	57.23	31.16	32.47	38.66
11.58	10.01	5.73	6.06	57.03	31.4	32.24	38.32
11.79	10.16	5.68	6.09	57.55	31.41	32.1	38.45
11.99	10.31	5.74	6.1	58.14	31.65	31.98	38.2
12.58	10.41	5.99	6.37	58.64	31.82	32.3	38.56
12.75	10.42	6.06	6.36	59.03	31.86	32.27	38.25
13.12	10.82	6.31	6.65	60.06	32.29	32.28	38.57
13.31	10.86	6.43	6.61	60.17	32.39	32.25	38.38
13.59	10.99	6.46	6.6	60.15	32.44	32.02	38.49
14	11.13	6.66	6.68	60.64	32.65	31.82	38.6
14.14	11.44	6.74	6.75	60.71	32.61	31.75	38.83
14.14	11.35	6.89	6.65	60.89	32.68	31.7	38.63
14.52	11.42	7.01	6.79	60.98	32.63	31.26	38.28
14.7	11.57	6.98	6.74	60.88	32.65	31.15	38.54
14.68	11.7	7.14	6.76	60.39	32.61	30.63	37.89
14.77	11.65	7.1	6.67	59.62	32.44	30.24	37.64
14.72	11.78	7.34	6.65	59.43	32.38	29.84	37.74
14.69	11.72	7.12	6.61	58.85	32.03	29.44	37.07
14.97	11.85	7.38	6.67	58.67	31.92	29.08	37.1
14.96	11.87	7.43	6.67	58.8	31.88	29.08	37.11
15.38	12.01	7.44	6.69	59.3	32.32	29.06	37.38
16.08	12.38	7.79	6.95	60.45	32.83	29.53	37.65
16.69	12.67	7.98	7.07	61.76	33.31	29.69	37.6
17.32	12.97	8.33	7.21	62.47	33.67	29.93	37.78
17.67	13.03	8.64	7.34	63.21	33.86	29.93	37.67
17.95	13.16	8.67	7.5	63.89	34.02	29.97	37.87
18.2	13.3	8.94	7.49	64.46	34.13	29.61	37.61
18.64	13.41	9.12	7.55	64.33	34.29	29.68	38.02
18.74	13.5	9.29	7.43	64.18	34.34	29.67	37.94
18.97	13.57	9.4	7.62	64.59	34.15	29.33	38.16
19.26	13.97	9.64	7.73	64.55	34.37	29.17	37.84
19.42	13.9	9.75	7.56	64.34	34.61	29.08	37.62
19.41	13.85	9.81	7.6	64.45	34.25	28.91	37.68
19.7	14.13	9.99	7.73	64.89	34.64	28.85	37.43
19.7	13.92	10.09	7.61	64.12	34.28	28.61	37.4
19.61	14.17	10.12	7.76	63.8	33.91	28.2	36.99
19.75	14.09	10.14	7.62	63.64	34.05	27.91	37.03
19.56	14.02	10.19	7.46	62.59	33.54	27.19	36.57
19.26	14.11	10.03	7.46	61.59	33.41	26.74	36.38
19.1	13.89	9.95	7.34	60.79	33.05	26.31	36.2
19.38	14.03	10.11	7.39	61.18	33.25	26.4	36.28
19.87	14.23	10.29	7.5	61.96	33.54	26.68	36.31
20.45	14.39	10.6	7.76	62.82	33.81	26.79	36.3
20.96	14.51	10.93	7.83	63.67	34.06	26.83	36.29
20.87	14.35	10.85	7.76	63.45	33.8	26.46	35.79
20.67	14.51	10.86	7.55	62.16	33.44	25.92	35.58
20.17	14.39	10.64	7.43	60.72	33.17	25.36	35.5
20.08	14.59	10.65	7.37	60.85	33.67	25.58	36.47
20.9	15.47	11.23	7.73	62.95	35.67	26.61	38.67
21.73	15.96	11.58	7.91	64.88	36.54	27.38	39.69
22.34	15.86	11.78	8.06	65.83	36.29	27.37	38.84
23.04	15.54	11.94	8.29	66.48	35.78	26.98	37.41
23.7	15.54	12.23	8.39	67.54	35.92	26.85	36.63
24.15	15.54	12.59	8.52	68.19	35.97	26.75	36.31
24.25	15.62	12.7	8.39	68.14	35.85	26.71	36.11
24.15	15.58	12.7	8.46	68.14	35.77	26.49	36.05
24.08	15.74	12.71	8.42	67.47	35.59	26.07	36.2
23.77	15.66	12.64	8.35	66.45	35.32	25.9	36.22
23.08	15.47	12.63	8.18	65.42	34.89	25.27	35.92
22.62	15.34	12.38	7.97	64.21	34.43	24.9	35.72
22.19	15.08	12.11	7.77	63.03	34.05	24.25	35.31
21.66	15.19	11.95	7.72	61.88	34.13	24	35.56
21.75	15.49	11.98	7.76	62.12	34.62	24.27	36.02
22.49	15.74	12.38	7.96	63.61	35.12	24.68	36.19
23.69	16	12.94	8.3	65.86	35.69	25.08	36.5
24.62	16.04	13.33	8.54	67.47	36.01	25.35	36.32
25.25	16.39	13.69	8.81	68.62	36.27	25.58	36.12
25.45	16.19	13.75	8.67	69.14	36.28	25.52	36.31
25.3	16.42	13.77	8.7	68.57	36.16	25.26	36.29
24.5	16.08	13.57	8.57	67.07	35.85	24.61	35.78
23.61	15.93	13.04	8.27	65.45	35.28	23.85	35.68
23.19	15.85	13.1	8.07	64.38	35.12	23.77	35.86
23.27	15.92	12.95	8.1	64.36	35.34	23.81	35.96
24	16.09	13.29	8.44	65.5	35.84	24.28	36.03
24.99	16.52	13.83	8.58	67.67	36.48	24.73	36.29
25.75	16.73	14.22	8.74	69.25	36.85	24.9	36.37
26.21	16.76	14.44	8.84	69.36	36.78	24.71	36.5
26.19	16.82	14.53	8.9	69.79	37.18	25.02	36.36
25.79	16.53	14.29	8.77	69.17	36.86	24.52	36.29
25.42	16.64	14.01	8.8	67.99	36.41	24.43	35.99
25.14	16.54	14.23	8.58	67.83	36.26	24.22	35.96
24.41	16.32	13.83	8.36	66.31	35.72	23.41	35.54
23.76	16.1	13.49	8.23	64.71	35.23	22.94	35.29
22.91	15.77	12.91	7.97	62.55	34.47	22.28	34.62
22.54	15.65	12.74	7.8	61.98	34.8	22.1	35.02
22.78	15.89	12.82	7.77	62.35	35.25	22.38	35.73
23.41	16.16	13.11	8.06	63.98	35.93	22.72	36.2
24.51	16.35	13.53	8.34	65.78	36.27	23.06	35.93
25.41	16.52	13.93	8.56	67.56	36.73	23.24	35.72
26.08	16.47	14.31	8.72	68.31	37.01	23.41	35.29
25.96	16.6	14.24	8.67	67.94	36.75	23.18	35.2
25.69	16.52	14.21	8.67	67.78	36.83	23.14	35.4
25.96	16.56	14.37	8.68	68.11	36.98	23.19	35.56
26.49	16.93	14.61	8.99	69	37.44	23.48	35.87
26.5	16.81	14.7	8.95	69.65	37.26	23.49	35.67
26.51	17.01	14.85	8.99	69.37	37.39	23.48	35.66
26.46	16.97	14.63	8.95	69.07	37.48	23.25	35.89
25.92	16.91	14.72	8.84	68.81	37.38	22.94	35.77
25.57	16.71	14.38	8.65	67.39	36.85	22.61	35.67
25.6	16.89	14.41	8.65	67.5	37.1	22.73	35.52
25.25	16.69	14.29	8.62	66.92	36.84	22.45	35.41
25.23	16.84	14.32	8.62	66.67	37.05	22.34	35.82
25.59	16.97	14.37	8.71	67.43	37.34	22.48	35.89
26.06	17.16	14.73	8.88	68.76	37.78	22.88	36.1
26.87	17.16	15.16	8.97	69.94	38.03	22.94	35.96
27.72	17.39	15.26	9.18	71.38	38.74	23.4	36.62
27.6	17.43	15.35	9.28	71.36	38.84	23.5	36.56
27.66	17.42	15.63	9.35	71.53	38.94	23.37	36.63
28.12	17.4	15.72	9.14	72.01	39.25	23.45	36.99
28.11	17.53	15.73	9.3	71.65	38.93	23.24	37
27.55	17.74	15.61	9.26	71.5	39.11	23.35	36.82
27.36	17.61	15.5	9.13	71.11	38.69	22.9	36.67
27.28	17.63	15.46	9.15	70.45	38.53	22.9	36.34
27.36	17.63	15.57	9.04	70.51	38.69	23.04	36.45
27.15	17.51	15.34	9.19	70.13	38.5	22.71	36.47
27.24	17.59	15.41	9.08	70.03	38.48	22.79	36.52
26.86	17.35	15.4	9.05	69.4	38.44	22.36	36.33
26.37	17.15	14.85	8.95	68.21	37.94	21.94	36.41
26.14	17.23	14.88	8.72	67.9	38.13	22.14	36.01
26.22	17.31	14.99	9.01	68.14	38.28	22.08	36.48
26.92	17.69	15.2	9.03	69.51	38.63	22.31	36.53
27.46	17.54	15.16	9.17	70.17	39.32	22.59	36.41
27.84	17.85	15.61	9.39	70.91	39.36	22.57	36.63
27.89	17.87	15.88	9.31	71.14	39.72	22.7	36.68
28.06	17.92	15.81	9.34	71.5	39.63	22.87	36.7
28.2	17.8	15.87	9.49	71.89	39.94	23	37.02
28.41	18.3	15.88	9.29	71.57	39.89	22.74	36.96
28.19	17.94	15.73	9.35	71.81	39.86	22.54	37.1
28.25	17.95	15.89	9.34	71.31	40.11	22.81	36.9
27.99	17.87	15.56	9.22	70.57	39.81	22.7	36.96
27.56	17.76	15.72	9.2	71	39.98	22.32	37.35
27.91	17.6	15.33	9.08	70.83	39.73	22.17	37.04
27.64	17.88	15.56	9.34	71.02	39.75	22.51	37.14
28.23	17.99	15.78	9.28	71.15	40.3	22.5	37.23
28.05	17.99	15.84	9.49	71.86	40.41	22.57	37.48
27.84	17.96	15.49	9.32	71.42	39.75	22.53	37.32
27.91	17.9	15.44	9.28	71.38	40	22.62	37.45
27.95	17.6	15.69	9.48	71.52	40.56	22.44	37.7
27.86	17.89	15.36	9.45	70.82	40.01	22.52	37.25
27.89	18.09	15.37	9.36	71.26	40.07	22.48	37.51
27.85	17.72	15.38	9.29	71.07	40.14	22.42	37.41
27.44	17.82	15.24	9.47	70.26	40.08	22.24	37.14
27.46	18.02	15.17	9.08	70.08	40.34	22.24	37.44
27.12	17.73	14.81	9.35	70.25	39.94	22.3	36.99
26.92	17.42	14.75	9.17	69.61	39.88	21.73	36.9
27.72	17.71	14.86	9.28	70.24	40.34	22.39	37.58
27.94	18.05	14.84	9.39	70.91	40.49	22.6	37.38
28.08	18.2	15.26	9.64	71.13	40.52	22.5	37.53
27.82	17.82	14.98	9.35	70.97	40.26	22.17	37.55
27.9	17.87	14.87	9.29	71.11	40.99	22.56	37.87
27.92	17.75	14.95	9.51	70.83	41.06	22.45	38.02
27.74	17.52	14.66	9.36	70.6	40.68	22.45	37.88
27.5	17.8	14.27	9.5	70.29	40.44	22.12	37.63
26.99	17.52	14.28	9.35	69.91	40.43	21.9	37.6
26.86	17.54	13.98	9.22	68.62	40.59	21.87	37.54
26.78	17.5	13.96	9.36	69.08	40.17	21.8	37.36
26.19	17.11	13.53	9.23	67.61	40.04	21.38	37.04
25.65	17.11	13.35	9.05	66.52	39.72	21.18	36.55
25.67	17.1	13.28	9.15	67.3	39.67	21.37	36.87
26.57	17.59	13.67	9.45	68.4	40.6	21.88	37.42
26.83	17.43	13.59	9.45	68.94	40.38	21.84	37.06
27.22	17.42	13.48	9.59	70.05	40.77	22.25	37.43
27.56	17.72	13.73	9.68	70.18	41.02	22.23	38
27.47	17.5	13.54	9.61	70.61	41.16	22.6	37.46
27.34	17.63	13.57	9.71	70.88	41.16	22.47	37.76
27.03	17.78	13.81	9.61	70.29	41.29	22.27	37.78
26.66	17.31	13.26	9.33	69.67	40.97	22.33	37.69
26.87	17.36	13.05	9.67	69.06	41	22.27	37.62
26.31	17.14	13.03	9.62	69.42	40.77	22.14	37.71
26.44	17.15	12.93	9.39	68.86	41.15	22.11	38.08
26.33	16.91	12.65	9.65	69.19	41.2	22.16	37.8
26.22	17.23	12.79	9.35	68.49	41.09	22.15	37.59
25.78	16.6	12.35	9.31	67.99	40.41	22.18	37.63
25.07	16.6	11.98	9.24	66.99	40.38	21.85	37.03
24.81	16.53	11.92	9.18	66.31	40.14	21.8	37.63
25.48	16.71	11.98	9.14	66.65	40.19	22.13	37.62
25.42	16.61	11.82	9.25	67.27	40.36	22.12	37.59
25.78	16.62	11.81	9.39	68.24	41.01	22.41	37.88
26.03	16.8	12.07	9.61	68.48	40.91	22.57	37.78
26.08	16.63	11.98	9.39	68.96	41.24	22.71	38.08
26.15	16.93	12.1	9.67	68.93	41.4	22.71	38.04
26.09	16.94	12.02	9.45	68.34	41.37	22.99	37.92
25.83	16.61	11.78	9.44	67.74	40.87	22.59	38.28
25.58	16.59	11.49	9.53	67.36	40.89	22.61	38
25.33	16.6	11.73	9.48	67.34	41.13	22.79	38.22
25.45	16.65	11.37	9.37	67.11	41.44	22.84	38.45
25.77	16.63	11.57	9.62	68.15	41.71	23.36	38.81
26.12	16.76	11.49	9.63	69.29	41.74	23.86	38.68
26.43	16.89	11.66	9.75	69.32	42.08	23.88	39.44
26.22	16.72	11.58	9.77	69.19	42.3	23.72	39.07
26.34	16.81	11.63	10	69.25	42.16	24.11	39.46
26.26	16.99	11.64	9.94	69.78	42.35	24.41	39.25
26.46	16.85	11.55	9.86	70.21	42.83	24.24	39.7
26.51	16.82	11.67	9.9	69.85	42.87	24.49	39.84
26.73	16.86	11.62	10.01	70.23	43.15	24.65	39.94
26.82	17	11.89	10.24	70.49	43.39	25.3	40.4
26.71	16.92	11.58	10.22	70.77	43	25.27	40.35
26.91	16.77	11.49	10.08	70.57	43.27	25.3	40.64
26.17	16.82	11.37	9.93	71.18	43.35	25.35	40.3
26.44	16.91	11.3	9.86	70.08	43.17	25.18	40.75
26.64	16.68	11.33	10.06	70.25	43.27	25.71	40.95
26.48	16.93	11.65	10.19	70.18	43.18	25.97	41.1
26.35	16.78	10.97	10.13	70.11	43.08	25.61	41.12
26.6	16.62	10.89	10	69.86	43.32	26.17	40.68
26.65	16.83	11.44	10.14	70.07	43.39	26.13	40.96
26.71	17.1	11.25	9.82	70.47	43.84	26.49	41.26
26.36	17.02	11.24	10.52	70.16	44.09	26.66	41.32
26.77	17.07	11.43	10.3	70.3	43.93	26.93	41.46
26.29	16.92	11.19	10.35	70.24	43.7	26.97	41.53
26.51	16.95	11.39	10.31	70.21	44.04	27.05	41.82
25.98	16.62	11.39	10.31	70.19	43.83	27.14	41.2
26.4	16.95	11.05	10.18	69.59	44.03	27.32	41.37
26.19	16.96	11.05	10.26	69.82	43.94	27.65	41.73
26.33	16.9	10.94	10.26	69.65	43.94	27.77	42.07
26.21	17	11.1	10.66	70.26	44.26	28.06	41.74
26.48	16.82	11	10.36	70.21	44.08	28.67	41.77
26.35	16.74	11.13	10.47	70.29	44.41	28.21	41.96
26.35	16.74	10.66	10.33	69.79	44.13	28.77	42.15
26.25	16.65	10.89	10.45	69.8	44.09	28.75	41.86
26.13	16.61	10.91	10.4	69.61	44.34	29	42.56
26.27	17.01	10.92	10.76	70.13	44.51	29.44	42.61
26	16.87	10.46	10.25	69.75	44.53	29.49	42.42
25.55	16.58	10.55	10.5	69.38	43.82	29.57	42.07
25.55	16.59	10.49	10.61	68.76	44.08	29.37	42.29
25.37	16.53	10.33	10.7	68.44	44.28	29.4	42.39
25.79	16.68	10.45	10.22	68.9	44.24	30.02	42.31
25.68	16.71	10.41	10.43	68.59	44.16	30.11	42.38
25.38	16.66	10.25	10.52	68	43.92	30.07	42.41
25.5	16.58	10.33	10.52	68.44	44.13	30.98	42.79
25.57	16.95	10.33	10.45	68.47	44.36	31.09	42.77
26.01	16.77	10.68	10.75	69.23	44.76	31.4	43.25
26.18	17.18	10.87	10.63	69.89	45.2	32.05	43.34
26.25	17.27	10.63	10.7	69.96	45.37	32.31	43.73
26.41	17.28	10.77	10.87	69.9	44.67	32.57	43.51
25.96	17.01	10.42	10.73	69.64	45.03	32.9	43.26
25.79	16.95	10.29	10.74	69.27	45.17	32.65	43.48
26.1	17.2	10.4	10.88	69.35	44.87	33.11	43.69
25.78	16.87	10.36	10.8	68.67	44.71	32.99	43.3
25.36	16.81	10.1	10.64	67.86	44.49	33.57	43.26
25.35	16.69	10.47	10.58	67.91	44.55	33.36	42.87
24.98	16.85	10.2	10.48	67.51	44.66	33.9	43.44
25.63	16.55	10.25	10.86	66.95	44.6	34.32	43.56
25.62	17.02	10.1	10.96	67.99	44.81	34.57	44.03
25.44	16.68	9.98	10.69	67.7	44.46	34.55	43.6
25.34	16.81	9.93	10.7	67.5	44.2	34.49	43.56
25.02	16.88	10.21	10.62	66.84	44.06	34.94	43.13
24.58	16.56	9.84	10.57	65.65	43.49	35.23	42.94
23.89	16.57	9.51	10.44	64.23	43.39	34.43	43.01
23.78	16.39	9.59	10.46	63.95	43.53	34.88	43.06
24.04	16.51	9.44	10.45	64.59	43.64	35.47	43.07
24.87	16.68	9.72	10.61	66.68	44.38	36.52	43.39
25.74	17.2	10.21	11.04	68.29	45.22	37.52	44.07
26.29	17.34	10.09	11.11	68.56	45.68	38.08	43.88
26.58	17.2	10.18	11.26	69.92	46.4	38.75	44.45
26.36	17.24	10.2	11.05	70.01	45.99	38.93	44.1
26.63	17.15	10.39	11.14	69.7	46.23	39.71	44.75
26.37	17.25	10.21	11.26	69.89	46.43	39.81	44.69
25.86	17.06	10.05	11.28	69.39	45.93	40.33	44.94
26.11	17.31	10.26	11.5	68.92	46.26	40.76	45.59
25.74	16.9	9.82	11.13	68.4	45.74	40.66	44.94
25.39	16.95	9.99	10.87	68.37	45.53	40.72	45.14
25.81	16.96	9.95	10.84	68.27	45.69	41.17	45.38
25.89	17.23	10.02	11.36	68.72	45.87	41.36	45.59
25.14	17.32	10.02	11.02	67.2	45.45	41.44	45.14
25.27	17.2	10.08	11.26	67.02	45.62	41.83	44.78
24.7	17.09	9.89	10.97	66.02	45.12	41.9	44.89
24.52	16.49	9.64	10.82	65.28	44.93	41.53	44.93
24.35	16.87	9.43	10.96	65.28	45.05	42.18	44.76
24.31	16.73	9.34	10.94	65.05	44.88	42.5	44.88
24.27	16.66	9.4	10.78	65.02	44.7	42.28	44.51
23.81	16.52	9.04	10.18	63.86	44.7	42.34	43.94
23.73	16.42	8.91	10.5	63.8	44.22	42.37	43.84
24.16	16.82	9.43	10.73	64.47	45.05	43.46	44.52
24.93	17.22	9.44	11.11	65.34	45.53	44.43	45.05
25.46	16.96	9.76	11.02	67.25	46.67	45.48	45.19
25.69	17.19	9.76	11.16	67.99	46.34	46.37	45.76
25.64	17.47	9.87	11.5	68.46	46.78	47.04	46.25
25.64	16.92	9.82	11.34	68.12	46.59	47.06	46.02
25.8	17.25	9.89	11.15	68.09	46.55	47.83	46.24
25.93	17.37	10	11.61	68.41	46.49	47.75	46.47
25.48	17.18	9.66	11.55	67.88	46.56	48.07	46.85
25.16	17.3	9.45	11.1	67.41	46.69	48.37	46.25
24.74	16.63	9.42	11.12	65.97	45.9	48.18	46.37
24.41	16.62	9.35	11.02	65.05	45.36	47.84	45.84
23.64	16.44	8.95	10.7	63.44	45.21	47.3	45.59
23.45	16.55	8.85	10.57	63.62	45.21	48.14	45.87
23.68	16.64	8.65	10.82	64.15	45.49	48.7	45.88
24.38	16.58	9.16	11.13	65.71	46.05	49.81	46.54
24.62	16.99	8.87	10.89	66.04	46.52	50.36	46.51
24.78	16.95	9.17	10.99	67.27	46.84	51.48	46.7
25.1	17.02	9.48	11.13	67.29	46.58	51.58	46.61
25.25	16.98	9.39	11.03	68.05	47.04	52	47.08
25.47	17.01	9.09	11.22	68.2	47.46	52.6	46.97
25.52	16.6	9.13	11.39	68.47	47.8	53.61	47
25.42	17.08	9.3	10.86	67.96	47.15	53.18	47.08
25.2	17.01	9.04	11.07	67.48	46.89	53.86	47.64
24.83	16.43	8.86	10.91	68.16	46.99	54.37	47.25
25.55	16.92	9	11.12	67.83	47.28	54.52	47.84
25.17	16.89	9.15	11.2	67.71	47.48	55.36	48.04
25.12	16.7	9.05	11.4	67.87	48.18	55.9	48.23
24.8	16.9	9.12	11.16	67.51	47.6	55.59	48.04
25.43	16.89	9.09	11.27	67.96	48.14	56.92	48.45
24.71	16.98	9	10.95	67.92	47.51	56.1	48.16
24.61	16.77	8.9	11.14	67.66	48.14	57.36	48.62
24.4	16.37	8.92	10.86	67.29	47.28	56.34	48.02
25.14	16.47	9.23	11.22	67.9	48	57.49	48.52
24.96	16.48	8.89	10.88	67.48	48.24	57.59	48.44
24.91	16.35	8.82	11.07	67.59	48.4	58.07	48.31
24.83	16.31	8.99	11.17	67.55	48.39	57.84	48.1
24.43	16.73	8.49	10.77	67.03	48.12	58.37	48.28
24.87	16.52	8.77	11.23	67.16	47.62	58.74	48.32
24.4	16.25	8.55	10.92	67.14	47.99	58.94	48.12
24.58	16.61	8.87	11.01	67.78	48.74	59.97	48.54
24.14	16.23	8.35	10.87	66.45	48.34	59.48	48.36
25.33	17.02	9	11.6	67.31	48.69	60.81	48.98
24.38	16.24	8.42	10.67	66.73	48.3	60.49	48.1
24.14	16.5	8.13	10.89	66.72	48.53	60.73	48.89
24.63	16.47	8.47	11.04	67.45	48.49	60.9	48.45
24.55	16.04	8.27	10.97	67.39	48.67	61.19	48.56
24.56	16.43	8.37	10.81	67.87	49.38	62.16	48.8
24.39	16.32	8.38	10.44	67.06	48.3	61.68	48.77
24.82	16.33	8.54	10.94	67.45	48.44	61.74	48.94
24.86	16.58	9.02	11.17	67.21	48.78	61.89	48.98
24.3	16.29	8.25	10.86	67.24	48.31	62.64	48.86
24.85	16.23	8.48	11.17	67.21	48.39	62.09	48.65
24.63	16.27	8.33	10.94	66.49	48.88	62.43	48.81
24.38	16.09	8.34	11.05	67.25	48.82	62.74	49.31
24.34	16.24	8.46	11.25	66.75	48.73	63.29	48.73
24.3	15.72	8.16	10.5	66.21	48.33	62.49	48.36
24.07	16.07	8.41	10.59	66.18	48.52	62.93	47.97
23.92	16.17	8	10.88	65.94	48.36	62.41	48.64
23.65	15.75	8.06	10.46	66.05	48.85	63.21	48.67
23.76	15.41	7.68	10.03	64.65	47.51	62.6	47.74
23.49	15.47	7.53	10.12	64.76	48.02	62.84	47.33
23.25	15.55	7.74	10.79	64.4	48.18	63.01	48.17
22.71	15.73	7.6	10.48	63.74	47.32	62.12	47.12
22.52	15.29	7.9	10.34	62.27	47.03	61.83	46.59
22.54	15.45	7.84	10.37	62.48	46.93	61.54	47.05
22.92	15.45	7.69	10.71	63.39	47.37	62.77	47.29
23.1	15.54	7.8	10.45	63.96	47.99	63.11	48.32
23.56	15.87	7.76	10.44	63.85	47.79	63.63	47.72
23.7	15.98	8.17	10.78	65.46	48.85	64.31	47.71
23.94	16.02	8.15	10.81	65.49	48.84	65.24	47.83
23.79	15.92	8.12	11.21	65.99	48.88	65.33	48.3
24.25	16.32	7.82	10.6	65.88	48.87	65.3	48.96
24.28	15.86	7.96	10.5	65.44	48.55	65.57	48.76
24.04	16.64	8.44	10.96	66.05	49.16	65.8	49
24.09	16.3	8.24	11.09	65.88	49.26	66.38	49.61
24.33	16.75	8.2	10.81	66.11	49.89	66.22	48.98
24.06	16.14	7.61	10.74	66.88	49.8	66.92	48.86
24.34	16.28	7.94	11.04	67.05	49.98	67.09	49.38
25.18	16.49	8.45	11.27	66.98	50.32	67.35	49.06
24.15	16.08	8.07	10.53	66.65	49.62	66.53	49.01
24.56	16.27	8.01	11.02	66.52	49.86	67.39	49.12
23.57	15.76	8.04	10.44	65.54	49.49	66.4	49.21
23.85	16.08	7.7	10.73	65.09	49.02	66.39	48.48
23.36	15.73	7.71	10.5	64.24	48.98	66.48	48.44
23.09	15.99	7.85	10.59	64	49.23	65.99	47.66
23.36	15.88	7.87	10.57	64.96	49.2	66.24	48.2
23	15.83	7.66	10.26	63.62	48.61	66	48.13
23.43	16.25	7.83	10.53	65.51	49.08	68.05	48.82
23.59	15.77	8	10.28	64.76	49.03	66.54	47.92
23.3	15.92	7.87	11.01	65.23	49.74	67.11	48.88
23.69	15.93	7.98	11	65.61	49.92	67.66	48.93
23.48	15.57	7.42	10.55	65.24	49.99	67.71	48.77
24.08	15.96	7.74	10.72	65.37	49.23	67.8	48.67
23.57	15.52	7.78	10.56	65.62	49.71	68.34	49.56
23.58	16.17	7.92	10.64	66.15	50.67	68.39	49.44
22.98	15.58	7.83	10.62	65.32	50.15	68.67	49.07
23.36	15.68	8.04	10.46	65.21	49.86	68.34	49.16
22.98	15.23	7.24	10.24	65.18	49.93	68.38	49.34
23.5	15.78	7.43	10.48	65.16	49.73	68.8	48.93
23.25	15.08	7.33	10.58	66.24	50.49	69.23	49.57
22.96	15.33	7.02	10.31	65.51	49.74	69.22	49
22.87	14.86	6.96	10.18	65.74	50.3	69.43	49.25
22.61	15.1	7.23	10.66	65.8	50.41	69.71	48.75
23.65	14.98	7.22	10.84	66.04	50.38	69.55	49.97
23.79	15	7.32	10.13	66.12	50.47	70.63	49.1
