"Agrimonia_eupatoria_G__P_1"	"Agrimonia_eupatoria_G__P_2"	"Trifolium_repens_G__P_1"	"Trifolium_repens_G__P_2"	"Trifolium_repens_G__P_3"	"Trifolium_pratense_G__P_1"	"Trifolium_pratense_G__P_2"	"Trifolium_pratense_G__P_3"
5.46	3.76	2.11	0.68	2.45	5.93	2.78	7.25
4.93	3.67	1.89	0.47	2.65	5.5	2.2	6.45
5.4	3.83	2.13	0.86	2.3	5.8	2.24	6.94
4.68	2.76	1.26	0.21	1.25	5.44	1.59	6.53
4.8	3.6	1.41	0.59	1.73	5.6	1.89	6.5
4.77	3.29	1.3	0.52	1.51	5.25	1.46	6.3
4.92	3.04	1.22	0.64	1.72	4.91	1.58	6.36
4.71	2.85	1.05	0.7	1.71	4.97	1.14	6.05
4.09	2.61	0.69	0.24	0.83	4.56	0.86	5.66
4.03	2.59	0.69	0.39	0.69	4.32	0.88	5.59
3.86	2.63	0.57	0.41	0.53	4.18	0.76	5.43
4.08	2.67	0.61	0.44	0.63	4.19	0.64	5.53
4.07	2.63	0.51	0.35	0.57	4.26	0.71	5.47
4.52	2.87	0.6	0.46	0.61	4.5	0.79	5.61
4.97	3.21	0.93	0.63	0.97	4.78	1.11	6.25
4.7	2.95	0.83	0.39	0.89	4.89	1.15	6.14
4.75	3.03	1.08	0.49	1.26	5.01	1.31	6.12
4.52	2.68	0.87	0.69	1.42	5.07	1.45	6.26
4.51	2.66	1.25	0.51	1.52	4.77	1.27	6.09
4.61	2.72	1.15	0.3	1.02	4.9	1.09	6.01
4.68	3.11	1.37	0.26	1.33	5.33	1.7	6.4
4.91	3.08	1.48	0.51	1.77	5.48	1.87	6.51
4.89	2.88	1.34	0.65	1.75	5.36	1.75	6.44
5.7	3.68	1.94	0.97	2.02	5.68	2.02	6.59
5.31	3.14	1.34	0.79	1.71	5.47	1.7	6.75
4.62	2.63	1.25	0.46	1.76	5.12	1.29	6.54
4.93	2.98	1.51	0.58	1.77	5.3	1.44	6.41
4.61	3.03	1.52	1.01	1.63	5.25	1.55	6.12
4.53	2.73	1.05	0.39	1.01	4.74	1.1	6
4.34	3.11	0.88	0.58	1.15	4.7	1.29	6.03
4.41	2.68	0.94	0.61	1.21	4.82	1.42	5.99
4.57	3.09	1.15	0.7	1.18	4.9	1.58	6.14
4.52	2.86	1.04	0.62	1.18	4.83	1.37	6.36
