"Clinopodium_vulgare_L__P_1"	"Clinopodium_vulgare_L__P_2"	"Clinopodium_vulgare_L__P_3"	"Clinopodium_vulgare_L__P_4"	"Hypericum_perforatum_L__P_1"	"Hypericum_perforatum_L__P_2"	"Hypericum_perforatum_L__P_3"	"Hypericum_perforatum_L__P_4"	"Galium_verum_L__P_1"	"Galium_verum_L__P_2"	"Trifolium_pratense_L__P_1"	"Trifolium_pratense_L__P_2"	"Trifolium_pratense_L__P_3"	"Leucanthemum_vulgare_L__P_1"	"Leucanthemum_vulgare_L__P_2"	"Leucanthemum_vulgare_L__P_3"	"Leucanthemum_vulgare_L__P_4"	"Leucanthemum_vulgare_L__P_5"	"Achillea_millefolium_L__P_1"	"Achillea_millefolium_L__P_2"	"Achillea_millefolium_L__P_3"	"Ranunculus_repens_L__P_1"	"Jasione_montana_L__P_1"	"Jasione_montana_L__P_2"	"Eupatorium_cannabinum_L__P_1"	"Eupatorium_cannabinum_L__P_2"	"Erica_tetralix_L__P_1"	"Erica_tetralix_L__P_2"	"Ulex_europaeus_L__P_1"	"Ulex_europaeus_L__P_2"	"Achillea_millefolium_L__P_4"	"Achillea_millefolium_L__P_5"	"Reynoutria_japonica_L__P_1"	"Reynoutria_japonica_L__P_2"	"Reynoutria_japonica_L__P_3"	"Reynoutria_japonica_L__P_4"	"Reynoutria_japonica_L__P_5"	"Reynoutria_japonica_L__P_6"	"Reynoutria_japonica_L__P_7"	"Reynoutria_japonica_L__P_8"	"Reynoutria_japonica_L__P_9"	"Reynoutria_japonica_L__P_10"	"Reynoutria_japonica_L__P_11"	"Thymus_praecox_L__P_1"	"Thymus_praecox_L__P_2"	"Trifolium_pratense_L__P_4"	"Trifolium_pratense_L__P_5"	"Centaurea_nigra_L__P_1"	"Centaurea_nigra_L__P_2"	"Centaurea_nigra_L__P_3"	"Centaurea_nigra_L__P_4"	"Rhinanthus_angustifolius_L__P_1"	"Rhinanthus_angustifolius_L__P_2"	"Prunella_vulgaris_L__P_1"
621.31	437.7	18.03	-484.7	907.65	754.64	-323.5	-28.42	416.39	978.69	353.01	30.6	92.9	242.08	-230.05	359.56	-874.86	832.24	768.85	397.81	-233.88	1216.94	1346.99	-86.34	46.99	-86.89	1067.76	-488.52	757.38	219.67	-89.07	413.66	-433.88	262.3	900	567.76	8.74	957.38	472.68	-57.38	242.62	784.15	1704.92	963.93	610.93	819.13	278.14	835.52	677.6	587.98	704.92	956.83	162.84	-212.57
-117.73	-110.86	-30.81	-22.23	-144.32	-12.22	34.31	-177.56	-93.07	161.19	72.48	-65.76	-67.91	130.02	-109.01	16.15	-29.81	-119.87	-80.13	-153.82	-118.66	-8.93	-158.9	-33.02	-8.72	-77.7	-5.58	8.15	-23.3	61.9	10.08	110.15	40.46	74.34	-73.27	-0.07	35.45	-12.01	45.82	91.99	5.43	9.94	65.19	10.58	-58.47	30.52	126.73	22.37	-28.02	73.48	20.16	87.42	-45.03	-12.94
84.08	67.28	225.46	84.78	75.33	126.42	397.55	87.84	136.66	67.1	272.09	125.28	160.45	238.93	268.33	116.36	135.7	124.85	200.09	93.09	155.73	145.84	315.05	344.53	381.28	92.48	57.57	158.36	24.67	53.37	134.12	160.02	266.49	205.77	118.9	271.48	141.38	171.48	140.07	146.19	271.22	80.75	36.4	134.73	288.19	203.94	75.33	164.57	206.47	130.53	-59.32	48.21	290.64	187.14
45.04	81.01	18.15	43.35	29.06	42.86	12.82	63.44	45.12	26.54	21.84	21.1	41.02	45.64	45.64	41.29	66.97	32.2	26.54	45.14	50.35	28.46	27.95	32.39	37.86	32.93	51.62	28.83	41.74	32.92	12.32	49.45	30.21	5.88	34.02	31.35	32.41	54.05	40.06	28.59	38.15	20.18	46.12	55.16	27.62	18.93	26.92	26.25	31.43	43.76	35.15	23.25	22.33	10.92
38.78	72.54	26	55	23.36	51.91	16.25	45.68	50.49	54.9	38.02	22.27	77.9	50.33	57.28	75.86	61.25	47.71	30.07	64.31	60.86	35.08	40.7	43.21	34.62	41.66	50.15	44.39	60.68	56.51	29.79	29.01	35.95	17.8	22.83	15.81	28.74	65.86	41.52	38.68	41.1	15.39	40.63	49.41	26.38	39.11	29.2	36.01	49.46	37.96	28.77	22.65	41.18	27.65
40.09	70.25	18.77	54.21	11.79	39.6	1	56.12	58.28	51.33	46.29	19.2	79.82	36.11	48.96	71.78	59.49	33.69	39.71	61.67	66.85	38.23	33.85	21.07	21.9	40.93	52.39	33.23	55.97	48.93	21.56	28.52	25.6	16.54	24.01	17.16	16.85	56.21	35.16	25.59	34.26	15.88	44.09	47.23	21.02	29.5	20.41	20.58	56.37	38.38	25.58	23.05	32.42	27.34
42.17	67.99	9.37	55.59	7.09	41.04	4.86	44.93	49.11	54.8	41.64	-0.81	89.16	36.07	45.87	80.17	50.36	26.91	33.66	69.4	64.57	22.14	29.65	23.59	18.71	36.89	58.02	31.94	60.7	54.69	16.46	17.27	13.77	6.22	10.66	1.71	19.51	64.72	24.45	29.19	34.36	0.79	39.71	48.04	19.61	14	8.11	17.76	41.8	33.72	10.6	1.41	32.84	13.75
47.48	74.57	34.45	45.73	8.85	43.52	9.52	40.05	49.58	56.32	44.71	18.39	85.33	41.77	41.17	83.83	53.84	43.62	35.41	57.39	66.41	32.64	34.37	32.05	26.03	35.91	55.79	40.11	69.38	55.02	13.05	25.52	8.03	13.54	17.84	3.86	20.4	65.02	49.46	35.02	36.11	18.54	54.26	50.13	20.76	19.91	23.16	23.1	54.82	27.58	24.63	21.05	39.38	21.63
32.46	79.51	24.3	52.94	8.75	53.78	6.02	42.13	58.12	49.69	32.68	13.88	87.79	42.13	38.1	75.39	62.47	58.74	30.74	70.58	53.05	32.29	44.99	28.42	25.6	42.68	53.63	30.56	68.59	47.95	8.75	18.35	28.65	4.61	20.28	10.96	15.24	66.37	37.98	20.23	34.55	16.92	41.94	55.02	19.21	23.92	27.04	20.31	44.29	34.26	20.38	4.17	29.86	22.52
34.83	64.47	17.94	45.43	9.52	37.81	-5.52	44.44	43.63	42.47	41.54	12.06	74.25	34.62	46.47	66.41	59.85	30.92	27.69	50.95	63.56	28.73	24.76	18.58	24.17	26.87	53.42	25.24	58.74	49.03	5.78	11.42	12.23	-1.87	14.05	9.83	13.72	56.96	28.82	19.78	32.5	0.19	43.93	48.37	12.11	22.84	19.58	24.56	29.68	33.03	16.59	10.11	36.33	10.66
