"Centaurea_nigra_K__P_1"	"Centaurea_nigra_K__P_2"	"Centaurea_nigra_K__P_3"	"Centaurea_nigra_K__P_4"	"Hypochaeris_radicata_K__P_1"	"Hypochaeris_radicata_K__P_2"	"Hypochaeris_radicata_K__P_3"	"Hypochaeris_radicata_K__P_4"	"Scabiosa_columbaria_K__P_1"	"Scabiosa_columbaria_K__P_2"	"Oenothera_erythrosepala_K__P_1"	"Oenothera_erythrosepala_K__P_2"	"Oenothera_erythrosepala_K__P_3"	"Origanum_vulgare_K__P_1"	"Origanum_vulgare_K__P_2"	"Hypericum_maculatum_K__P_1"	"Buddleja_davidii_K__P_1"	"Buddleja_davidii_K__P_2"	"Buddleja_davidii_K__P_3"	"Buddleja_davidii_K__P_4"	"Geranium_robertianum_K__P_1"	"Daucus_carota_K__P_1"	"Daucus_carota_K__P_2"	"Daucus_carota_K__P_3"	"Aegopodium_podagraria_K__P_1"	"Aegopodium_podagraria_K__P_2"
41.35	43.95	75.73	34.42	17.92	4.7	42.67	19.85	38.27	48.27	40.91	34.26	35.28	69.2	35.75	47.96	54.93	60.86	85.76	58.14	88.35	33.09	56.52	81.8	26.51	51.62
32.37	28.66	37.93	29.68	4.41	-1.74	39.23	19.57	8.19	30.89	27.69	29.02	19.91	44.34	26.04	52.34	22.29	41.39	72.3	45.17	53.62	26.55	24.46	59.9	14.8	40.67
36.63	53.82	40.71	43.89	9.8	23.95	40.38	23.7	21.66	40.54	30.84	34.42	29.28	46.29	39.18	69.95	32.47	51.92	86	60.34	64.79	53.94	42.36	73.38	20.65	44.48
20.32	32.35	60.76	15.14	2.58	15.37	35.39	12.23	11.51	45.32	31.03	38.88	42.36	50.25	34.67	56.15	27.8	37.36	73.99	53.56	55.25	41.84	37.91	69.1	17.93	36.77
28.44	41.43	53.84	23.55	-17.82	-4.47	64.99	12.37	13.33	63.15	37.54	35.79	40.23	72.3	37.76	56.04	28.74	86.87	89.61	45.78	62.48	43.48	54.45	89.67	27.47	45.34
28.09	40.74	56.77	24.88	9.03	5.21	50.94	30.6	23.66	45.77	46.49	40.2	24.23	56.22	20.24	65.09	34.04	58.76	64.83	56.83	83	42.33	53.11	69.8	25.36	51.16
35.65	36.26	52.35	21.7	6.18	7.36	27.47	9.27	27.1	52.29	42.12	42.92	29.7	52.58	36.95	51.32	31.31	56.74	73.79	48.91	73.82	52.98	49.52	77.04	20.62	50.22
26.34	46.73	45.9	20.29	9.91	17.16	46.89	26.84	29.39	33.51	59.43	43.06	17.39	59.05	28.53	52.5	45.82	71.12	76.17	58.51	84.57	50.81	49.49	78.93	19.14	49.3
22.68	38.81	48.5	44.9	21.43	8.79	56.99	29.41	29.97	33.55	58.09	54.46	35.93	60.49	37.4	67.48	44.69	44.47	76.43	51.19	86.89	36.4	56.38	76.57	23.93	58.64
34.54	43.21	44.72	43.13	25.28	17.08	39.83	33.73	28.99	45.86	50.16	43.85	16.31	63.22	39.11	52.87	35.77	60.38	74.37	56.05	77.13	52.79	58.04	53.03	37.31	50.96
22.92	39.2	45.84	39.4	10.02	12.85	38.31	13.38	15.59	43.34	26.08	34.46	22.9	50.48	21.26	44.56	23.33	52.05	76.72	37.16	60.59	40.06	39.44	55.91	13.46	30.63
32.96	48.44	56.43	40.92	16.2	22.08	41.15	34.17	34.72	48.93	37.52	41.75	34.21	60.08	42.38	55.68	40.42	62.21	68.33	52.67	73.55	42.19	58.07	57.62	28.88	43.23
22.7	50.9	49.27	38.29	17.49	11.47	42.28	24.25	27.7	41.2	51.22	38.8	36.06	62.02	39.03	55.33	30.27	61.05	73.08	48.85	72.07	34.52	32.2	74.91	20.85	43.81
