"Rubus_caesius_F_1"	"Taraxacum_officinale_F_1"	"Corylus_avellana_F_1"	"Impatiens_glandulifera_F_1"	"Buddleja_davidii_F_1"	"Buddleja_davidii_F_2"	"Buddleja_davidii_F_3"	"Reynoutria_japonica_F_1"	"Reynoutria_japonica_F_2"	"Taraxacum_officinale_F_2"	"Prunus_cerasifera_F_1"	"Eupatorium_cannabinum_F_1"	"Fraxinus_excelsior_F_1"	"Plantago_major_F_1"	"Impatiens_glandulifera_F_2"	"Rosa_canina_F_1"	"Rubus_caesius_F_2"	"Hedera_helix_F_1"	"Hedera_helix_F_2"	"Corylus_avellana_F_2"	"Plantago_major_F_2"	"Cornus_sanguinea_F_1"	"Prunus_cerasifera_F_2"	"Juglans_regia_F_1"	"Prunus_spinoza_F_1"	"Wavelength"
38.41	24.71	22.14	18.17	29.82	22.84	29.34	31.63	38.24	31.41	32.74	25.15	33.44	46.66	50.07	43.03	39.83	30.77	37.3	22.72	31.48	40.38	30.1	19.35	28.22	209.465
16.64	14.41	-4.96	23.19	20.65	13.35	29.98	33.62	19.08	38.67	5.75	10.77	27.36	49.08	48.27	16.15	9.93	14.46	24.53	6.31	11.85	17.11	12.62	9.14	13.49	209.847
12.14	21.25	10.55	13.04	3.42	7.24	16.87	10.65	12.39	27.64	14.47	22.49	20.98	25.66	34.91	16.27	17.15	9.14	19.07	8.41	5.58	22.89	2.93	11	8.37	210.229
8.48	-8.32	-11.48	-2.59	-17.43	0	-5.27	-1.97	20.01	19.1	2.63	7.48	21.8	22.54	33.7	15.56	14.87	-8.79	6.01	-13.8	6.86	-11.76	-17.39	-5.19	-13.23	210.611
25.15	5.02	-13.73	17.12	14.67	-3.95	12.66	4.37	15.14	24.42	18.65	3.67	-0.05	22.4	16.28	2.65	14.24	-13.12	-2.9	-3.53	4.39	8.24	-0.82	-10.32	-4.39	210.993
44.07	50.58	41.09	49.25	55.86	44.01	52.1	48.76	46.83	59.01	54.56	50.92	50.57	49.97	58.59	51.22	50.55	51.93	57.66	42.73	44.44	49.65	40.06	39.1	38.81	211.374
14.16	1.33	-0.86	12.93	4.7	-3.72	6.53	15.04	18.61	23.88	3.54	13.9	5.5	19.43	30	16.34	13.72	-10.16	0.03	14.59	8.98	11.24	6	20.32	5.38	211.756
-10.47	-6.91	-12.25	-0.74	-4.48	-6	3.09	-4.3	-3.21	18.87	-3.2	0	-5.57	16.06	6.8	1.05	14.24	-9.38	-9.16	-17.57	-0.79	0.36	-13.16	3.36	1.76	212.138
21.88	28.34	16.15	26.14	22.92	25.06	22.73	34.04	32.22	41.24	40.96	33.01	34.88	31.66	36.27	24.63	33.09	24.85	21.14	27.63	24.69	29.97	25.77	27.64	22.61	212.52
35.92	30.08	23.07	30.91	22.05	27.36	37.32	24.9	29.84	40.36	32.65	34.11	28.79	30.27	43.73	34.28	33.02	16.73	23.19	24.84	29.23	26.19	18	19.68	29.38	212.901
36.03	35.54	26.9	26.79	26.09	30.88	32.75	27.91	26.57	37.72	34.21	34.45	28.63	32.99	37.11	36.32	37.92	21.52	29.06	26.51	30.05	20.83	24.46	25.7	23.36	213.283
28.48	29.41	12.96	22.19	25.98	44.58	23.26	23.83	25.65	21.47	31.57	22.33	25.11	37.38	43.32	24.72	28.24	14.47	22.71	16.82	18.64	20.17	19.68	14.18	17.21	213.664
2.63	13.34	-2.68	13.01	0.66	-3.32	12.9	8.65	14.48	13.96	4.45	14.57	6	21.05	23.34	12.22	21.59	7.26	4.93	-0.26	2.7	0.81	1.06	8.81	7.34	214.046
10.26	17.36	19.45	21.38	2.56	12.13	25.54	18.8	14.05	27	22.56	19.97	26.48	27.64	35.19	18.1	22.16	11.73	16.53	12.09	18.91	18.33	19.25	12.91	11.98	214.427
15.7	22.93	8.97	11.4	16.23	10.97	22.88	28.95	21.25	33.1	21.26	19.57	28.27	23.83	34.48	27.89	19.51	17.61	25.89	21.3	8.52	20.64	10.84	13.93	11.86	214.809
11.09	18.36	7.85	8.62	6.13	11.88	13.09	12.45	26.01	21.85	20.91	0.43	10.63	22.2	31.34	18.03	13.54	6.95	16.43	4.13	2.07	12.56	9.03	5.79	14.68	215.19
41.66	45.6	23.05	29.52	39.59	37.79	41.74	31.04	39.12	44.43	38.51	41.51	31.03	34.94	54.1	48.54	49.26	33.53	40.83	40.21	31.69	32.95	30.45	25.51	34.88	215.572
30.49	29.94	19.98	28.3	38.6	31.1	48.22	28.85	27.46	42.58	34.46	26.33	27.17	32.97	40.86	32.57	42.39	21.23	35.16	27.04	30.48	31.28	23.58	26.85	17.14	215.953
27.97	28.24	18.83	21.6	16.35	14.88	35.87	29.23	18.92	24.12	17.44	23.49	30.29	34.45	39.81	16.65	29.19	17.16	30.92	18.26	12.23	14.43	13.25	9.52	21.58	216.334
14.53	13.39	5.13	17.46	9.67	9.63	14.53	17.79	17.68	13.15	11.33	22.16	14.19	25.11	27.4	18.69	27.26	5.23	18.47	15.58	13.27	10.87	6.61	11.44	7.63	216.716
25.78	28.51	10.6	16.39	16.01	18.7	27.96	13.42	28.35	18.37	20.31	21.04	31.39	27.15	33.71	18.37	30.63	6.46	21.47	20.84	15.86	20.61	4.2	12.14	7.99	217.097
11.28	-2.42	-4.41	7.23	2.24	9.18	11.99	-6.1	6.97	19.54	16.09	4.73	11.82	17.14	22.68	16.01	18.07	3.26	21.2	-4.55	6.97	1.18	5.3	0.9	-5.42	217.478
8.93	14.07	6.49	12.68	6.44	10.76	17.61	14.85	16.04	19.89	18.79	12.33	20.32	22.17	17.96	16.56	20.82	15.34	20.38	7.87	15.78	3.96	14.68	6.76	3.01	217.859
23.72	19.08	9.75	27.39	16.9	17.85	16.58	23.17	17.7	29.21	19.17	21.22	29.45	31.72	31.02	24.58	21.09	16.53	18.6	21.65	9.18	7.85	17.13	9.17	20.17	218.241
25.39	27.1	24.2	27.49	34.05	22.1	32.41	25.23	20.78	45.63	32.08	17	26.12	35.51	31.89	23.19	38.9	22.59	21.5	23.24	24.97	29.38	22.72	19.87	21.01	218.622
24.45	33.1	16.23	21.15	19.75	17.98	40.24	32.74	33.53	31.27	29.03	25.11	21.81	30.98	40.97	30.8	35.8	19.71	26.85	24.19	17.91	19.51	23.33	18.09	15.38	219.003
14.36	15.43	2.96	17.64	16	12.84	16.21	12.94	15.88	21.04	13.86	15.39	18.28	12.07	28.31	19.45	18.13	9.1	8.73	6.97	4.12	6.53	5.22	5.83	10.06	219.384
15.04	3.83	0.38	8.08	5.23	7.07	14.83	15.51	2.16	27.57	12.53	8.96	11.72	12.8	21.99	17.49	12.39	-5.8	5.91	8.86	2.3	-2.4	4.76	0.12	0.08	219.765
15.35	13.51	2.45	17.51	7.01	2.07	7.2	14.74	19.01	20.02	12.23	9.04	21.3	15.35	26.66	15.65	12	9.52	9.59	7.59	7.96	6.9	6.62	1.75	7.81	220.146
20.77	5.87	1.07	9.37	7.31	2.25	9	7.77	6.51	12.8	6.23	9.58	6.38	17.59	12.77	14.36	16.34	2.43	5.79	3.96	4.49	6.74	4.45	0.1	-1.72	220.527
18.83	10.62	10.9	14.09	5.28	11.78	15.78	17.43	13.87	21.5	9.87	11.26	14	20.17	27.58	14.64	14.6	10.12	18.28	2.94	11.1	8.29	10.97	10.24	12.17	220.908
16.13	10.36	7.27	12.18	9.82	10.86	9.29	9.5	10.5	18.41	8.32	14.84	13.7	18.73	24.29	11.75	20.08	1.48	16.02	4.27	10.27	5.71	2.51	6.47	3.76	221.288
15.42	6.69	5.79	9.43	11.72	4.93	12.56	13.68	15.42	14.39	12.52	6.11	10.57	17.1	24.71	15.03	14.79	6.27	8	8.8	2.9	15.32	5.38	2.2	6.32	221.669
17.74	13.83	11.55	19.14	17.69	17.32	16.77	15.18	18.39	22.6	16.93	11.96	20.27	20.67	22.5	15.42	23.49	14.12	15.29	8.39	14.92	11.21	15.58	10.71	18.21	222.05
12.39	13.71	11.01	11.56	11.57	11.23	17.81	12.77	13.95	16.22	11.93	12.24	12.07	20.66	23.25	15.86	14.97	9.17	14.87	9.03	5.49	6.81	10.61	9.03	5.78	222.431
1.02	2.39	-10.75	-1.76	3.88	-2.87	-5.68	-1.11	5.26	12.54	-0.23	-1.09	6.73	16.33	12.39	-1.84	9.46	-0.85	-5.65	-4.95	-7.52	-5.06	-8.08	-12.86	-3.2	222.811
8.26	5.83	-2.08	12.23	6.4	5.36	12.65	7.8	13.42	16.56	10.68	9.76	11.83	10.4	17.87	12.41	11.65	4.16	9.29	7	6.52	3.38	2.9	5.83	0.17	223.192
11.24	12.75	5.59	16.49	16.46	15.26	20.82	14.15	17.68	24.99	16.66	18.03	19.33	19.69	24.55	16.24	17.69	7.2	14.52	12.52	10.82	11.01	10.98	11.46	14.62	223.573
6.78	1.58	2.58	4.05	3.74	3.11	4.07	-1.26	4.22	8.26	1.6	1.6	10.24	6.66	12.03	6.18	10.54	1.16	-2.26	-4.05	3.07	-0.29	-1.63	-1.53	-1.55	223.953
18.51	10.59	8.39	17.58	13.13	12.92	15.15	17.62	13.87	22.67	13.6	10.97	14.74	18.88	19.65	14.72	19.19	9.78	10.46	11.78	11.3	15.39	7.61	10.41	11.68	224.334
